% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1E-11                      ewfd.normE (V/m) @ lambda=1E-11
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -157048.00509733625-107876.2260795817i            8054336.734703811
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -326516.3177644559-321048.5230840233i             8586879.963750238
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -19135.31127340317-35800.828616734325i            8268113.039860171
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     148841.1597506477-672317.7443116852i              5743855.478919521
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -325397.06046691834-649387.3385266038i            7578740.831254675
0                         3.182396563385692E-7     -6.343381124083152E-8    -416724.8201844047-434031.64640166116i            8256685.81810063
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   453849.6571670226-955796.5720554389i              5335995.670848516
0                         2.1845653395423077E-7    -1.6518554386307116E-7   497530.15855187445-1247315.5891339793i            6259531.9981182115
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   469704.24491936446-1039803.4275571296i            6547779.135084176
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   2675047.4150283937-2374177.990614256i             4932485.50380863
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    181825.73868737035+400529.3311556778i             6267991.028045263
0                         2.538559103127853E-7     5.584570174921412E-8     161561.03729522438+447300.8758452447i             6115710.606780395
0                         3.24970696555981E-7      5.0869258428683064E-8    361107.5384603685+301659.74259853567i             8611470.458571244
0                         3.258812924319995E-7     4.569473248067654E-8     338427.7980712397+268966.66468155646i             8608444.464865485
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     476932.42396012996+552089.8597108192i             7727263.539366882
0                         3.221038368927431E-7     5.584714369209338E-8     319347.63593276613+320083.84423650417i            8412625.97285839
0                         2.5315329523993733E-7    6.001853845885086E-8     -42246.338675067476+362112.0237766431i            6349984.218090294
0                         2.5085145295922413E-7    5.462592438847495E-8     12684.312284066697+393186.0589704593i             6158935.914223475
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    130981.94755192364-366294.39098718244i            4569224.528601351
0                         3.0382501758412077E-7    -4.485991782714857E-8    -383483.78169127885-338456.3380226307i            7564430.399483418
0                         3.232695709983424E-7     -5.53045889386516E-8     -429288.20461146755-416806.9746558532i            8557426.101199243
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -166724.44434060753-87624.09574709425i            4982880.366847543
0                         2.1590675670731769E-7    1.6443578411235084E-7    -497940.372814194+1374391.2604869686i             6406667.899613656
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -670129.0234151804+1610572.8701799423i            6196222.338906521
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -14192.125839725206+254762.30170438718i           6258837.153583127
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -615438.5943773057+1690661.2503029562i            6530484.076158165
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    213835.7940196913-660483.4284025655i              4476119.254382946
-1.0587911840678754E-22   0                        -2.184438086758795E-7    4211788.0675278-2760020.0766293867i               5061465.526865639
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    494866.091812638-778411.1653584933i               2973866.73067209
0                         1.1222187758084808E-7    -2.0359382100811807E-7   3015706.5804500007-2327538.059480376i             5003895.016088507
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    427174.0273054349-746185.4447669634i              3534292.029187716
0                         1.1244237034527167E-7    -2.0569679271964817E-7   3117968.5311813084-2448150.660550124i             5177157.937948372
0                         1.114934002831982E-7     -2.0583860403134034E-7   3367843.2869344195-2455658.715896604i             5424183.017905347
0                         2.0046547469079038E-7    1.684949217441033E-7     -823026.6182983208+1547206.0684950973i            5761268.765918093
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -779644.0538944238+1027201.7398865233i            3040776.245056989
0                         9.892122696120922E-8     2.0811770775040243E-7    -3339551.6523574763+2456382.8142314013i           5076167.011850731
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -4173374.232485471+2632784.563054376i             4960250.750758129
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    -758173.4255406264+1713424.7168961542i            6394579.865671576
0                         9.901265081548767E-8     2.086243933096728E-7     -3392635.4846125036+2489814.91810588i             5134516.544620806
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -3457682.354105465+2536152.4765755637i            5243470.371225892
0                         4.3156852068532967E-7    -9.441573109727262E-8    -117175.1131835281-973041.510879383i              6970381.815732062
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    472266.8793104955-638988.961382863i               5849654.259678439
0                         4.0481067694876277E-7    -1.2247503680099905E-7   -542460.7925416717-1331524.8301110973i            6314843.999809173
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   -2150194.4964374043-4376240.296966029i            8119439.633124368
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   -2282041.865126155-4426070.481430653i             6986397.324405208
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   -2658099.061927077-4698876.964296848i             7924408.394047305
0                         4.502508420350996E-7     -2.9324605695653366E-7   -2068023.9852781736-3781642.0995323644i           8236074.493153088
0                         4.561468564307357E-7     -2.3347254581814542E-7   -1893279.2689149138-2989521.4982460993i           8718550.001093598
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    -1389992.489443497-3101006.291000308i             7389464.243816721
0                         4.0481067694876277E-7    -2.491234228295679E-7    -1813147.3054602642-3497812.525974287i            7348652.43483209
0                         4.0481067694876277E-7    -1.847936517365227E-7    -293426.64386255835-2403888.2400152287i           5771898.425203696
0                         4.997136481438985E-7     -5.4578163674120465E-8   -485176.52993818175-619533.4363414712i            5049077.445011282
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   -464455.7855927483-597503.3423071938i             4694377.311678695
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   -44259.332074504455-210201.9390375006i            5057618.131541319
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     -1119690.2256503834-1019813.0391752782i           6284350.223120662
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    -995009.033477085-842274.8081797266i              5206151.614940448
0                         4.0481067694876277E-7    2.3721473678056144E-8    -84291.59420262078+164926.52111011706i            6389672.456192299
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    183006.37276093487-90309.44162454334i             6409030.078820059
0                         4.375981764020514E-7     -1.443441900957181E-7    -1378616.0456772817-1784290.1524382296i           5850959.1716695875
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    -3072896.266791993-2643355.8818406994i            9194232.447931407
0                         5.165759812286529E-7     -1.5276612097377223E-7   -1705831.0914879825-1785324.2572277251i           8063406.071627158
0                         4.777461392223046E-7     -1.1661254719235383E-7   -983907.2572386403-1415945.761551344i             6117287.337533004
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   -3882684.553652318-2192384.476436889i             1.160760401214508E7
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    -2579371.34064641-4197583.286731207i              9695855.568345102
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   -2216744.839829065-4945210.20470421i              7104631.602733853
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   -3686175.7991777505-3977270.536857736i            1.2011794525368134E7
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    -3716027.6051555993-4157938.944800192i            1.2179314867421335E7
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    -3039939.7594038793-4941012.293424949i            8807142.315848725
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    -1703543.386461752-5225261.164365878i             7986529.320113398
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    -5285797.604540149-1463222.8993321245i            1.4844170163723418E7
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   -4665223.919339519-2211456.5945615266i            1.2856725161917824E7
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    -5654573.64383945-2448180.195710776i              1.5823223899566904E7
0                         7.115433440389336E-7     -4.4572366844655277E-7   -5831450.430180959-1903482.2837251043i            1.6133518437148478E7
0                         6.13672952558064E-7      -4.457236684465528E-7    -5781745.03669224-3101142.0285026142i             1.5680157697999842E7
0                         5.835703006909465E-7     -3.9683597509188217E-7   -5254595.385234418-3298197.0471501066i            1.4296977239184553E7
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    424677.7953266329+181697.3409161546i              4793557.256993411
0                         4.872041077290517E-7     5.2308274107395806E-8    681269.4007697556+546985.0924947507i              5586542.373206936
0                         4.0481067694876277E-7    1.360940974810027E-7     488551.9117607187+1520954.8987869155i             5912021.413718383
0                         4.0481067694876277E-7    5.720766611629198E-8     -242158.2851621076+514783.4934786157i             5971467.792991581
0                         4.862892861970411E-7     7.59710070016916E-8      609713.5216499611+821252.3739975244i              5748931.278808953
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    -104629.97492850055+35973.31767604932i            4788634.238938003
0                         2.459427215263416E-7     5.2736472453813216E-8    110163.09811251829+345675.6736586965i             6155128.521935784
3.3087224502121107E-24    1.5707454531081041E-7    6.25005572267353E-8      -163356.99037889973+525264.9604082817i            4140814.502577121
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    -126014.55715695753-21157.869429638813i           5494471.763669485
0                         2.49260976348461E-7      5.607337329607634E-8     -200566.15543030266+246412.71428811966i           6427443.175087779
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    710349.1290286271+382684.0739114826i              4101492.4905430996
0                         5.960440285226311E-7     2.988217108289382E-8     292547.5640313319+287633.0204432993i              3514614.675614749
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      1013289.3342722825+700827.9342299635i             4083216.16787817
-1.6543612251060553E-24   6.691471139469493E-7     -6.92448852235418E-8     -1460696.82647098-546676.2963919262i              5791150.640807032
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    1322694.2227778877+1962667.0875044442i            5720876.997131575
0                         5.281021162220563E-7     1.0122790767266414E-7    1318346.3912611334+1180689.025820264i             5340425.584835368
0                         5.408635932871615E-7     1.6874223547965604E-7    2710711.461215356+1907197.9076193136i             8593260.731163051
0                         5.191967007498003E-7     7.363267056516884E-8     983827.9959264074+852178.9416689959i              4674130.8008962665
0                         1.2144320308462883E-6    -4.4572366844655277E-7   -1771447.2736072973+3747994.888211906i            1.3058202420226239E7
0                         9.711902279227485E-7     -1.706099099539873E-7    -2629052.7749861777+664442.8560708731i            8572553.069645043
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   -2648283.106740233+623735.8433814421i             8128541.6794132665
1.3234889800848443E-23    1.214432030846288E-6     -1.0860767275448962E-7   -369400.7392709082+1600747.2376459127i            6776266.24497892
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   -2540154.8390395464+699622.6916588579i            8395252.761000553
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   -2618660.3883803403+618063.0150742605i            8220766.782981207
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   -2706165.4603300625+533320.1831367546i            8161763.251899385
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   -2591417.955736851+580844.1239745426i             8015910.604501832
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     -3215705.216512469+356016.2870559502i             9484969.567959398
6.6174449004242214E-24    8.550869066977325E-7     -3.054656588009247E-8    -652699.6626898918+11581.30080350614i             3925447.0121389916
-6.6174449004242214E-24   7.891679577345008E-7     -7.479479087737868E-8    -1769461.4596335453-272095.10309191194i           5425723.971656985
1.3234889800848443E-23    7.97048117412347E-7      -6.302097202391355E-9    -10999.834478464594-62068.712377242206i           3996056.2244959087
6.6174449004242214E-24    7.520580860383995E-7     -1.3288742342409566E-8   -235428.60903331422-32803.553986303465i           3322822.616996766
0                         7.054127686436632E-7     -1.0157113773708578E-7   -2041283.6708775952-744084.6749769812i            5990430.76833299
3.3087224502121107E-24    5.052561387145081E-7     -2.446466948904555E-7    -3529678.4324926203-2944342.605466095i            1.001142421567453E7
0                         6.247238596707543E-7     -2.5434599037638164E-7   -4150682.2288324577-2301272.7517962544i           1.2252083617361492E7
0                         5.214366592560964E-7     -3.381466525268136E-7    -4258023.078573251-3542334.035711825i             1.2422767202520737E7
-1.6543612251060553E-24   6.30222716919134E-7      -2.3418625134157275E-7   -4128135.2012852966-2052803.5160755839i           1.1652470935055593E7
6.6174449004242214E-24    5.576046715284379E-7     -1.2432629581684775E-7   -2299180.649236835-1332873.3794497084i            7486548.702961254
0                         5.49458049142369E-7      -5.2424835329014184E-8   -634294.6678450489-555921.7068985116i             4540211.730282059
-1.6543612251060553E-24   6.772966468641454E-7     -1.1254496970161925E-7   -2194995.1573686046-927451.3921886248i            6690985.535658308
0                         7.589645985661259E-7     -1.6652353284211032E-7   -3122867.5642988863-733790.5058709166i            9355378.419473834
0                         7.894428415806573E-7     -2.946914164752046E-7    -5139288.247662865-977269.8639807474i             1.3634142743734742E7
-1.6543612251060553E-24   6.480993456055181E-7     -2.4946320709047333E-7   -4427436.267179978-2061837.9403774876i            1.2290248453373654E7
1.6543612251060553E-24    6.929039943739884E-7     -1.2131650012357304E-7   -2375302.9414973436-906980.8176382945i            6833188.40449888
1.6543612251060553E-24    6.387782450892036E-7     -2.640761444177972E-7    -4497967.180320104-2229246.984184136i             1.2504651451805407E7
0                         7.742683920110035E-7     -3.156157027512449E-7    -5173785.243671374-1221397.6209856668i            1.4316934174150325E7
-3.3087224502121107E-24   5.495370825295924E-7     -3.5901745045618887E-7   -4677376.817193037-3458709.9012058885i            1.3199698406312175E7
0                         8.518735131742949E-7     -4.457236684465528E-7    -5802941.093326412-215576.85988707037i            1.5253700619674973E7
0                         8.064277864561567E-7     -3.349980882823954E-7    -5557020.501196906-902847.855835983i              1.4507643084682787E7
-3.3087224502121107E-24   4.3658923736319153E-7    2.472402499771893E-7     1648323.4123106527+3299383.6224590694i            7796164.261797052
0                         4.0481067694876277E-7    2.5753493727551003E-7    2307278.0677917507+3675589.8998152767i            7117755.464429087
0                         4.0481067694876277E-7    2.0714308067700738E-7    1087475.0746593808+2810051.6777436906i            5650480.904715127
-2.6469779601696886E-23   7.245654816930181E-7     6.376431187878918E-8     1274450.8075403515+423763.68807231507i            5227268.192257971
0                         6.930442476933175E-7     5.100816087261462E-8     933272.7940729056+374104.59229574015i             4535954.934248641
1.6543612251060553E-24    6.926043182087825E-7     -8.272410280721334E-8    -1655791.0950251091-660238.1051846107i            6162520.115854308
0                         4.048106769487628E-7     2.79063042588469E-7      1718973.2157120814+3934923.4290213166i            7499892.063716052
3.3087224502121107E-24    4.0481067694876277E-7    3.379968755225224E-7     1876544.861413377+4614489.528753491i              7530491.66246827
0                         4.7333691249732846E-7    3.3810438509062026E-7    3434599.296335622+4086915.881962349i              9934185.859004634
0                         4.7278923339143395E-7    3.314883455331893E-7     3152003.748440105+4014496.9993909034i             9553719.089134624
-3.3087224502121107E-24   4.0481067694876277E-7    3.6038578813905066E-7    2064175.7486369913+4806803.007098978i             7894648.999512851
0                         4.0481067694876277E-7    4.099925578214459E-7     1846049.2329815133+4987924.039480437i             7005700.322188031
0                         6.509859582013704E-7     1.3255461462843295E-7    2549146.060805096+1123818.474864931i              7463183.405743013
0                         6.705836698145423E-7     1.485399450120071E-7     2912137.4194859327+1225754.0321604914i            8177247.830019214
0                         6.578698432351904E-7     1.5991641382153506E-7    3034249.917658014+1349476.4672613407i             8633272.714556072
0                         6.410384686553871E-7     1.6274714920797545E-7    2973627.6164039806+1446839.934815279i             8757887.917055894
0                         4.788499947104467E-7     3.425026801200342E-7     3313108.4970094827+4072457.145517629i             9901615.118093552
1.6543612251060553E-24    4.2957613825231527E-7    4.457236684465527E-7     2928785.15061978+4933554.298977903i               8663597.544920176
0                         4.962314594314798E-7     4.457236684465528E-7     3716027.605155603+4157938.9448001785i             1.2176042003283028E7
-6.6174449004242214E-24   5.643604176755028E-7     2.482016625425285E-7     3991306.901881067+2498792.254802242i              1.116863427322925E7
0                         6.526453161246262E-7     1.8190332702945102E-7    3180641.347880596+1534374.8183078056i             9358274.279386438
6.6174449004242214E-24    6.41117934249498E-7      2.923429392833327E-7     4484330.14570426+2269683.069503314i               1.340315780701827E7
-6.6174449004242214E-24   5.761765813329171E-7     2.9910786931305563E-7    4720032.946780261+2741305.3604153413i             1.314444227767985E7
0                         4.820829262188099E-7     3.355042066868296E-7     3190775.8600810543+4030510.0370323155i            1.019128736627948E7
0                         4.211107416564642E-7     1.7500732835666212E-7    1040457.0391279843+2175171.5660544885i            5661755.177375552
3.3087224502121107E-24    4.0481067694876277E-7    1.622613169736564E-7     399808.4351204911+1954631.673159391i              5652422.169800384
0                         5.122042016630905E-7     2.1271907331504992E-7    2520400.633225664+2495582.8813437754i             1.0197951445837483E7
0                         4.786782271399676E-7     3.345049319927811E-7     3034449.8705010884+4023876.0403781245i            9723844.900249604
6.6174449004242214E-24    9.170441589635832E-7     1.3913097951325565E-7    2315369.3139715856-1307.9079107911355i            8508497.304239277
1.6543612251060553E-23    8.840109665589397E-7     1.555873715367559E-7     2760942.6763791754+8480.87440782026i              8567580.63255806
