% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=9E-12                      ewfd.normE (V/m) @ lambda=9E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -246188.08165122248-214812.59573392093i           2.253379741661925E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -1023434.475645864-952697.7709230647i             2.4222111597937193E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   76472.03607883367+79451.70333434932i              2.4319636238531124E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -1573740.4142115775-2131813.2255997024i           1.5955316668827197E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -2375777.8391587175-2504293.6992999753i           2.1333682560889207E7
0                         3.182396563385692E-7     -6.343381124083152E-8    -1605576.730823686-1450956.5281726376i            2.3386695196515217E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -1870175.7055015909-2728084.9137536795i           1.547117416021049E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -2754126.2908393154-4087600.0020772517i           1.7094027721398063E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -2570041.3027406847-3375423.2418261487i           1.918446169766728E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -1999080.7919180903-5292013.711912695i            1.0495410941094534E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    1062687.1172967532+1145042.0426671682i            1.919378908803959E7
0                         2.538559103127853E-7     5.584570174921412E-8     1166994.514863185+1295563.0903713002i             1.9049745391664E7
0                         3.24970696555981E-7      5.0869258428683064E-8    1370383.0880824784+1205461.3730116033i            2.3954794749692284E7
0                         3.258812924319995E-7     4.569473248067654E-8     1261474.6487295625+1109347.0633843727i            2.4223401196309455E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     2330814.9999347655+2196302.945433827i             2.1764980544326857E7
0                         3.221038368927431E-7     5.584714369209338E-8     1443556.0916739092+1302160.2833790672i            2.373514404975543E7
0                         2.5315329523993733E-7    6.001853845885086E-8     1195461.757733067+1422866.1484805027i             1.9002393741048027E7
0                         2.5085145295922413E-7    5.462592438847495E-8     1056739.7517971701+1224420.727905027i             1.8781652631583326E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    -772055.5856256619-1286993.6615463973i            1.439862942636982E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    -1112828.9703151986-995911.9103852382i            2.2530185393504728E7
0                         3.232695709983424E-7     -5.53045889386516E-8     -1377383.2876120775-1242781.9996919264i           2.3717789687908087E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -151928.87114345253-136877.27162638053i           1.7575597796102464E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    2563566.684743861+3776867.410532374i              1.717778541438791E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    2520514.0578806656+4002104.2526814155i            1.6567058908039272E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    1148082.521767003+1378031.284773796i              1.856888212123413E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    2704557.6447981726+4162410.901929738i             1.6861280062711507E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    -1235709.0961316484-1890279.2899355602i           1.418364294301887E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -1177075.6390267059-5366009.000934828i            5513922.255074973
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -980202.123831284-1884783.9050535082i             6196873.723315585
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -1818147.0538135844-5419270.462944936i            1.0280580350005751E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    -1163241.4673674062-1892493.9625083443i           1.2572480581901385E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -1854827.649556018-5486029.3087401055i            1.0274060550371338E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -1760684.3388402-5649660.286950767i               1.0332631792405393E7
0                         2.0046547469079038E-7    1.684949217441033E-7     2486193.560127138+4174572.8138172617i             1.5994974244318005E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    1324753.271271745+2365683.7107403087i             9279849.8232098
0                         9.892122696120922E-8     2.0811770775040243E-7    1644949.6777338623+5509331.855919916i             9540385.291062398
-1.0587911840678754E-22   0                        2.1844380867587958E-7    1140167.9622423432+5345351.592988049i             5483518.070318383
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    2650157.8339327187+4247350.521030942i             1.6299490176034762E7
0                         9.901265081548767E-8     2.086243933096728E-7     1613144.0056610217+5500844.052620296i             9489865.116434038
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    1608509.8748271822+5562230.117793767i             9535665.544701733
0                         4.3156852068532967E-7    -9.441573109727262E-8    -2481219.7416330744-3512159.8370974585i           1.2104852994859755E7
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    -1214281.4756012945-2108203.8299261606i           1.501955215891754E7
0                         4.0481067694876277E-7    -1.2247503680099905E-7   -3021853.8604497886-4600371.638799156i            1.2513572028688475E7
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   -1.2941599682901902E7-1.863024030754277E7i        2.307203854060369E7
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   -1.2180330277396763E7-1.806811535498475E7i        2.224081665602346E7
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   -1.300459825763747E7-1.94293455218331E7i          2.3710535650928427E7
0                         4.502508420350996E-7     -2.9324605695653366E-7   -1.1963583848745245E7-1.62647009596246E7i         2.0906103608355436E7
0                         4.561468564307357E-7     -2.3347254581814542E-7   -9607655.481406713-1.2574066329501359E7i          1.6971210380689688E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    -8407416.570740325-1.2245353797470633E7i          1.6268456774289053E7
0                         4.0481067694876277E-7    -2.491234228295679E-7    -9551244.97012083-1.3952457828267997E7i           1.7889741154991187E7
0                         4.0481067694876277E-7    -1.847936517365227E-7    -6413695.785929137-9446845.42839823i              1.5096957108858055E7
0                         4.997136481438985E-7     -5.4578163674120465E-8   -2115891.046452823-2460054.3983537396i            1.0246340481791297E7
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   -1529812.0826515104-1976677.3371689953i           1.3449482567913378E7
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   -863533.9706962021-939016.0391964553i             1.3523628096992409E7
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     -3858567.1443360676-4334669.616511101i            1.0957423544519793E7
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    -2546114.342210603-2989123.858575079i             1.092304331101579E7
0                         4.0481067694876277E-7    2.3721473678056144E-8    248584.64639269948+533905.7517178045i             1.6362076520269426E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    129789.84388851946-219937.24868347676i            1.6746387847943649E7
0                         4.375981764020514E-7     -1.443441900957181E-7    -4885648.251973641-6423084.201585107i             1.319225404875547E7
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    -9343203.37002083-1.0985800298322532E7i           1.5822497499603216E7
0                         5.165759812286529E-7     -1.5276612097377223E-7   -6864228.118135043-7688702.447558574i             1.2638348810628096E7
0                         4.777461392223046E-7     -1.1661254719235383E-7   -4598697.821591036-5491736.794722934i             1.260769457369074E7
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   -1.1214034710934822E7-1.0354141229332859E7i       1.6310571292409364E7
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    -1.3629203375251146E7-1.8278822087099448E7i       2.321072010262239E7
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   -1.3885946786896227E7-2.088842947776392E7i        2.5267682779419024E7
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   -1.4738437458223632E7-1.7666916275412474E7i       2.3462087718304023E7
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    -1.5040331964586992E7-1.8362264298612334E7i       2.4151694852974147E7
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    -1.4570298377929782E7-2.0878034507231858E7i       2.5722879889090728E7
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    -1.4736057807501517E7-2.1991241542303823E7i       2.6644246869851686E7
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    -1.4734812384784903E7-9451544.246420033i          1.831058103274964E7
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   -1.301802051347581E7-1.1072711524317887E7i        1.7878764562933564E7
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    -1.5837448323961254E7-1.3019951176921928E7i       2.1135575082925793E7
0                         7.115433440389336E-7     -4.4572366844655277E-7   -1.592383345354177E7-1.1652170583803967E7i        2.0549546821367513E7
0                         6.13672952558064E-7      -4.457236684465528E-7    -1.5503931436040396E7-1.4422491762989093E7i       2.1891688640525185E7
0                         5.835703006909465E-7     -3.9683597509188217E-7   -1.497418740141702E7-1.5020020670876231E7i        2.1847168234017543E7
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    801831.1873996446+827750.2588967265i              1.063836707348166E7
0                         4.872041077290517E-7     5.2308274107395806E-8    1997359.0482091326+2252133.6940393997i            1.1447575408513334E7
0                         4.0481067694876277E-7    1.360940974810027E-7     3863397.512880322+5764495.062875423i              1.2879184980288602E7
0                         4.0481067694876277E-7    5.720766611629198E-8     780376.6099197397+1412247.7580028323i             1.5641794343152799E7
0                         4.862892861970411E-7     7.59710070016916E-8      2784074.641274278+3293094.550913113i              1.0880831396785954E7
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    74447.66993900608+107059.51237553534i             1.3007108131210616E7
0                         2.459427215263416E-7     5.2736472453813216E-8    1051101.3974938586+1189622.4691948858i            1.8430389694614463E7
3.3087224502121107E-24    1.5707454531081041E-7    6.25005572267353E-8      693749.6460026496+1329768.9300309587i             1.1828435504329361E7
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    146606.41648475843+198352.41591082248i            1.555546647535157E7
0                         2.49260976348461E-7      5.607337329607634E-8     984269.9429899682+1221782.6125779194i             1.8750593284408946E7
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    2028807.4866423733+1798532.8460482818i            6840818.810109739
0                         5.960440285226311E-7     2.988217108289382E-8     1500869.3447924166+1390147.649813202i             7613428.221676603
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      2974200.742160247+3001220.8574139834i             8875608.905205231
-1.6543612251060553E-24   6.691471139469493E-7     -6.92448852235418E-8     -3698868.105524524-2843832.249105049i             8873603.754500119
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    5863072.319844916+7626374.740728995i              1.3316449817230243E7
0                         5.281021162220563E-7     1.0122790767266414E-7    4622067.628051759+4950878.798913572i              1.1050406386849595E7
0                         5.408635932871615E-7     1.6874223547965604E-7    7845140.786090595+8259179.651351184i              1.3246040166658338E7
0                         5.191967007498003E-7     7.363267056516884E-8     3182989.538128621+3457031.9360090694i             9951711.271473791
0                         1.2144320308462883E-6    -4.4572366844655277E-7   -8836794.642114585+7841435.21751562i              1.240884662855828E7
0                         9.711902279227485E-7     -1.706099099539873E-7    -7953799.144587022-1087996.1870806362i            1.1729277597822318E7
