% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=7E-12                      ewfd.normE (V/m) @ lambda=7E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -522038.009136225+1093795.5274397936i             1.3088111360138701E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -257761.694303291+1209030.9552203158i             1.3149528997189173E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   57480.998281773725+1213057.9758192676i            1.3188139365221277E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -2830281.4814938605+371448.74601790344i           1.1467814366525687E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -988757.6836521341+1105770.1576913425i            1.3759994103805657E7
0                         3.182396563385692E-7     -6.343381124083152E-8    -290031.118160625+1246765.3537437026i             1.3262530431948869E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -3638576.6096050576+148034.97033133064i           1.1568091553903677E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -3363618.831539574+444161.0473425206i             1.3235068854804922E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -2334423.2382050734+660561.4697797713i            1.3536982602360956E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -6847012.9726114245-1085615.5388051372i           1.0656137182191974E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -1814495.443741224+699619.6071643602i             1.2391791914274633E7
0                         2.538559103127853E-7     5.584570174921412E-8     -1547167.8311640597+767254.2137777598i            1.2291122572997415E7
0                         3.24970696555981E-7      5.0869258428683064E-8    -92025.81052483601+1243556.4094691228i            1.3452742920833921E7
0                         3.258812924319995E-7     4.569473248067654E-8     -53649.49484762552+1252439.7732673604i            1.3155485300944295E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -706346.6380508492+1162115.9207835875i            1.3778189635308199E7
0                         3.221038368927431E-7     5.584714369209338E-8     -189120.6603437652+1215521.7886080681i            1.3259751998731248E7
0                         2.5315329523993733E-7    6.001853845885086E-8     -1729689.811526858+696256.972436508i              1.225541522586088E7
0                         2.5085145295922413E-7    5.462592438847495E-8     -1607055.847562636+703112.6465762735i             1.189904460742198E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    -3377162.15220337+103372.5247629883i              1.1279425261528086E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    -660316.94249053+1064014.8709327213i              1.3329929041021448E7
0                         3.232695709983424E-7     -5.53045889386516E-8     -320028.59715001856+1220510.6634844283i           1.33999416896074E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -2162157.1014606943+483498.1278738271i            1.2808930308027236E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    -2716679.1890853085+688520.9784348147i            1.203564645028275E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -3679031.115731024+355023.67851512873i            1.223591970958746E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -2548282.79056359+532224.9786079203i              1.2245252425996717E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -2681299.44153836+725132.2681964012i              1.2418426784441143E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    -3424587.2517508473+101689.57111657022i           1.1226430775750965E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -8764935.202926226-2191753.7852199613i            9060492.413975276
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -5025040.441036986-649260.0547397877i             7133778.933153113
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -7027809.024588008-1225567.216762632i             1.0498461395242114E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    -3893579.3070734926-134616.52491126937i           1.0600514119365908E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -7015628.581937229-1146804.991438556i             1.0824637856450265E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -7353305.860367608-1340555.6941392017i            1.094724747973679E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -4413000.271401917+70749.96593358334i             1.2675319437444031E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -4826993.473628532-521286.0578226173i             9222934.974557972
0                         9.892122696120922E-8     2.0811770775040243E-7    -7542608.113650696-1466987.3060425597i            1.0311011440723049E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -8745332.082563583-2188143.248168289i             9030973.019117901
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    -3943443.7902351157+289798.8918796932i            1.2822293933389505E7
0                         9.901265081548767E-8     2.086243933096728E-7     -7322764.471298856-1320178.1504352088i            1.0321465503040548E7
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -7519597.634571424-1448503.3704755984i            1.0407467927469984E7
0                         4.3156852068532967E-7    -9.441573109727262E-8    7547952.283048384+3917050.719623075i              1.6843888925802507E7
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    7743477.365285084+4129025.6082849386i             1.6678781618930677E7
0                         4.0481067694876277E-7    -1.2247503680099905E-7   7711654.546890979+4210343.090935631i              1.659411993432135E7
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   3451224.209765279+2166335.272594021i              8564552.994610477
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   4003249.4670533002+2639745.4021004927i            9583392.440013459
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   3283898.0826505087+2111610.464791262i             8452735.359137153
0                         4.502508420350996E-7     -2.9324605695653366E-7   4122038.533648121+2458180.3066660985i             9989274.934856681
0                         4.561468564307357E-7     -2.3347254581814542E-7   5548825.061952732+3129239.365005759i              1.3164307803476503E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    6181611.064229365+3791158.9877224015i             1.422873078055307E7
0                         4.0481067694876277E-7    -2.491234228295679E-7    5538068.859128712+3438209.662794242i              1.2935310347727757E7
0                         4.0481067694876277E-7    -1.847936517365227E-7    6703368.2416112+3991030.27905265i                 1.501475149633267E7
0                         4.997136481438985E-7     -5.4578163674120465E-8   7160427.972578645+3381184.7149533746i             1.7762594826013803E7
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   7237964.827338634+3805695.7358519593i             1.72835640101608E7
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   7090519.278279321+3697424.0896999277i             1.716389278247032E7
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     6968445.382475974+3326825.142308483i              1.719507058561518E7
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    6941001.690463027+3562637.44620935i               1.7385483328181673E7
0                         4.0481067694876277E-7    2.3721473678056144E-8    7609806.722440883+3976950.6150746904i             1.6640916549653778E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    7914598.897628104+4091315.3440540745i             1.6838662425522607E7
0                         4.375981764020514E-7     -1.443441900957181E-7    6911724.267545605+3889971.415250884i              1.636660162109598E7
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    5448359.981966828+2802802.292141271i              1.3554322880000021E7
0                         5.165759812286529E-7     -1.5276612097377223E-7   6333627.075431242+2971223.703605121i              1.595297186055909E7
0                         4.777461392223046E-7     -1.1661254719235383E-7   6556404.476181481+3438254.6466464642i             1.6505573663884882E7
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   4017340.4663962447+1723257.4612306785i            1.168872188877154E7
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    2775124.369022051+1693386.3102339904i             7198667.475860593
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   1601999.2906029716+939166.280418143i              4934660.54475225
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   1099918.3285242545+607727.6799774563i             4537795.815488526
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    11126.300198181916-8780.464559808883i             3285163.324173364
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    14072.73336448434+24342.140054003965i             2516600.4685120755
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    -15549.265008539167-2729.4250017327286i           3326324.221312621
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    1517856.7355113134+321603.57111895585i            5371905.484041708
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   2784887.2565965746+1122520.431931283i             8869238.785040597
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    -14904.687013295417-12813.923354876499i           2999367.575649044
0                         7.115433440389336E-7     -4.4572366844655277E-7   12736.529626813446-5086.4967238164945i            2520167.8585835183
0                         6.13672952558064E-7      -4.457236684465528E-7    -1789.2458422988548+6181.757125246097i            2927470.5386696113
0                         5.835703006909465E-7     -3.9683597509188217E-7   1145125.610182671+569702.6226311366i              4422608.582470765
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    6869763.89486842+3300330.420055886i               1.7446643314114224E7
0                         4.872041077290517E-7     5.2308274107395806E-8    7157170.172523417+3472379.1188368825i             1.7566111203316562E7
0                         4.0481067694876277E-7    1.360940974810027E-7     7447932.099233346+4085771.651797465i              1.6409377492927568E7
0                         4.0481067694876277E-7    5.720766611629198E-8     7608853.349661639+4125741.1727960017i             1.6679091257327933E7
