% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=6E-12                      ewfd.normE (V/m) @ lambda=6E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   5450.183875470562-81979.29278804785i              3494040.6649928223
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   32183.656831705357-671670.5054626501i             2780268.146367678
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   14906.645274781285-146535.32724101495i            3359578.0610470097
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     139283.75642701352-2180035.1292939885i            4362884.688130301
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    43368.82899694967-1564606.5864643115i             5575285.911194747
0                         3.182396563385692E-7     -6.343381124083152E-8    45453.02533680738-1099048.4640997003i             3082856.943965379
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   283850.3324133348-3600000.6759628183i             5708289.915369875
0                         2.1845653395423077E-7    -1.6518554386307116E-7   287442.67048542615-4050698.721334598i             7473494.407562488
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   281475.0683998212-3716646.766259851i              6570931.964059362
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   1038324.6319327882-9410599.201390767i             1.0412223428221421E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -73124.15112274389+1096371.3809993106i            2738830.8340571593
0                         2.538559103127853E-7     5.584570174921412E-8     -76597.3385337804+1173434.7866072254i             2697226.1750293276
0                         3.24970696555981E-7      5.0869258428683064E-8    -21074.01825788126+662958.9298812842i             2720690.498372772
0                         3.258812924319995E-7     4.569473248067654E-8     -15201.965989234683+524213.03758866235i           2561072.636446112
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -27200.302193802607+1315651.046934767i            5341944.154214699
0                         3.221038368927431E-7     5.584714369209338E-8     -29277.68063282452+814267.8656696719i             2684826.772450421
0                         2.5315329523993733E-7    6.001853845885086E-8     -58426.206355572016+1035983.4606503391i           2921935.736065797
0                         2.5085145295922413E-7    5.462592438847495E-8     -76779.0461740937+1055274.0689779464i             2752763.9786092388
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    56608.00357398172-883438.1562756522i              2983537.638060405
0                         3.0382501758412077E-7    -4.485991782714857E-8    32702.898262135095-647066.2159662675i             2713961.4606515
0                         3.232695709983424E-7     -5.53045889386516E-8     48933.176346424014-979272.5501136001i             3026729.791117779
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      640.5658650837155+55770.41593269077i              3076811.8789543305
0                         2.1590675670731769E-7    1.6443578411235084E-7    -381555.6703593054+4472935.313074616i             6637074.344065204
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -518487.19315359945+5597833.663724212i            7592707.17966336
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -17279.018278301748+858955.3614040356i            2869325.569682627
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -513149.5090960824+5453739.312390634i             7614600.051294939
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    145593.90917837646-2032927.8943071915i            3610597.771480131
-1.0587911840678754E-22   0                        -2.184438086758795E-7    1450759.8821140043-1.1941657766345292E7i          1.2031846750750594E7
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    223371.34603624386-2731874.5205763914i            4026667.697412791
0                         1.1222187758084808E-7    -2.0359382100811807E-7   1053117.5576099693-9386414.00090933i              1.0636354888076048E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    216783.38448733292-2508222.544661382i             3732862.107837679
0                         1.1244237034527167E-7    -2.0569679271964817E-7   1146662.4895113911-1.0025944842582338E7i          1.1159921354475532E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   1173070.310919913-1.0154934589733992E7i           1.1355689452561066E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -495609.3647789269+5552356.986989183i             8018305.893509686
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -353456.8347974413+3906600.1682958845i            5139416.602938684
0                         9.892122696120922E-8     2.0811770775040243E-7    -1175316.0498911007+1.0149025950346077E7i         1.100034088828332E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -1384749.8500030122+1.1499742392692622E7i         1.1684875286486235E7
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    -562002.8790587097+6077052.268378402i             8251892.388421118
0                         9.901265081548767E-8     2.086243933096728E-7     -1206897.8043165205+1.0335772485554941E7i         1.116898503785181E7
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -1233953.6614429737+1.0512091173596017E7i         1.13904968606303E7
0                         4.3156852068532967E-7    -9.441573109727262E-8    -129403.50836781593-805906.5908947426i            4640046.638610294
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    -106563.9719686332-444971.2893090703i             3279286.922987877
0                         4.0481067694876277E-7    -1.2247503680099905E-7   -152057.39941604008-1219746.1047944734i           5636850.974485467
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   -271523.80798318225-3481439.6103147874i           1.431884262420205E7
