% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:28
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.4E-11                    ewfd.normE (V/m) @ lambda=1.4E-11
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   6916132.305099982-2584466.4334925287i             8080298.610772623
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   7126628.791550834-1761075.2292032472i             7686104.164830218
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   6960326.333523204-2264787.6854725485i             7907534.063957211
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     7033111.582899025-1519255.973776748i              8035841.313912295
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    6719449.202416299-554343.1861451783i              8947909.225324323
0                         3.182396563385692E-7     -6.343381124083152E-8    7211614.58268498-1438898.4164113225i              7845684.123606422
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   7067170.156849011-428963.35433940217i             8209589.340468061
0                         2.1845653395423077E-7    -1.6518554386307116E-7   6117277.068794708+2177687.377603477i              9761546.847310554
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   6800410.831563404+1239933.5511895474i             9045233.121632045
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   6174551.15826755+3120128.0482936352i              8973043.308713809
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    7149717.031056884-2048516.500124877i              7771941.570477539
0                         2.538559103127853E-7     5.584570174921412E-8     7167489.005756751-1814579.9771199268i             7780106.209750156
0                         3.24970696555981E-7      5.0869258428683064E-8    7142309.5716679925-1564055.5509419357i            7680304.338830683
0                         3.258812924319995E-7     4.569473248067654E-8     7146664.561093229-1568656.090019235i              7623475.7678363
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     6824620.618489774-981706.1286747922i              8798085.52702045
0                         3.221038368927431E-7     5.584714369209338E-8     7153406.099821389-1438852.998987174i              7683698.874084457
0                         2.5315329523993733E-7    6.001853845885086E-8     7214921.5078665605-1798661.732190618i             7810733.682746412
