% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 2 2026, 12:47
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1E-11                      ewfd.normE (V/m) @ lambda=1E-11
0                         0                        -3.1422538329827064E-7   -60235.46989984861+61078.9509677581i              85784.32307465839
0                         0                        -3.013998574493616E-7    -604126.3021925935+326504.61622481805i            686712.3512920184
0                         0                        -2.8857433160045264E-7   -1155149.8970606707+542447.6438094303i            1276174.2557165462
0                         0                        -2.757488057515436E-7    -1713306.2545040858+708908.033721594i             1854176.0763201092
0                         0                        -2.6292327990263464E-7   -2278595.374522833+825885.7859613101i             2423651.0087571978
0                         0                        -2.500977540537256E-7    -2833796.2502277717+807910.4553258129i            2946713.5068801213
0                         0                        -2.372722282048166E-7    -3518006.08658628+674982.959061662i               3582173.7562940395
0                         0                        -2.244467023559076E-7    -3824490.098777643+736740.7240541559i             3894805.6960685556
0                         0                        -2.116211765069986E-7    -4097309.3725459157+716206.8787989914i            4159434.623550609
0                         0                        -1.987956506580896E-7    -4336463.907891094+613381.4232961695i             4379629.664125374
0                         0                        -1.859701248091806E-7    -4541953.7048131805+428264.35754568956i           4562099.71576797
0                         0                        -1.731445989602716E-7    -4713778.763312175+160855.68154755043i            4716522.530396625
0                         0                        -1.6031907311136257E-7   -3833138.9553217464+749947.4440664591i            3905813.029276607
0                         0                        -1.4749354726245356E-7   -4056910.6572232875+284797.7112327586i            4066894.861809843
0                         0                        -1.3466802141354456E-7   -4348716.100713896-232224.060678564i              4354912.139063923
0                         0                        -1.2184249556463556E-7   -4705545.496865654-797220.0656759014i             4772600.785335908
0                         0                        -1.0901696971572656E-7   -5126624.755494535-1409619.1852498716i            5316888.905278529
0                         0                        -9.619144386681756E-8    -5611192.024925794-2068859.3303805708i            5980439.354219184
0                         0                        -8.336591801790855E-8    -5679359.48575769-2230521.539295841i              6101667.846230942
0                         0                        -7.054039216899952E-8    -5949431.638160012-2549885.8044174644i            6472839.750272597
0                         0                        -5.771486632009055E-8    -6239189.624736727-2853357.1004200066i            6860694.856640957
0                         0                        -4.488934047118152E-8    -6541460.125835567-3134874.9750656267i            7253836.342735435
0                         0                        -3.2063814622272545E-8   -6638098.113272461-3223515.6751318304i            7379390.209851491
0                         0                        -1.9238288773363516E-8   -6733590.490128918-3304581.884017266i             7500766.781931678
0                         0                        -6.412762924454488E-9    -6827937.2564049475-3378073.6017219415i           7617880.8362991195
0                         0                        6.412762924454488E-9     -7448290.434601744-3952391.727717214i             8431988.541708728
0                         0                        1.9238288773363516E-8    -7158683.866546912-3741965.7640639367i            8077689.179498407
0                         0                        3.206381462227249E-8     -6888074.219186169-3509356.4389375458i            7730533.556264378
0                         0                        4.488934047118152E-8     -6636461.492519513-3254563.7523380397i            7391536.129907435
0                         0                        5.7714866320090496E-8    -6417293.082746815-3002482.2462324025i            7084952.374491369
0                         0                        7.054039216899952E-8     -6224165.820169776-2764416.1897724774i            6810450.574466118
0                         0                        8.33659180179085E-8      -6040399.282111073-2517489.9892820125i            6544018.592078045
0                         0                        9.619144386681753E-8     -4900552.215532649-1408450.3100792426i            5098935.603939735
0                         0                        1.0901696971572656E-7    -4674321.156916297-977473.813706889i              4775430.172715124
0                         0                        1.2184249556463553E-7    -4508080.242692967-594240.3578797707i             4547076.981698436
0                         0                        1.3466802141354456E-7    -4402541.5116438065-259316.61728656897i           4410171.977343728
0                         0                        1.4749354726245354E-7    -4358428.315810392+26721.729747567326i            4358510.231133858
0                         0                        1.6031907311136257E-7    -4376475.546079874+263289.82172953i               4384388.18259304
0                         0                        1.731445989602716E-7     -4556693.63499263+218958.9998307704i              4561951.328849228
0                         0                        1.8597012480918057E-7    -4827393.031304682+5279.746145841898i             4827395.918547428
0                         0                        1.9879565065808955E-7    -4483761.150432886+286404.80887959123i            4492899.038336004
0                         0                        2.1162117650699863E-7    -4105177.714205395+493839.9291120631i             4134774.7146360995
0                         0                        2.244467023559076E-7     -3675673.391404717+645002.3028953667i             3731836.391245064
