% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 223.29+5.7563i THz                ewfd.normE (V/m) @ 223.29+5.7563i THz
0                         0                        -3.913059381630264E-7    8094867.673250932+2439191.696601943i              8454379.857814223
0                         0                        -3.753342672175967E-7    8056699.019314507+2424877.056788024i              8413704.76237194
0                         0                        -3.593625962721671E-7    7925721.808153704+2380979.83221226i               8275634.787836202
0                         0                        -3.4339092532673743E-7   7671962.917883469+2293887.7746401317i             8007554.94118039
0                         0                        -3.2741925438130776E-7   7495133.46608961+2236365.229574415i               7821659.358125095
0                         0                        -3.1144758343587815E-7   6816122.178126476+2025089.9393884246i             7110591.452879276
0                         0                        -2.954759124904485E-7    5996659.403584314+1759895.8179132103i             6249572.56878457
0                         0                        -2.7950424154501886E-7   5166904.074276906+1491921.2421382486i             5377985.3760978775
0                         0                        -2.635325705995892E-7    4790725.493070788+1398727.0483132484i             4990740.236241657
0                         0                        -2.4756089965415953E-7   4376614.157370281+1273307.3161453812i             4558076.678144339
0                         0                        -2.3158922870872991E-7   3962617.0241719987+1148241.1092526542i            4125626.173714181
0                         0                        -2.1561755776330025E-7   3548734.0934759467+1023528.4276350678i            3693389.244092161
0                         0                        -1.996458868178706E-7    3333246.062330135+960294.9939195889i              3468817.635360264
0                         0                        -1.8367421587244096E-7   3047558.945161363+884585.3898759983i              3173343.163954241
0                         0                        -1.677025449270113E-7    2757357.251341824+806837.3662580213i              2872978.51490705
0                         0                        -1.5173087398158168E-7   2008000.4889044396+561907.2084547554i             2085139.2457948425
0                         0                        -1.3575920303615201E-7   1891673.7872078877+539886.7332736161i             1967208.0220389224
0                         0                        -1.1978753209072235E-7   1721778.8425478106+498185.5926201306i             1792403.7679439164
0                         0                        -1.0381586114529273E-7   1548890.723299275+455290.28894867876i             1614419.9329584362
0                         0                        -8.784419019986307E-8    1373009.4294622815+411200.8222592601i             1433262.3659396877
0                         0                        -7.187251925443345E-8    1194134.9610368311+365917.1925518754i             1248941.030223397
0                         0                        -5.590084830900378E-8    1012267.3180229221+319439.3998265237i             1061473.8118761335
0                         0                        -3.9929177363574116E-8   827406.5004205563+271767.4440832059i              870895.5509139488
0                         0                        -2.39575064181445E-8     1504.468941384548+562.0497134658435i              1606.0282301372474
0                         0                        -7.985835472714834E-9    -100101.77109309027-19212.22469228828i            101928.76999944821
0                         0                        7.985835472714834E-9     -244613.88804834094-54126.477637797085i           250530.6963379961
0                         0                        2.3957506418144448E-8    -441244.09668109746-107425.60377586761i           454132.8144965164
0                         0                        3.9929177363574116E-8    -635696.226972768-159941.38130997188i             655508.1528423233
0                         0                        5.590084830900378E-8     -827970.278923352-211673.81024010957i             854599.6634225755
0                         0                        7.18725192544334E-8      -1018066.2525328486-262622.8905662806i            1051394.1588175513
0                         0                        8.784419019986301E-8     -1205984.1478012581-312788.62228848477i           1245887.028177537
