% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 22:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=4E-9                               w (m) @ lambda=4E-9
0                         0                        -2.7311952835388394E-7   1.8660208647112145E-30+1.0577116643396614E-32i    -3.7673058191167935E-13-9.528851365810749E-13i
0                         0                        -2.61971792502705E-7     5.697979286300489E-29-3.0906282719661672E-30i     -3.7528226528411534E-13-9.55038577095143E-13i
0                         0                        -2.5082405665152606E-7   3.108962722827228E-32+1.2875419913443648E-28i     -3.7400415781445486E-13-9.569051718524886E-13i
0                         0                        -2.396763208003471E-7    3.2657956932843806E-29-4.9107589640629265E-29i    -3.730320347175456E-13-9.589123362935497E-13i
0                         0                        -2.285285849491682E-7    2.854792792291265E-29-1.1337295747814571E-28i     -3.7236589599338734E-13-9.610600704183257E-13i
0                         0                        -2.1738084909798926E-7   1.2469665048486868E-29-5.0272384486336025E-29i    -3.720057416419802E-13-9.633483742268166E-13i
0                         0                        -2.0623311324681032E-7   9.679404925519102E-30-6.230170264698398E-29i      -3.719515716633241E-13-9.657772477190226E-13i
0                         0                        -1.950853773956314E-7    3.093708755723298E-29-2.399427661916118E-28i      -3.7220338605741943E-13-9.683466908949442E-13i
0                         0                        -1.8393764154445246E-7   1.311951083987276E-29-1.0315486324897535E-28i     -3.727611848242653E-13-9.710567037545799E-13i
0                         0                        -1.7278990569327352E-7   0                                                 -3.735703716984779E-13-9.737468772493448E-13i
0                         0                        -1.6164216984209458E-7   0                                                 -3.743389109483388E-13-9.751507047230255E-13i
0                         0                        -1.5049443399091563E-7   0                                                 -3.7513157540600183E-13-9.752088053202483E-13i
0                         0                        -1.393466981397367E-7    0                                                 -3.7594836507146743E-13-9.739211790410142E-13i
0                         0                        -1.2819896228855775E-7   0                                                 -3.768063101368082E-13-9.716871250274087E-13i
0                         0                        -1.1705122643737884E-7   0                                                 -3.7745573811657995E-13-9.68283201072776E-13i
0                         0                        -1.059034905861999E-7    0                                                 -3.777950126287639E-13-9.632252825270564E-13i
0                         0                        -9.475575473502095E-8    NaN                                               NaN
0                         0                        -8.360801888384201E-8    NaN                                               NaN
0                         0                        -7.246028303266307E-8    NaN                                               NaN
0                         0                        -6.131254718148415E-8    NaN                                               NaN
0                         0                        -5.016481133030521E-8    NaN                                               NaN
0                         0                        -3.901707547912627E-8    NaN                                               NaN
0                         0                        -2.7869339627947328E-8   NaN                                               NaN
0                         0                        -1.6721603776768386E-8   NaN                                               NaN
0                         0                        -5.5738679255894444E-9   NaN                                               NaN
0                         0                        5.573867925589497E-9     NaN                                               NaN
0                         0                        1.672160377676844E-8     NaN                                               NaN
0                         0                        2.7869339627947328E-8    NaN                                               NaN
0                         0                        3.901707547912627E-8     NaN                                               NaN
0                         0                        5.016481133030521E-8     NaN                                               NaN
0                         0                        6.131254718148415E-8     NaN                                               NaN
0                         0                        7.24602830326631E-8      NaN                                               NaN
0                         0                        8.360801888384204E-8     NaN                                               NaN
0                         0                        9.475575473502098E-8     NaN                                               NaN
0                         0                        1.0590349058619992E-7    0                                                 -9.827157598460852E-13-2.958203227330311E-13i
0                         0                        1.1705122643737886E-7    0                                                 -9.912728011602703E-13-2.959919583886821E-13i
0                         0                        1.281989622885578E-7     0                                                 -9.973260377682051E-13-2.9582512732700737E-13i
0                         0                        1.3934669813973675E-7    0                                                 -1.000875469669889E-12-2.95319829548007E-13i
0                         0                        1.5049443399091563E-7    0                                                 -1.0019210968653226E-12-2.944760650516809E-13i
0                         0                        1.6164216984209458E-7    0                                                 -1.0004561594596265E-12-2.9328442530970575E-13i
0                         0                        1.7278990569327352E-7    0                                                 -9.980483958457978E-13-2.922446600043399E-13i
0                         0                        1.8393764154445246E-7    0                                                 -9.960134650294172E-13-2.9168363469259465E-13i
0                         0                        1.950853773956314E-7     0                                                 -9.939991415569642E-13-2.9141074640468516E-13i
0                         0                        2.062331132468103E-7     0                                                 -9.920054254284393E-13-2.9142599514061184E-13i
0                         0                        2.1738084909798929E-7    0                                                 -9.900323166438418E-13-2.917293809003744E-13i
0                         0                        2.2852858494916817E-7    0                                                 -9.880798152031726E-13-2.9232090368397293E-13i
0                         0                        2.3967632080034717E-7    0                                                 -9.861479211064306E-13-2.9320056349140734E-13i
0                         0                        2.5082405665152606E-7    0                                                 -9.84236634353617E-13-2.9436836032267787E-13i
0                         0                        2.6197179250270505E-7    0                                                 -9.823459549447308E-13-2.958242941777843E-13i
0                         0                        2.7311952835388394E-7    0                                                 -9.805530503920204E-13-2.9737473031774213E-13i
0                         1.3490236051158472E-8    -2.7311952835388394E-7   3.0415151266061245E-14-1.1723411672103427E-14i    -3.715328612158312E-13-9.406027212319968E-13i
0                         1.3490236051158472E-8    -2.61971792502705E-7     2.7344256100673085E-14-1.8553713575267337E-14i    -3.7120478789959024E-13-9.439419895954103E-13i
0                         1.3490236051158472E-8    -2.5082405665152606E-7   2.4038382375879403E-14-2.684849937776893E-14i     -3.705166515460038E-13-9.467625498521077E-13i
0                         1.3490236051158472E-8    -2.396763208003471E-7    2.0805583235923143E-14-3.548454633292208E-14i     -3.695316623081042E-13-9.491100483562556E-13i
0                         1.3490236051158472E-8    -2.285285849491682E-7    1.7440929201012408E-14-4.441353554310975E-14i     -3.68654850484162E-13-9.512634783783122E-13i
0                         1.3490236051158472E-8    -2.1738084909798926E-7   1.4072794502057922E-14-5.3350637843424256E-14i    -3.6807675956868237E-13-9.53544854651067E-13i
0                         1.3490236051158472E-8    -2.0623311324681032E-7   1.0704659803103407E-14-6.228774014373867E-14i     -3.678046530259536E-13-9.559668006075363E-13i
0                         1.3490236051158472E-8    -1.950853773956314E-7    7.336525104148893E-15-7.122484244405298E-14i      -3.678385308559759E-13-9.585293162477209E-13i
0                         1.3490236051158472E-8    -1.8393764154445246E-7   3.9683904051943806E-15-8.016194474436737E-14i     -3.681783930587495E-13-9.612324015716205E-13i
0                         1.3490236051158472E-8    -1.7278990569327352E-7   3.4263633434257994E-16-8.975650134092948E-14i     -3.687883259101588E-13-9.638534478433755E-13i
0                         1.3490236051158472E-8    -1.6164216984209458E-7   -3.85969738161678E-15-1.0082251081004987E-13i     -3.694394125880319E-13-9.65144192551527E-13i
0                         1.3490236051158472E-8    -1.5049443399091563E-7   -8.062031097576141E-15-1.1188852027917029E-13i    -3.701146244737075E-13-9.650892103832216E-13i
0                         1.3490236051158472E-8    -1.393466981397367E-7    -1.321851223421676E-14-1.2447195003254203E-13i    -3.706753779339222E-13-9.634190710538131E-13i
0                         1.3490236051158472E-8    -1.2819896228855775E-7   -1.8235588832405547E-14-1.368061355200828E-13i    -3.7141978457923826E-13-9.612805021701102E-13i
0                         1.3490236051158472E-8    -1.1705122643737884E-7   -2.306795184982539E-14-1.488422667286089E-13i     -3.719089000462315E-13-9.576711679198976E-13i
0                         1.3490236051158472E-8    -1.059034905861999E-7    -3.213262223834574E-14-1.7130984427482857E-13i    -3.71672888648648E-13-9.503757666800769E-13i
0                         1.3490236051158472E-8    -9.475575473502095E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -8.360801888384201E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -7.246028303266307E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -6.131254718148415E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -5.016481133030521E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -3.901707547912627E-8    NaN                                               NaN
0                         1.3490236051158472E-8    -2.7869339627947328E-8   NaN                                               NaN
0                         1.3490236051158472E-8    -1.6721603776768386E-8   NaN                                               NaN
0                         1.3490236051158472E-8    -5.5738679255894444E-9   NaN                                               NaN
0                         1.3490236051158472E-8    5.573867925589497E-9     NaN                                               NaN
0                         1.3490236051158472E-8    1.672160377676844E-8     NaN                                               NaN
0                         1.3490236051158472E-8    2.7869339627947328E-8    NaN                                               NaN
0                         1.3490236051158472E-8    3.901707547912627E-8     NaN                                               NaN
0                         1.3490236051158472E-8    5.016481133030521E-8     NaN                                               NaN
0                         1.3490236051158472E-8    6.131254718148415E-8     NaN                                               NaN
0                         1.3490236051158472E-8    7.24602830326631E-8      NaN                                               NaN
0                         1.3490236051158472E-8    8.360801888384204E-8     NaN                                               NaN
0                         1.3490236051158472E-8    9.475575473502098E-8     NaN                                               NaN
0                         1.3490236051158472E-8    1.0590349058619992E-7    1.789423509009313E-13+1.9964367946886627E-14i     -9.72242328999341E-13-2.91955476059853E-13i
0                         1.3490236051158472E-8    1.1705122643737886E-7    1.6256863791026546E-13+1.4851627639602892E-14i    -9.803551666122217E-13-2.920920293276174E-13i
0                         1.3490236051158472E-8    1.281989622885578E-7     1.4632294915853897E-13+9.778869820661496E-15i     -9.858880469528157E-13-2.918795555557851E-13i
0                         1.3490236051158472E-8    1.3934669813973675E-7    1.302037703739869E-13+4.7456215020522056E-15i     -9.88841867218184E-13-2.913181799829477E-13i
0                         1.3490236051158472E-8    1.5049443399091563E-7    1.141348028762519E-13-2.598183519290756E-16i      -9.892015520392966E-13-2.903539547377758E-13i
0                         1.3490236051158472E-8    1.6164216984209458E-7    1.0048693475729722E-13-4.214109446067318E-15i     -9.877079110515147E-13-2.8873302956748834E-13i
0                         1.3490236051158472E-8    1.7278990569327352E-7    9.091586475004884E-14-6.9235358761035955E-15i     -9.855473042022603E-13-2.8778027842376373E-13i
0                         1.3490236051158472E-8    1.8393764154445246E-7    8.168448402401473E-14-9.646287731750738E-15i      -9.835622322988119E-13-2.87497693560743E-13i
0                         1.3490236051158472E-8    1.950853773956314E-7     7.24531032979806E-14-1.2369039587397876E-14i      -9.815977677392912E-13-2.875032457215584E-13i
0                         1.3490236051158472E-8    2.062331132468103E-7     6.322172257194651E-14-1.5091791443045E-14i        -9.796539105236991E-13-2.877969349062098E-13i
0                         1.3490236051158472E-8    2.1738084909798929E-7    5.399034184591239E-14-1.7814543298692155E-14i     -9.777306606520344E-13-2.8837876111469706E-13i
0                         1.3490236051158472E-8    2.2852858494916817E-7    4.475896111987831E-14-2.0537295154339284E-14i     -9.758280181242978E-13-2.8924872434702035E-13i
0                         1.3490236051158472E-8    2.3967632080034717E-7    3.552758039384415E-14-2.3260047009986437E-14i     -9.739459829404884E-13-2.9040682460317955E-13i
0                         1.3490236051158472E-8    2.5082405665152606E-7    2.6296199667810062E-14-2.598279886563356E-14i     -9.72084555100607E-13-2.918530618831746E-13i
0                         1.3490236051158472E-8    2.6197179250270505E-7    1.712552799935148E-14-2.8692472310961874E-14i     -9.702129624525618E-13-2.9350447713751964E-13i
0                         1.3490236051158472E-8    2.7311952835388394E-7    9.728016257658024E-15-3.111085835302124E-14i      -9.677015124795072E-13-2.9380934106514663E-13i
0                         2.6980472102316943E-8    -2.7311952835388394E-7   6.022961319620033E-14-2.333482216113006E-14i      -3.606649470059876E-13-9.135839785430867E-13i
0                         2.6980472102316943E-8    -2.61971792502705E-7     5.466527556062665E-14-3.689383871786171E-14i      -3.5918119395783264E-13-9.156844697020123E-13i
0                         2.6980472102316943E-8    -2.5082405665152606E-7   4.8437599819161194E-14-5.2562745907625906E-14i    -3.5838133359621303E-13-9.186504608875317E-13i
0                         2.6980472102316943E-8    -2.396763208003471E-7    4.178624684710402E-14-6.951073244483211E-14i      -3.577926764281865E-13-9.214731446976088E-13i
0                         2.6980472102316943E-8    -2.285285849491682E-7    3.503396327760117E-14-8.72425973130426E-14i       -3.568824634405354E-13-9.238353698754788E-13i
