% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=5E-12                      ewfd.normE (V/m) @ lambda=5E-12
0                         0                        -4.455E-7                -33024.54137951145-40000.564782667614i            218471.85562948682
0                         0                        -4.2731632653061225E-7   923400.756199397-704690.908386955i                1161575.7542721224
0                         0                        -4.091326530612245E-7    1860087.1340053238-1281380.5745594325i            2258729.8029977824
0                         0                        -3.9094897959183674E-7   2719758.298666021-1844103.5888285476i             3286001.1030876143
0                         0                        -3.72765306122449E-7     3502414.250181487-2392859.9511942985i             4241778.439039919
0                         0                        -3.545816326530612E-7    4208054.988551728-2927649.661656691i              5126290.991357555
0                         0                        -3.3639795918367346E-7   4850839.082184021-3424148.922874562i              5937628.789952007
0                         0                        -3.1821428571428575E-7   5403192.238764976-3871737.7880026675i             6647167.80802906
0                         0                        -3.0003061224489794E-7   6299980.751863498-4151701.375360135i              7544957.374565996
0                         0                        -2.8184693877551024E-7   7020684.616733454-4344535.092197028i              8256209.642140224
0                         0                        -2.636632653061224E-7    7533805.191716823-4506325.226124008i              8778678.01609906
0                         0                        -2.454795918367347E-7    7839342.476813613-4637071.777141081i              9108113.149008006
0                         0                        -2.2729591836734696E-7   7937296.4720238-4736774.745248236i                9243252.14802793
0                         0                        -2.091122448979592E-7    6665225.77601508-4733638.461288968i               8175118.820387262
0                         0                        -1.9092857142857144E-7   6211948.461576456-4574579.733205163i              7714601.961522935
0                         0                        -1.7274489795918368E-7   5715385.209833356-4439904.634079734i              7237291.016430427
0                         0                        -1.5456122448979592E-7   5175536.0207857825-4329613.163912698i             6747719.855742179
0                         0                        -1.3637755102040816E-7   4592400.894433737-4243705.32270404i               6252933.778726782
0                         0                        -1.181938775510204E-7    3965979.8307772144-4182181.110453768i             5763647.704255351
0                         0                        -1.0001020408163265E-7   3296272.829816217-4145040.52716188i               5295920.650878282
0                         0                        -8.182653061224489E-8    2583279.891550745-4132283.572828376i              4873305.09247653
0                         0                        -6.364285714285713E-8    1827001.0159807985-4143910.247453258i             4528788.4529245775
0                         0                        -4.545918367346937E-8    1643541.2952316857-4116647.837433012i             4432608.420171326
0                         0                        -2.7275510204081612E-8   1711386.269435327-4091139.7882091366i             4434666.586100884
0                         0                        -9.091836734693906E-9    1751540.5196216179-4079331.3856220935i            4439463.790323989
0                         0                        9.091836734693853E-9     1764004.0457905605-4081222.629671883i             4446131.849879324
0                         0                        2.7275510204081612E-8    1748776.8479421511-4096813.5203585015i            4454447.38261557
0                         0                        4.5459183673469424E-8    2014132.9867041246-4132713.302695377i             4597396.103274657
0                         0                        6.364285714285713E-8     2280142.655380655-4157288.0523116924i             4741528.7069446165
0                         0                        8.182653061224494E-8     1585685.6099972648-4218168.384038745i             4506366.981267331
0                         0                        1.0001020408163265E-7    2593401.9579870454-4188571.9637327846i            4926445.859954148
0                         0                        1.1819387755102046E-7    3556176.277326378-4184539.2487338753i             5491516.952501664
0                         0                        1.3637755102040816E-7    4474008.568015241-4206070.239042012i              6140666.048762848
0                         0                        1.5456122448979587E-7    5346898.83005365-4253164.934657201i               6832184.062232712
0                         0                        1.7274489795918368E-7    6174847.063441603-4325823.335579434i              7539329.133784847
0                         0                        1.909285714285714E-7     6957853.268179091-4424045.441808715i              8245234.998027584
0                         0                        2.091122448979592E-7     7695917.444266127-4547831.25334505i               8939234.554359881
0                         0                        2.272959183673469E-7     7293247.838328751-4962090.39640652i               8821213.35947594
0                         0                        2.454795918367347E-7     7359989.245134642-4803227.88427393i               8788654.037835613
0                         0                        2.636632653061224E-7     7237577.881894201-4609888.080727419i              8581002.372294094
0                         0                        2.8184693877551024E-7    6926013.748607416-4382070.985766975i              8195865.577850804
0                         0                        3.0003061224489794E-7    6425296.8452742975-4119776.5993926097i            7632627.252708911
0                         0                        3.1821428571428575E-7    5555328.957626015-3852620.606698051i              6760500.378418198
0                         0                        3.3639795918367346E-7    4936053.426024936-3426807.2877824306i             6008962.606987273
0                         0                        3.5458163265306127E-7    4244202.675894812-2954140.8909466164i             5171093.187870002
0                         0                        3.72765306122449E-7      3516484.815432367-2435745.179356848i              4277676.943847739
0                         0                        3.909489795918368E-7     2705912.5621968517-1901824.7072357596i            3307400.793872299
0                         0                        4.091326530612245E-7     1812485.9161882745-1352379.4745833632i            2261423.3216395425
0                         0                        4.273163265306122E-7     836204.8774066311-787409.4813996499i              1148587.0835059502
0                         0                        4.455E-7                 -1818.7275677496837-5037.046956109956i            218440.44776170191
0                         1.6530612244897957E-8    -4.455E-7                6635.606370199776+8107.2841657291965i             2571738.057314298
0                         1.6530612244897957E-8    -4.2731632653061225E-7   821987.3245850133-693835.5379963393i              2518123.523321491
0                         1.6530612244897957E-8    -4.091326530612245E-7    1728425.3870432694-1284800.1450928464i            3110854.994063959
0                         1.6530612244897957E-8    -3.9094897959183674E-7   2557848.2363562975-1861798.1002859923i            3861293.568696287
0                         1.6530612244897957E-8    -3.72765306122449E-7     3310255.8725240966-2424829.403575776i             4648207.431332421
0                         1.6530612244897957E-8    -3.545816326530612E-7    3985648.2955466653-2973894.0549621982i            5419528.458919347
0                         1.6530612244897957E-8    -3.3639795918367346E-7   4631793.454663372-3465942.2923099943i             6120181.129432575
0                         1.6530612244897957E-8    -3.1821428571428575E-7   5195691.648157684-3919307.8779517114i             6759942.669207049
0                         1.6530612244897957E-8    -3.0003061224489794E-7   5874802.504548987-4237029.352609965i              7364218.512907724
0                         1.6530612244897957E-8    -2.8184693877551024E-7   6588854.243393198-4435466.347803639i              8040122.341704192
0                         1.6530612244897957E-8    -2.636632653061224E-7    7095322.692350817-4602859.760087399i              8537992.180741325
0                         1.6530612244897957E-8    -2.454795918367347E-7    7394207.85142185-4739209.589461246i               8850477.87769413
0                         1.6530612244897957E-8    -2.2729591836734696E-7   8291220.7879544655-4607349.956473211i             9492659.238470351
0                         1.6530612244897957E-8    -2.091122448979592E-7    8158807.487040513-4475654.407824232i              9815383.248546258
0                         1.6530612244897957E-8    -1.9092857142857144E-7   6571385.189215693-4511142.702919302i              8119399.772703972
0                         1.6530612244897957E-8    -1.7274489795918368E-7   5226258.263777451-4510888.550078319i              6978144.110422403
0                         1.6530612244897957E-8    -1.5456122448979592E-7   4684366.838592522-4401583.234180017i              6504134.697256851
0                         1.6530612244897957E-8    -1.3637755102040816E-7   4099189.4761031177-4316661.547240101i             6031466.989026356
0                         1.6530612244897957E-8    -1.181938775510204E-7    3470726.1763092373-4256123.489258565i             5573017.887563658
0                         1.6530612244897957E-8    -1.0001020408163265E-7   2798976.939210883-4219969.060235418i              5147614.600854092
0                         1.6530612244897957E-8    -8.182653061224489E-8    2083941.7648080522-4208198.260170649i             4781839.757483823
0                         1.6530612244897957E-8    -6.364285714285713E-8    1478536.781160466-4189478.3346449765i             4498656.088605482
0                         1.6530612244897957E-8    -4.545918367346937E-8    1267323.7741661344-4154463.957140918i             4349675.266293715
0                         1.6530612244897957E-8    -2.7275510204081612E-8   1335150.7304110315-4128983.2495560586i            4345616.570696816
0                         1.6530612244897957E-8    -9.091836734693906E-9    1375286.9626385795-4117202.1886080303i            4346915.538551603
0                         1.6530612244897957E-8    9.091836734693853E-9     1387732.470848778-4119120.7742968355i             4352690.213575618
0                         1.6530612244897957E-8    2.7275510204081612E-8    1372487.2550416265-4134739.006622469i             4362703.923091585
0                         1.6530612244897957E-8    4.5459183673469424E-8    1483407.816608159-4167910.5613291804i             4477011.981860872
0                         1.6530612244897957E-8    6.364285714285713E-8     1937611.4402412989-4208430.264174578i             4655373.615343931
0                         1.6530612244897957E-8    8.182653061224494E-8     2141050.120089732-4248133.752637232i              4790196.870761583
0                         1.6530612244897957E-8    1.0001020408163265E-7    2135980.655595392-4285805.361777574i              4925262.394345847
0                         1.6530612244897957E-8    1.1819387755102046E-7    3100117.4454580396-4281129.907190851i             5414733.040991187
0                         1.6530612244897957E-8    1.3637755102040816E-7    4019312.2066702205-4302018.157911176i             6008067.898523698
0                         1.6530612244897957E-8    1.5456122448979587E-7    4893564.939231947-4348470.113938551i              6659293.399461958
