% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 164.82+0.032625i THz              ewfd.normE (V/m) @ 164.82+0.032625i THz
0                         3.0797447858019456E-8    -1.8367421587244096E-7   2.489450441840536E7-284457.02436638495i           2.4900262668514304E7
0                         3.0797447858019456E-8    -1.677025449270113E-7    2.2488435603097755E7-257154.80079158949i          2.250035351869786E7
0                         3.0797447858019456E-8    -1.5173087398158168E-7   2.0192567333056107E7-231127.0382390223i           2.0224502711787093E7
0                         3.0797447858019456E-8    -1.3575920303615201E-7   1.7517822227300663E7-201111.39533403033i          1.7561931650125496E7
0                         3.0797447858019456E-8    -1.1978753209072235E-7   1.5460943416532684E7-177522.1406804236i           1.5510673597819153E7
0                         3.0797447858019456E-8    -1.0381586114529273E-7   1.3398833003933782E7-153864.9599428825i           1.3456251896331869E7
0                         3.0797447858019456E-8    -8.784419019986307E-8    1.1331490989503933E7-130139.85312140682i          1.1399784852555834E7
0                         3.0797447858019456E-8    -7.187251925443345E-8    9258917.373243162-106346.82021599685i             9343382.346015437
0                         3.0797447858019456E-8    -5.590084830900378E-8    7181112.155151457-82485.86122665237i              7291545.682649054
0                         3.0797447858019456E-8    -3.9929177363574116E-8   5137625.944676231-58900.89060742814i              5321845.151154463
0                         3.0797447858019456E-8    -2.39575064181445E-8     3130587.190227749-35834.99780452772i              3487814.842759531
0                         3.0797447858019456E-8    -7.985835472714834E-9    1070697.7217699483-12241.446696506515i            1804625.4015528003
0                         3.0797447858019456E-8    7.985835472714834E-9     -929604.8132502458+10778.750060644117i            1695394.6394536807
0                         3.0797447858019456E-8    2.3957506418144448E-8    -3072964.836805757+35271.755281206555i            3376469.1431870875
0                         3.0797447858019456E-8    3.9929177363574116E-8    -5150788.469853598+59157.25470497864i             5337928.377528699
0                         3.0797447858019456E-8    5.590084830900378E-8     -7224690.168568604+82992.85336811724i             7359731.773700672
0                         3.0797447858019456E-8    7.18725192544334E-8      -9294669.932950772+106778.55127062234i            9400434.369375814
0                         3.0797447858019456E-8    8.784419019986301E-8     -1.1372263362632746E7+130580.40769437133i         1.1456897511802744E7
0                         3.0797447858019456E-8    1.0381586114529268E-7    -1.3525967196155434E7+155200.05610141015i         1.3576383281675389E7
0                         3.0797447858019456E-8    1.1978753209072235E-7    -1.5715031382250842E7+180178.886286016i           1.5751153810701478E7
0                         3.0797447858019456E-8    1.3575920303615201E-7    -1.7899192064149976E7+205090.14870031274i         1.7925438206383508E7
0                         3.0797447858019456E-8    1.5173087398158168E-7    -2.017653259920342E7+230988.1696723152i           2.0201380847453803E7
0                         3.0797447858019456E-8    1.6770254492701124E-7    -2.243519117760675E7+256690.78945710088i          2.2457417142719913E7
0                         3.0797447858019456E-8    1.836742158724409E-7     -2.4678014081705753E7+282169.8005969615i          2.470005156424961E7
0                         3.0797447858019456E-8    1.9964588681787058E-7    -2.7177473862590585E7+310391.1905111997i          2.7183984746759806E7
0                         3.0797447858019456E-8    2.1561755776330025E-7    -2.9670529587063134E7+338521.4121935014i          2.9672593570716262E7
0                         3.0797447858019456E-8    2.3158922870872991E-7    -3.2596530426329415E7+371376.71175313694i         3.2599347339788735E7
0                         3.0797447858019456E-8    2.475608996541595E-7     -3.535713185278309E7+402323.6670745433i           3.536024881986149E7
0                         3.0797447858019456E-8    2.6353257059958914E-7    -3.808616794988796E7+432899.6929041776i           3.810069376446195E7
0                         3.0797447858019456E-8    2.795042415450188E-7     -4.120569347693982E7+467800.1871203715i           4.1220042866927035E7
0                         3.0797447858019456E-8    2.954759124904485E-7     -4.4398635405995965E7+503466.94853118836i         4.4416701614456676E7
0                         3.0797447858019456E-8    3.1144758343587815E-7    -4.753424879346918E7+538363.5810190896i           4.75691714824729E7
0                         3.0797447858019456E-8    3.274192543813078E-7     -5.0658989795607515E7+573112.4045077922i          5.0716638516639814E7
0                         3.0797447858019456E-8    3.433909253267374E-7     -5.166316673490913E7+583556.9587387932i           5.18595710739456E7
0                         3.0797447858019456E-8    3.5936259627216704E-7    -5.1478605685512595E7+580681.5006772182i          5.163033805163437E7
0                         3.0797447858019456E-8    3.753342672175967E-7     -5.207957781248846E7+587235.9907674303i           5.2106941193402E7
0                         3.0797447858019456E-8    3.913059381630264E-7     -5.20921608920224E7+587212.924679871i             5.210691718667288E7
0                         4.6196171787029183E-8    -3.913059381630264E-7    5.053549797149086E7-569586.9134013471i            5.056076923996408E7
0                         4.6196171787029183E-8    -3.753342672175967E-7    5.054992807092996E7-569922.6955924092i            5.05922090813281E7
0                         4.6196171787029183E-8    -3.593625962721671E-7    5.042969100763767E7-568918.3166457196i            5.057376533562823E7
0                         4.6196171787029183E-8    -3.4339092532673743E-7   5.008631887780085E7-565673.5069507109i            5.0468185261084534E7
0                         4.6196171787029183E-8    -3.2741925438130776E-7   5.123239786498977E7-579453.8853655709i            5.128446828585327E7
0                         4.6196171787029183E-8    -3.1144758343587815E-7   4.694681484002598E7-531844.122800353i             4.704769407381891E7
0                         4.6196171787029183E-8    -2.954759124904485E-7    4.3956410413649775E7-498502.1060723862i           4.402347104279221E7
0                         4.6196171787029183E-8    -2.7950424154501886E-7   4.103272947386536E7-465815.4258176652i            4.106578497598978E7
0                         4.6196171787029183E-8    -2.635325705995892E-7    3.810342699600083E7-433045.71371086827i           3.811393686134782E7
0                         4.6196171787029183E-8    -2.4756089965415953E-7   3.51222116097325E7-399725.31482718774i            3.512450013875467E7
0                         4.6196171787029183E-8    -2.3158922870872991E-7   3.216057739398183E7-366478.93458283134i           3.217291919461548E7
0                         4.6196171787029183E-8    -2.1561755776330025E-7   2.9730444811140746E7-339172.91854336584i          2.9740703496879812E7
0                         4.6196171787029183E-8    -1.996458868178706E-7    2.7168047581375718E7-310275.7834247012i           2.7177988265358698E7
0                         4.6196171787029183E-8    -1.8367421587244096E-7   2.4600250068789914E7-281297.72878695524i          2.461148864524071E7
0                         4.6196171787029183E-8    -1.677025449270113E-7    2.2287868028036684E7-255031.60576210904i          2.231655720147782E7
0                         4.6196171787029183E-8    -1.5173087398158168E-7   1.9990008047378864E7-228981.29635718776i          2.0051550713293817E7
0                         4.6196171787029183E-8    -1.3575920303615201E-7   1.7730688566230077E7-203311.62622755856i          1.7794024413658496E7
0                         4.6196171787029183E-8    -1.1978753209072235E-7   1.5380894799344763E7-176667.22200447562i          1.5499604805479908E7
0                         4.6196171787029183E-8    -1.0381586114529273E-7   1.331786947066972E7-152998.8562296469i            1.3456109791603373E7
0                         4.6196171787029183E-8    -8.784419019986307E-8    1.1249612540163737E7-129262.56437088354i          1.1414738701982085E7
0                         4.6196171787029183E-8    -7.187251925443345E-8    9176124.007826816-105458.3464281858i              9380330.276675722
0                         4.6196171787029183E-8    -5.590084830900378E-8    7097403.873658962-81586.2024015536i               7363070.509083243
0                         4.6196171787029183E-8    -3.9929177363574116E-8   5092652.40556784-58445.72684947233i               5537939.760879604
0                         4.6196171787029183E-8    -2.39575064181445E-8     3084675.2273673825-35368.24102351981i             3863323.252324171
0                         4.6196171787029183E-8    -7.985835472714834E-9    1042155.3270409459-11951.157380109653i            2469286.2719634534
0                         4.6196171787029183E-8    7.985835472714834E-9     -958741.9068301301+11076.159020061115i            2405289.631701369
