% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         0                        -1.181938775510204E-7    4090791.3454450034-6927060.170008487i             8044795.611504729
0                         0                        -1.0001020408163265E-7   3819297.278620746-7305501.621481323i              8243626.971421382
0                         0                        -8.182653061224489E-8    3621872.0635400726-7605705.60374481i              8424055.73197894
0                         0                        -6.364285714285713E-8    3498515.7002029847-7827672.116798954i             8573917.591899201
0                         0                        -4.545918367346937E-8    3459077.6627923963-8125120.038558569i             8830786.710039787
0                         0                        -2.7275510204081612E-8   3353249.090466524-8325416.584072786i              8975346.27527366
0                         0                        -9.091836734693906E-9    3300306.26882636-8427710.995444335i               9050874.769368313
0                         0                        9.091836734693853E-9     3300249.1978719067-8432003.272673218i             9054850.852356765
0                         0                        2.7275510204081612E-8    3353077.8776031598-8338293.415759431i             8987228.067684095
0                         0                        4.5459183673469424E-8    3466430.7880600984-8228825.196623115i             8929149.26098732
0                         0                        6.364285714285713E-8     3616374.322976233-7998488.008115607i              8778039.283339474
0                         0                        8.182653061224494E-8     3832942.57039699-7595297.947360691i               8507643.601911342
0                         0                        1.0001020408163265E-7    3911933.9314796217-7326091.244007038i             8305109.270790975
0                         0                        1.1819387755102046E-7    4068446.2579623247-6964627.351396723i             8065871.874617832
0                         0                        1.3637755102040816E-7    4302479.549845092-6510906.269529743i              7804052.199174282
0                         0                        1.5456122448979587E-7    4614033.807127934-5964927.9984061085i             7541198.445836616
0                         0                        1.7274489795918368E-7    5003109.029810844-5326692.538025804i              7307855.592363234
0                         0                        1.909285714285714E-7     5469705.21789382-4596199.888388839i               7144419.401510556
0                         0                        2.091122448979592E-7     6013822.371376872-3773450.04949521i               7099646.8074481245
0                         0                        2.272959183673469E-7     7663490.074814432-1869248.2258189372i             7888166.393814634
0                         0                        2.454795918367347E-7     7800765.428215051-962952.5184282728i              7859975.751793545
0                         0                        2.636632653061224E-7     7793156.129212532-109077.35476871674i             7793919.445542544
0                         0                        2.8184693877551024E-7    7640662.177806856+692377.2651597348i              7671968.769010877
0                         0                        3.0003061224489794E-7    7343283.573998038+1441411.3413570717i             7483413.679808312
0                         0                        3.1821428571428575E-7    6939108.403034755+1954688.1481994523i             7209163.001748466
0                         0                        3.3639795918367346E-7    6311975.223574347+2424110.0881200638i             6761459.971214936
0                         0                        3.5458163265306127E-7    5541441.560778008+2685915.2215753156i             6158060.98938682
0                         0                        3.72765306122449E-7      4660220.963998089+2669783.751377569i              5370791.814286508
0                         0                        3.909489795918368E-7     3713988.154708569+2556995.3992333366i             4509094.530503437
0                         0                        4.091326530612245E-7     2702743.132909472+2347550.165142621i              3579917.906928936
0                         0                        4.273163265306122E-7     1626485.898600779+2041448.049105418i              2610165.993867727
0                         0                        4.455E-7                 2981.3979840183524+75564.85017163014i             1195489.093132323
0                         1.6530612244897957E-8    -4.455E-7                -6453.56130420654-46988.75876627903i              1933640.948917739
0                         1.6530612244897957E-8    -4.2731632653061225E-7   1244966.1074954914+1032873.5055498204i            2081659.0335217684
0                         1.6530612244897957E-8    -4.091326530612245E-7    2373287.0909327357+1640245.9613445108i            3181971.2706337064
0                         1.6530612244897957E-8    -3.9094897959183674E-7   3451502.81331427+2151920.358975834i               4294697.518273841
0                         1.6530612244897957E-8    -3.72765306122449E-7     4479613.274640096+2567896.6984437886i             5354793.926172439
0                         1.6530612244897957E-8    -3.545816326530612E-7    5457618.474910209+2888174.979748375i              6345485.292405031
0                         1.6530612244897957E-8    -3.3639795918367346E-7   6265185.798239573+2771214.48404706i               6948496.805366077
0                         1.6530612244897957E-8    -3.1821428571428575E-7   6978582.422609814+2570856.626686415i              7548497.536495841
0                         1.6530612244897957E-8    -3.0003061224489794E-7   7425125.341592422+1908485.0372664488i             7710058.159773347
0                         1.6530612244897957E-8    -2.8184693877551024E-7   7616307.518111694+931510.7296419585i              7721623.84383348
0                         1.6530612244897957E-8    -2.636632653061224E-7    7667529.025588171-88799.43594621637i              7722502.875512299
0                         1.6530612244897957E-8    -2.454795918367347E-7    7578789.864021861-1152445.459498064i              7727095.610690728
0                         1.6530612244897957E-8    -2.2729591836734696E-7   6895535.575594994-2896368.658979335i              7493807.936003224
0                         1.6530612244897957E-8    -2.091122448979592E-7    6133420.210357719-4032920.6273441315i             7463351.7129910365
0                         1.6530612244897957E-8    -1.9092857142857144E-7   5736106.9655608665-4693318.837414189i             7461124.840393843
0                         1.6530612244897957E-8    -1.7274489795918368E-7   5377695.856318697-5243159.667178186i              7540509.851589339
0                         1.6530612244897957E-8    -1.5456122448979592E-7   4885175.11356085-5851261.837670169i               7647760.547302955
0                         1.6530612244897957E-8    -1.3637755102040816E-7   4466723.22254659-6381126.53895281i                7810163.391720284
0                         1.6530612244897957E-8    -1.181938775510204E-7    4122340.1832759096-6832753.771026097i             7997238.531230232
0                         1.6530612244897957E-8    -1.0001020408163265E-7   3852025.99574882-7206143.533890044i               8185029.247431441
0                         1.6530612244897957E-8    -8.182653061224489E-8    3655780.659965309-7501295.827544634i              8355829.197858199
0                         1.6530612244897957E-8    -6.364285714285713E-8    3566304.968454807-7802368.56168649i               8585442.836287867
0                         1.6530612244897957E-8    -4.545918367346937E-8    3477887.3536410043-8065943.823055604i             8785062.986457074
0                         1.6530612244897957E-8    -2.7275510204081612E-8   3372146.80024197-8266869.500854493i               8928877.38978574
0                         1.6530612244897957E-8    -9.091836734693906E-9    3319291.997528642-8369793.044510715i              9004375.470141627
0                         1.6530612244897957E-8    9.091836734693853E-9     3319322.945501026-8374714.454024271i              9008985.415422639
0                         1.6530612244897957E-8    2.7275510204081612E-8    3372239.6441591172-8281633.729395156i             8942655.603023306
0                         1.6530612244897957E-8    4.5459183673469424E-8    3460101.7129534385-8118406.410821974i             8829072.6472024
0                         1.6530612244897957E-8    6.364285714285713E-8     3594274.7598102833-7942302.5110804755i            8721028.429426232
0                         1.6530612244897957E-8    8.182653061224494E-8     3799897.8296306524-7626026.929506679i             8523330.318485167
0                         1.6530612244897957E-8    1.0001020408163265E-7    3984656.905835147-7143501.8156260755i             8196105.527521315
0                         1.6530612244897957E-8    1.1819387755102046E-7    4141083.5377517394-6783123.892433437i             7967789.612896148
0                         1.6530612244897957E-8    1.3637755102040816E-7    4375031.135068399-6330488.779984139i              7720493.190730833
0                         1.6530612244897957E-8    1.5456122448979587E-7    4686499.697785129-5785596.4782781815i             7476399.221382207
0                         1.6530612244897957E-8    1.7274489795918368E-7    5075489.2259019315-5148446.987315555i             7266619.255109279
0                         1.6530612244897957E-8    1.909285714285714E-7     5541999.719418801-4419040.307096273i              7131708.3606509445
0                         1.6530612244897957E-8    2.091122448979592E-7     6193038.175506106-4206500.395133068i              7657249.44163072
0                         1.6530612244897957E-8    2.272959183673469E-7     6811072.635417317-2942288.0726680737i             7449633.333680118
0                         1.6530612244897957E-8    2.454795918367347E-7     7862921.695947716-634133.9679072155i              7982641.089909544
0                         1.6530612244897957E-8    2.636632653061224E-7     7848836.394651527+188046.47746212914i             7936800.1587545015
0                         1.6530612244897957E-8    2.8184693877551024E-7    7689866.440952195+957806.3791003719i              7827973.76006713
0                         1.6530612244897957E-8    3.0003061224489794E-7    7386011.834849708+1675145.7370074985i             7646683.889018958
0                         1.6530612244897957E-8    3.1821428571428575E-7    6937272.576344072+2340064.5511835204i             7390204.5972817
0                         1.6530612244897957E-8    3.3639795918367346E-7    6310766.178844926+2569082.399392628i              6887809.253742873
