% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         1.652288477341889E-8     -3.7295245727160544E-7   -938464.1371481019-3968242.9429536355i            4190266.231533409
0                         1.652288477341889E-8     -3.5475965447786856E-7   -1247670.0912263114-4789970.585080384i            5065501.694961364
0                         1.652288477341889E-8     -3.365668516841317E-7    -1356907.2196896474-5282989.224421699i            5567773.598751434
0                         1.652288477341889E-8     -3.1837404889039487E-7   -1375845.552414417-5488113.765336908i             5829616.788748451
0                         1.652288477341889E-8     -3.0018124609665805E-7   -1698901.6606592657-5830714.998498473i            6189399.839253795
0                         1.652288477341889E-8     -2.819884433029212E-7    -1495440.0671019356-5621652.93457701i             5951452.3069920335
0                         1.652288477341889E-8     -2.637956405091843E-7    -1290233.7641823257-5292808.543908542i            5609307.534659206
0                         1.652288477341889E-8     -2.456028377154475E-7    -1083261.5705750478-4842660.365494442i            5164656.677271205
0                         1.652288477341889E-8     -2.2741003492171061E-7   -874501.9514173837-4269660.384822047i             4624236.9499358125
0                         1.652288477341889E-8     -2.0921723212797377E-7   -771744.4150721706-3547097.2946218695i            3687793.7604555325
0                         1.652288477341889E-8     -1.9102442933423692E-7   -807238.0307853558-2806104.226447311i             2976470.2553440775
0                         1.652288477341889E-8     -1.728316265405001E-7    -911496.8573975812-2050884.5703568237i            2319174.9063841337
0                         1.652288477341889E-8     -1.5463882374676323E-7   -955413.1592843009-1559894.1764555303i            1917393.6224966552
0                         1.652288477341889E-8     -1.3644602095302636E-7   -1019953.6064227032-1118356.887096461i            1615962.8896462978
0                         1.652288477341889E-8     -1.1825321815928954E-7   -1105118.1988127904-726272.7022796157i            1435395.3214114655
0                         1.652288477341889E-8     -1.0006041536555267E-7   -1210906.9364545615-383641.62200499384i           1384799.374672915
0                         1.652288477341889E-8     -8.186761257181585E-8    -1337319.8193480154-90463.64627259583i            1447304.5943273334
0                         1.652288477341889E-8     -6.367480977807897E-8    -1484356.8474931547+153261.22491757834i           1587474.4565441385
0                         1.652288477341889E-8     -4.5482006984342155E-8   -1424852.4206439594+293549.3310306586i            1542852.7713696982
0                         1.652288477341889E-8     -2.7289204190605282E-8   -1272846.9695845805+344326.77305256505i           1392192.9926605686
0                         1.652288477341889E-8     -9.09640139686841E-9     -1233508.4349386499+363625.36326319416i           1360763.1949811154
0                         1.652288477341889E-8     9.09640139686841E-9      -1235688.7290236834+364498.1890928353i            1362701.7702482666
0                         1.652288477341889E-8     2.7289204190605282E-8    -1279387.851839681+346945.2505414905i             1398029.6487995293
0                         1.652288477341889E-8     4.5482006984342155E-8    -1356058.3071430956+262600.41457114863i           1456075.0192648172
0                         1.652288477341889E-8     6.367480977807897E-8     -1344487.9186191189+70364.46572982264i            1429680.7258163127
