% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12                      ewfd.normE (V/m) @ lambda=4E-12
0                         1.6530612244897957E-8    -3.3639795918367346E-7   -6469408.862977653-1681431.2381938358i            6735699.320246785
0                         1.6530612244897957E-8    -3.1821428571428575E-7   -7316275.958005484-1886834.683749338i             7612588.968567396
0                         1.6530612244897957E-8    -3.0003061224489794E-7   -8016437.639570302-2042368.9249974007i            8331008.590734617
0                         1.6530612244897957E-8    -2.8184693877551024E-7   -8582445.675981324-2155763.9920357885i            8914632.94659608
0                         1.6530612244897957E-8    -2.636632653061224E-7    -9019177.843117267-2225832.8203677917i            9364317.470744867
0                         1.6530612244897957E-8    -2.454795918367347E-7    -9326634.140978133-2252575.409993413i             9680290.233459082
0                         1.6530612244897957E-8    -2.2729591836734696E-7   -9618059.602676887-2296295.521111714i             9987572.798528345
0                         1.6530612244897957E-8    -2.091122448979592E-7    -9407575.473030293-2194687.751441435i             9794371.394089917
0                         1.6530612244897957E-8    -1.9092857142857144E-7   -8743992.071177084-1893502.7514757516i            9075124.999992592
0                         1.6530612244897957E-8    -1.7274489795918368E-7   -8078971.39162521-1575333.2680197589i             8319854.070183038
0                         1.6530612244897957E-8    -1.5456122448979592E-7   -7637714.81073482-1434508.688004836i              7866243.860794132
0                         1.6530612244897957E-8    -1.3637755102040816E-7   -7211021.567271677-1301540.1833002393i            7429341.982429442
0                         1.6530612244897957E-8    -1.181938775510204E-7    -6798891.661235775-1176427.7539059678i            7009166.074701538
0                         1.6530612244897957E-8    -1.0001020408163265E-7   -6401325.092627122-1059171.3998220235i            6605735.6526535535
0                         1.6530612244897957E-8    -8.182653061224489E-8    -6018321.861445706-949771.1210484038i             6219072.21511713
0                         1.6530612244897957E-8    -6.364285714285713E-8    -5739785.483097102-852118.7663911236i             5927318.396704957
0                         1.6530612244897957E-8    -4.545918367346937E-8    -5641011.971236843-812680.7530253521i             5821311.997252258
0                         1.6530612244897957E-8    -2.7275510204081612E-8   -5672460.441103313-824064.854051924i              5853352.811039318
0                         1.6530612244897957E-8    -9.091836734693906E-9    -5692620.061149402-828499.0954449433i             5873491.070024793
0                         1.6530612244897957E-8    9.091836734693853E-9     -5701490.831375116-825983.4772044113i             5881717.236416591
0                         1.6530612244897957E-8    2.7275510204081612E-8    -5699072.751780448-816517.9993303267i             5878039.135919707
0                         1.6530612244897957E-8    4.5459183673469424E-8    -5775407.79993609-834508.376705675i               5969077.607014797
0                         1.6530612244897957E-8    6.364285714285713E-8     -5927632.084301786-886912.7233707012i             6120812.603133005
0                         1.6530612244897957E-8    8.182653061224494E-8     -6099271.751391629-935008.1272072014i             6279609.132041613
