% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 2 2026, 07:16
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=9E-9                               w (m) @ lambda=9E-9
0                         0                        -4.3982844463441186E-7   0                                                 3.604435729403351E-15-8.185948974515548E-15i
0                         0                        -4.218762632207624E-7    0                                                 1.3363709086429028E-14-2.5503211277301224E-15i
0                         0                        -4.0392408180711293E-7   0                                                 2.2803634877788937E-14+2.826080355964824E-15i
0                         0                        -3.8597190039346344E-7   0                                                 3.192428951574834E-14+7.943104923175081E-15i
0                         0                        -3.68019718979814E-7     0                                                 4.031881099201657E-14+1.2532839158925626E-14i
0                         0                        -3.500675375661646E-7    0                                                 4.745094266201199E-14+1.6453795765655338E-14i
0                         0                        -3.321153561525151E-7    0                                                 5.34918135698557E-14+1.9214573771671176E-14i
0                         0                        -3.141631747388656E-7    0                                                 5.517970812440393E-14+2.0273073571600326E-14i
0                         0                        -2.9621099332521616E-7   NaN                                               NaN
0                         0                        -2.782588119115667E-7    NaN                                               NaN
0                         0                        -2.6030663049791724E-7   NaN                                               NaN
0                         0                        -2.4235444908426775E-7   NaN                                               NaN
0                         0                        -2.2440226767061831E-7   NaN                                               NaN
0                         0                        -2.0645008625696885E-7   NaN                                               NaN
0                         0                        -1.884979048433194E-7    NaN                                               NaN
0                         0                        -1.705457234296699E-7    NaN                                               NaN
0                         0                        -1.5259354201602047E-7   NaN                                               NaN
0                         0                        -1.3464136060237103E-7   NaN                                               NaN
0                         0                        -1.1668917918872154E-7   NaN                                               NaN
0                         0                        -9.873699777507205E-8    NaN                                               NaN
0                         0                        -8.078481636142262E-8    NaN                                               NaN
0                         0                        -6.283263494777318E-8    NaN                                               NaN
0                         0                        -4.4880453534123695E-8   NaN                                               NaN
0                         0                        -2.6928272120474206E-8   NaN                                               NaN
0                         0                        -8.97609070682477E-9     NaN                                               NaN
0                         0                        8.976090706824665E-9     NaN                                               NaN
