% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ 208.67+3.2446i THz                ewfd.normE (V/m) @ 208.67+3.2446i THz
0                         0                        -3.913059381630264E-7    16490.376624909077-32515.579296991535i            36458.132402116986
0                         0                        -3.753342672175967E-7    -90298.47435745868-64290.9246862474i              110847.36112464454
0                         0                        -3.593625962721671E-7    -193867.27133530017-93615.81419868575i            215286.8773592059
0                         0                        -3.4339092532673743E-7   -294353.23311239196-121530.50835949832i           318454.8481430864
0                         0                        -3.2741925438130776E-7   -264292.87779997865-108715.34322923086i           285779.1999240741
0                         0                        -3.1144758343587815E-7   -393803.37516225514-146039.7144754106i            420010.35284055
0                         0                        -2.954759124904485E-7    -584356.8676200976-201327.0416818197i             618065.9563890616
0                         0                        -2.7950424154501886E-7   -796447.4550355184-263144.4882913735i             838792.9245950296
0                         0                        -2.635325705995892E-7    -749885.2646788275-251633.07623505863i            790978.5807706515
0                         0                        -2.4756089965415953E-7   -833472.8310055173-275646.0358206421i             877871.1164447695
0                         0                        -2.3158922870872991E-7   -919045.3895913837-300426.21223631984i            966902.4444729885
0                         0                        -2.1561755776330025E-7   -1006602.9404364293-325973.60548209306i           1058068.178883696
0                         0                        -1.996458868178706E-7    -1244710.2184651531-387519.597772044i             1303639.124377976
0                         0                        -1.8367421587244096E-7   -1285290.6762943254-398377.6763167522i            1345613.9474443104
0                         0                        -1.677025449270113E-7    -1323204.946111252-408536.1809187299i             1384836.8642309255
0                         0                        -1.5173087398158168E-7   -1525665.3712754478-469542.26094939926i           1596284.673836883
0                         0                        -1.3575920303615201E-7   -1545797.612281299-473417.0999490104i             1616667.562815156
0                         0                        -1.1978753209072235E-7   -1573324.2137263722-480404.3533076779i            1645034.1711267508
0                         0                        -1.0381586114529273E-7   -1597276.209415607-486528.61019427923i            1669730.9297316938
0                         0                        -8.784419019986307E-8    -1617653.5993490056-491789.8706088152i            1690757.3582037808
0                         0                        -7.187251925443345E-8    -1634456.3835265685-496188.13455128553i           1708113.0918414723
0                         0                        -5.590084830900378E-8    -1647684.5619482934-499723.40202169i              1721797.8668272507
0                         0                        -3.9929177363574116E-8   -1657338.134614183-502395.6730200289i             1731811.5095805514
0                         0                        -2.39575064181445E-8     -1642461.1644642502-501592.35629002197i           1717344.9183730788
