% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ 8.8015 GHz                                w (m) @ 8.8015 GHz
0                         1.5398723929009728E-8    2.1561755776330025E-7    NaN                                               NaN
0                         1.5398723929009728E-8    2.3158922870872991E-7    NaN                                               NaN
0                         1.5398723929009728E-8    2.475608996541595E-7     NaN                                               NaN
0                         1.5398723929009728E-8    2.6353257059958914E-7    NaN                                               NaN
0                         1.5398723929009728E-8    2.795042415450188E-7     NaN                                               NaN
0                         1.5398723929009728E-8    2.954759124904485E-7     NaN                                               NaN
0                         1.5398723929009728E-8    3.1144758343587815E-7    NaN                                               NaN
0                         1.5398723929009728E-8    3.274192543813078E-7     NaN                                               NaN
0                         1.5398723929009728E-8    3.433909253267374E-7     1.0546206570037693E-14                            1.2472542079984968E-13
0                         1.5398723929009728E-8    3.5936259627216704E-7    5.934793054371164E-15                             1.2430445809154588E-13
0                         1.5398723929009728E-8    3.753342672175967E-7     2.5036933797590906E-15                            1.237975674371732E-13
0                         1.5398723929009728E-8    3.913059381630264E-7     -5.369499472213287E-17                            1.2313788202640466E-13
0                         3.0797447858019456E-8    -3.913059381630264E-7    -1.4562898950126562E-16                           -1.3123932384781406E-13
0                         3.0797447858019456E-8    -3.753342672175967E-7    5.98524856602412E-15                              -1.3086738885351112E-13
0                         3.0797447858019456E-8    -3.593625962721671E-7    1.220101258908149E-14                             -1.306464938592439E-13
0                         3.0797447858019456E-8    -3.4339092532673743E-7   1.8981978312430307E-14                            -1.3134841960747215E-13
0                         3.0797447858019456E-8    -3.2741925438130776E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -3.1144758343587815E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -2.954759124904485E-7    NaN                                               NaN
0                         3.0797447858019456E-8    -2.7950424154501886E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -2.635325705995892E-7    NaN                                               NaN
0                         3.0797447858019456E-8    -2.4756089965415953E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -2.3158922870872991E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -2.1561755776330025E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -1.996458868178706E-7    NaN                                               NaN
0                         3.0797447858019456E-8    -1.8367421587244096E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -1.677025449270113E-7    NaN                                               NaN
0                         3.0797447858019456E-8    -1.5173087398158168E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -1.3575920303615201E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -1.1978753209072235E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -1.0381586114529273E-7   NaN                                               NaN
0                         3.0797447858019456E-8    -8.784419019986307E-8    NaN                                               NaN
0                         3.0797447858019456E-8    -7.187251925443345E-8    NaN                                               NaN
0                         3.0797447858019456E-8    -5.590084830900378E-8    NaN                                               NaN
0                         3.0797447858019456E-8    -3.9929177363574116E-8   NaN                                               NaN
0                         3.0797447858019456E-8    -2.39575064181445E-8     NaN                                               NaN
0                         3.0797447858019456E-8    -7.985835472714834E-9    NaN                                               NaN
0                         3.0797447858019456E-8    7.985835472714834E-9     NaN                                               NaN
0                         3.0797447858019456E-8    2.3957506418144448E-8    NaN                                               NaN
