% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 3 2024, 18:43
% Table:              Table 14 - 
% k                                               Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)
0                                                 386.2670555053709+0.520963552757906i              386.2670555053709                                 370.72368446941135
0                                                 386.5697490665223+0.2356466028187138i             386.5697490665223                                 820.231958455
0                                                 387.00350128483+0.0021839406706171396i            387.00350128483                                   88602.10959290166
0                                                 388.11172049950466+0.02126148797633879i           388.11172049950466                                9127.106271475954
0                                                 388.4564970159515+0.15521370835250992i            388.4564970159515                                 1251.3601444716398
0                                                 389.90310796637596+0.15250168547257872i           389.90310796637596                                1278.3567170360363
0                                                 391.54329761008074+0.07512159441825297i           391.54329761008074                                2606.0635469881877
0                                                 391.8713891517742+0.1444540871615727i             391.8713891517742                                 1356.3873368064133
0                                                 393.0619586849088+3.1304352880697706i             393.0619586849088                                 62.78071937517533
0                                                 393.0756248899369+0.014518253394637954i           393.0756248899369                                 13537.290409709753
0                                                 395.3184669966369+0.8595000602617441i             395.3184669966369                                 229.97000539840008
0                                                 399.4034804268726+0.37310205454519757i            399.4034804268726                                 535.2469593255602
0                                                 402.89322628708305+1.8326990999322152i            402.89322628708305                                109.91799644087362
0                                                 407.74261324886936+0.18974377207923507i           407.74261324886936                                1074.4558537568237
0                                                 408.8726661367425+3.5543915045334544i             408.8726661367425                                 57.516548981062606
0                                                 410.035730552217+0.4198122099668673i              410.035730552217                                  488.35612783222535
0                                                 411.1397486705082+0.6354305521249274i             411.1397486705082                                 323.5127326626223
0                                                 413.62901623652016+0.023267706710631806i          413.62901623652016                                8888.478382949512
0                                                 413.81709356767675+1.0208602920129084i            413.81709356767675                                202.6805708897355
0                                                 413.8376171075051+2.2902519376774353i             413.8376171075051                                 90.34761859587844
0.06666666666666667                               386.4118848175173+0.2666965304894798i             386.4118848175173                                 724.441154349325
0.06666666666666667                               386.8407413201416+0.42430748465127677i            386.8407413201416                                 455.84953755655795
0.06666666666666667                               387.65545784953184+0.4992784125963413i            387.65545784953184                                388.21572099788057
0.06666666666666667                               388.5071971539459+6.382757273837795i              388.5071971539459                                 30.434119651266805
0.06666666666666667                               388.777198922494+0.2871209570422326i              388.777198922494                                  677.0268581706295
0.06666666666666667                               389.9896146095878+0.270845668786815i              389.9896146095878                                 719.9480360096733
0.06666666666666667                               391.4167632846798+0.21545120698152623i            391.4167632846798                                 908.3652135637413
0.06666666666666667                               392.7227930594992+0.026073323996319793i           392.7227930594992                                 7531.122482022842
0.06666666666666667                               393.6735925469076+0.07026877855048085i            393.6735925469076                                 2801.1984886295827
0.06666666666666667                               393.98334312052606+2.441874492008581i             393.98334312052606                                80.6723163720942
0.06666666666666667                               396.02000218130974+13.361491551657588i            396.02000218130974                                14.819453376527438
0.06666666666666667                               396.0698885381569+0.7514972879254604i             396.0698885381569                                 263.5205042665718
0.06666666666666667                               399.951115909826+0.3501239107774047i              399.951115909826                                  571.1565300150261
0.06666666666666667                               403.38164477416063+1.8732166111457103i            403.38164477416063                                107.67084873527824
0.06666666666666667                               407.4076181878214+0.19546084137206635i            407.4076181878214                                 1042.171964798584
0.06666666666666667                               409.35028190005016+0.48066313334969i              409.35028190005016                                425.8182638715516
0.06666666666666667                               409.4062566084431+3.4101494239690986i             409.4062566084431                                 60.02761253375403
0.06666666666666667                               411.1221354267466+0.5857303836576092i             411.1221354267466                                 350.9482749208631
0.06666666666666667                               413.6887931368471+0.9878375397195062i             413.6887931368471                                 209.3911075976688
0.06666666666666667                               413.9156064319958+2.199802340366013i              413.9156064319958                                 94.08018139555364
0.13333333333333333                               386.14125437433376+0.8664110211660663i            386.14125437433376                                222.83953282048654
0.13333333333333333                               386.6300051938272+0.5505018312405002i             386.6300051938272                                 351.16141605069276
0.13333333333333333                               387.98125930611917+0.38532492884210967i           387.98125930611917                                503.4468707643594
0.13333333333333333                               389.02786684671855+0.37448147969529294i           389.02786684671855                                519.4220381249049
0.13333333333333333                               390.3672005218256+0.2065720627066419i             390.3672005218256                                 944.8692998631565
0.13333333333333333                               392.0748219808709+0.0892324909417184i             392.0748219808709                                 2196.9285954202037
0.13333333333333333                               392.3384556424416+6.082594718304598i              392.3384556424416                                 32.25091213637509
0.13333333333333333                               392.67926665228055+0.7767656771435942i            392.67926665228055                                252.76558826355634
0.13333333333333333                               395.3896435869115+0.5910803550170818i             395.3896435869115                                 334.4635295614629
0.13333333333333333                               396.8333342066499+0.9906403032643678i             396.8333342066499                                 200.2913332412384
0.13333333333333333                               397.5653470280145+13.087036826261977i             397.5653470280145                                 15.189280518803669
0.13333333333333333                               398.23363675787886+0.6368300263086785i            398.23363675787886                                312.668703033838
0.13333333333333333                               401.28391555004544+0.3228603835377888i            401.28391555004544                                621.4511535186194
0.13333333333333333                               403.12121034015723+12.878040979432152i            403.12121034015723                                15.6514958674224
0.13333333333333333                               404.59573904892085+1.9852928958709941i            404.59573904892085                                101.89824884035947
0.13333333333333333                               406.8581629868525+0.2589410392747351i             406.8581629868525                                 785.6193134282937
0.13333333333333333                               408.06212139680747+0.3611464501634848i            408.06212139680747                                564.9538036606546
0.13333333333333333                               410.824808469025+0.5055345846170965i              410.824808469025                                  406.3271049795664
0.13333333333333333                               410.843980809149+3.2474568653789633i              410.843980809149                                  63.25626449255476
0.13333333333333333                               413.0911213069768+0.8053807635343708i             413.0911213069768                                 256.45703250605857
0.2                                               385.8380395669457+0.2440272858905518i             385.8380395669457                                 790.5633137681112
0.2                                               387.05153565471375+0.8539969558118805i            387.05153565471375                                226.61177713845032
0.2                                               387.81308280365874+0.45741082285084295i           387.81308280365874                                423.92206680483457
0.2                                               389.5694005883964+0.3700863096235765i             389.5694005883964                                 526.3223611063005
0.2                                               391.1858889042332+0.07581497283705693i            391.1858889042332                                 2579.87224861887
0.2                                               392.011838031813+0.09214023193025023i             392.011838031813                                  2127.2566273143543
0.2                                               394.6455039056603+1.1678074652919619i             394.6455039056603                                 168.96856529641877
0.2                                               396.61049094381474+0.17023102771654497i           396.61049094381474                                1164.918335581627
0.2                                               397.0508568509901+5.834815234721393i              397.0508568509901                                 34.024287049249544
0.2                                               400.2614869017595+0.6454548793121478i             400.2614869017595                                 310.06155482805593
0.2                                               401.39090431309023+0.6819804794692659i            401.39090431309023                                294.2832796515398
0.2                                               402.55805002517934+0.4819917932540106i            402.55805002517934                                417.5984484169739
0.2                                               405.825362819712+12.429716878592338i              405.825362819712                                  16.32480316259913
0.2                                               405.8551178346019+1.9085461954816647i             405.8551178346019                                 106.32572551700149
0.2                                               406.68369799723274+0.2449287907411956i            406.68369799723274                                830.2080306005261
0.2                                               407.3254359028604+0.11999993023638582i            407.3254359028604                                 1697.190302946331
0.2                                               410.7735179676297+0.5274896919960406i             410.7735179676297                                 389.3663935054801
0.2                                               412.1581198560176+0.5782696620127287i             412.1581198560176                                 356.3719030507824
0.2                                               412.45304883100374+2.754047865911228i             412.45304883100374                                74.8812418869372
0.2                                               414.42549209367536+1.320117516960311i             414.42549209367536                                156.96537875200963
0.26666666666666666                               387.2923968277201+0.38741412685755927i            387.2923968277201                                 499.84289417783174
0.26666666666666666                               387.8167777610228+0.5808326650077342i             387.8167777610228                                 333.84552998225297
0.26666666666666666                               389.69565663076185+0.6433979942237207i            389.69565663076185                                302.841833615709
0.26666666666666666                               390.2158902322273+0.316794824729888i              390.2158902322273                                 615.8810999594787
0.26666666666666666                               393.9243200021943+11.395170449281299i             393.9243200021943                                 17.28470503164081
0.26666666666666666                               394.34678904521024+0.47063765012631564i           394.34678904521024                                418.94947093519875
0.26666666666666666                               396.4463421196473+12.522974988710583i             396.4463421196473                                 15.828760437397753
0.26666666666666666                               397.2525039762806+0.2847260980830598i             397.2525039762806                                 697.6046569858074
0.26666666666666666                               398.18435036206785+0.6945071927976697i            398.18435036206785                                286.66682972574387
0.26666666666666666                               402.68390140710824+12.967206987192961i            402.68390140710824                                15.527009856664518
0.26666666666666666                               402.7968831466841+6.735989077439483i              402.7968831466841                                 29.898867004977177
0.26666666666666666                               402.91188443215+0.37744308616029487i              402.91188443215                                   533.738594248669
0.26666666666666666                               403.55941933378335+1.1361791443829712i            403.55941933378335                                177.59497757413322
0.26666666666666666                               403.62281771091426+0.5091646575411062i            403.62281771091426                                396.3578497966826
0.26666666666666666                               404.2873105113652+11.167593826070465i             404.2873105113652                                 18.100913984155063
0.26666666666666666                               406.9683836996362+0.6926391230647303i             406.9683836996362                                 293.78096771296816
0.26666666666666666                               407.45600677192255+0.19585065770785332i           407.45600677192255                                1040.221185725393
0.26666666666666666                               407.8692806724573+0.2521688949174429i             407.8692806724573                                 808.7224255116573
0.26666666666666666                               410.69764340150425+0.6982209425098653i            410.69764340150425                                294.10292530412136
0.26666666666666666                               411.5391354385806+0.5621217167714327i             411.5391354385806                                 366.05874062495855
0.3333333333333333                                388.6914386147516+0.335427158652993i              388.6914386147516                                 579.3976852912821
0.3333333333333333                                390.5073765279962+0.9104934282110175i             390.5073765279962                                 214.4482126001087
0.3333333333333333                                395.0885260527652+0.31004538157256195i            395.0885260527652                                 637.1462849226477
0.3333333333333333                                395.32229535268925+5.812757868731407i             395.32229535268925                                34.004710352657916
0.3333333333333333                                396.2990378759812+11.13979720760741i              396.2990378759812                                 17.78753376252429
0.3333333333333333                                398.72334317798766+0.6803793795068789i            398.72334317798766                                293.0154522517804
0.3333333333333333                                399.20398785594267+11.312397225908756i            399.20398785594267                                17.64453545450326
0.3333333333333333                                399.82560385704414+9.878922915149788i             399.82560385704414                                20.236295357861984
0.3333333333333333                                400.187843685421+11.862174934115055i              400.187843685421                                  16.86823225538934
0.3333333333333333                                401.05920186675417+0.3223299710941525i            401.05920186675417                                622.1252099290588
0.3333333333333333                                402.68432642140334+10.692529662917314i            402.68432642140334                                18.83017111553826
0.3333333333333333                                403.0177442151571+0.9917996719571155i             403.0177442151571                                 203.17497354071682
0.3333333333333333                                405.2298214731654+0.5281965405728601i             405.2298214731654                                 383.5975724430814
0.3333333333333333                                406.3962280817142+0.3262897350883988i             406.3962280817142                                 622.753621059536
0.3333333333333333                                408.4748276505267+0.2361966054596776i             408.4748276505267                                 864.6924176906931
0.3333333333333333                                408.85806565396035+0.25501284064357954i           408.85806565396035                                801.6421146129729
0.3333333333333333                                408.9479210557483+0.7752065735042131i             408.9479210557483                                 263.76706224713513
0.3333333333333333                                409.87838493334874+0.17833797841740218i           409.87838493334874                                1149.1618010102802
0.3333333333333333                                411.2312861286606+0.3502982916143869i             411.2312861286606                                 586.9730112491521
0.3333333333333333                                411.55915874182466+1.0801206022809966i            411.55915874182466                                190.51537294663893
0.4                                               389.90010851542195+1.4885319177871272i            389.90010851542195                                130.96800406371298
0.4                                               391.3392989250349+2.552965147923488i              391.3392989250349                                 76.64407390037022
0.4                                               395.07539062573755+0.4880312514290985i            395.07539062573755                                404.76443820845594
0.4                                               397.5350027230346+8.769098195106707i              397.5350027230346                                 22.666812132681176
0.4                                               397.7512765523524+9.593916850816681i              397.7512765523524                                 20.729347707370106
0.4                                               398.73290195429644+0.44752539301250355i           398.73290195429644                                445.4863435460478
0.4                                               400.4812658341418+8.415908674871506i              400.4812658341418                                 23.793109057249627
0.4                                               400.60478639907683+9.649403006514012i             400.60478639907683                                20.75800887001201
0.4                                               400.7688690495874+9.251694126345525i              400.7688690495874                                 21.659215251633785
0.4                                               400.92486572949497+9.893725545826483i             400.92486572949497                                20.261572037371657
0.4                                               401.19502553855267+5.171322118009096i             401.19502553855267                                38.79037278894246
0.4                                               401.816868055442+0.38709077715112916i             401.816868055442                                  519.0214954392512
0.4                                               402.0296285721982+9.010199642810049i              402.0296285721982                                 22.309695928491962
0.4                                               402.82026111476813+9.881203478576529i             402.82026111476813                                20.38315788092635
0.4                                               404.21007393085677+0.16592666763180788i           404.21007393085677                                1218.0383048124638
0.4                                               405.79933754920717+0.5325657554693107i            405.79933754920717                                380.9851960830698
0.4                                               406.5779891491445+0.9120030184594908i             406.5779891491445                                 222.9038615661138
0.4                                               408.4526724192049+0.2676609407219816i             408.4526724192049                                 763.0038796797459
0.4                                               409.3443935453275+1.3371551815593423i             409.3443935453275                                 153.06540302523632
0.4                                               410.12132683430195+0.02409484679515354i           410.12132683430195                                8510.560999225654
0.4666666666666667                                389.89691212915466+0.44306226652676967i           389.89691212915466                                440.0023897155743
0.4666666666666667                                393.38641048985687+6.926536475725714i             393.38641048985687                                28.397050377810977
0.4666666666666667                                393.3888476700468+6.353130857182353i              393.3888476700468                                 30.96023492301533
0.4666666666666667                                393.8699675219377+0.9793214822155714i             393.8699675219377                                 201.09329503875713
0.4666666666666667                                396.39119073050006+0.32864543161468696i           396.39119073050006                                603.0681588710476
0.4666666666666667                                396.57270342098406+6.7554780967917285i            396.57270342098406                                29.351934662427666
0.4666666666666667                                397.04435806379416+7.269503788346964i             397.04435806379416                                27.30890371776527
0.4666666666666667                                397.79015358670375+1.5792946500061686i            397.79015358670375                                125.93918227518532
0.4666666666666667                                398.96353177764763+7.161911402451197i             398.96353177764763                                27.853146273290992
0.4666666666666667                                399.0867464737031+7.36270507391813i               399.0867464737031                                 27.101910402974042
0.4666666666666667                                399.36947178609347+0.1882778396037874i            399.36947178609347                                1060.5854428394973
0.4666666666666667                                402.213141301752+7.1562804053708335i              402.213141301752                                  28.102108813391975
0.4666666666666667                                403.1974916369009+0.27542856917067554i            403.1974916369009                                 731.9456599054735
0.4666666666666667                                404.68029764295574+0.43570019420400885i           404.68029764295574                                464.40224611590537
0.4666666666666667                                406.23001637773257+6.899175359217611i             406.23001637773257                                29.44047623278562
0.4666666666666667                                406.52379704288114+7.279626383470947i             406.52379704288114                                27.92202344106082
0.4666666666666667                                406.6223459764812+5.6918473063408825i             406.6223459764812                                 35.71971664836231
0.4666666666666667                                407.52854737865664+6.460052322839384i             407.52854737865664                                31.54220175104834
