% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=9E-12                      ewfd.normE (V/m) @ lambda=9E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -246188.08165017673-214812.59573370463i           2.2533797416619316E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -1023434.4756455221-952697.770923853i             2.4222111597937156E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   76472.03607955601+79451.70333441111i              2.4319636238531176E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -1573740.4142106161-2131813.2255995213i           1.5955316668826457E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -2375777.83915795-2504293.699300797i              2.1333682560887683E7
0                         3.182396563385692E-7     -6.343381124083152E-8    -1605576.730823274-1450956.5281735228i            2.3386695196514394E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   -1870175.705500614-2728084.913753565i             1.5471174160209296E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -2754126.2908372777-4087600.0020773513i           1.7094027721396163E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -2570041.3027388426-3375423.241826928i            1.9184461697665177E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -1999080.7919160512-5292013.711913663i            1.0495410941093775E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    1062687.1172968727+1145042.0426671423i            1.9193789088039823E7
0                         2.538559103127853E-7     5.584570174921412E-8     1166994.51486327+1295563.0903712313i              1.9049745391663652E7
0                         3.24970696555981E-7      5.0869258428683064E-8    1370383.0880830036+1205461.3730130498i            2.395479474969248E7
0                         3.258812924319995E-7     4.569473248067654E-8     1261474.6487301656+1109347.0633857483i            2.4223401196310014E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     2330814.9999356596+2196302.9454346993i            2.176498054432798E7
0                         3.221038368927431E-7     5.584714369209338E-8     1443556.091674481+1302160.2833805035i             2.3735144049755674E7
0                         2.5315329523993733E-7    6.001853845885086E-8     1195461.7577330996+1422866.1484805099i            1.900239374104758E7
0                         2.5085145295922413E-7    5.462592438847495E-8     1056739.7517972125+1224420.7279052183i            1.8781652631583292E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    -772055.5856249388-1286993.6615459875i            1.4398629426369572E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    -1112828.9703148548-995911.9103858744i            2.2530185393504415E7
0                         3.232695709983424E-7     -5.53045889386516E-8     -1377383.2876117632-1242781.9996927287i           2.3717789687907524E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -151928.87114298058-136877.27162611712i           1.757559779610197E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    2563566.6847443627+3776867.4105336983i            1.7177785414389916E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    2520514.0578811774+4002104.252683196i             1.6567058908041153E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    1148082.5217672023+1378031.2847741381i            1.8568882121233977E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    2704557.644798599+4162410.9019315257i             1.6861280062713187E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    -1235709.0961309883-1890279.2899352196i           1.4183642943018384E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -1177075.6390243892-5366009.000933662i            5513922.255073313
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -980202.1238306079-1884783.9050532174i            6196873.723315241
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -1818147.0538115164-5419270.462944859i            1.0280580350004287E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    -1163241.4673670253-1892493.962508232i            1.2572480581900658E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -1854827.649553887-5486029.308740307i             1.0274060550369846E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -1760684.3388379968-5649660.286950182i            1.0332631792403586E7
0                         2.0046547469079038E-7    1.684949217441033E-7     2486193.5601275503+4174572.8138190014i            1.5994974244320085E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    1324753.2712719894+2365683.710741413i             9279849.823210526
0                         9.892122696120922E-8     2.0811770775040243E-7    1644949.6777338346+5509331.85592217i              9540385.291064052
-1.0587911840678754E-22   0                        2.1844380867587958E-7    1140167.9622425772+5345351.592989948i             5483518.070320256
