% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1E-12
3.3087224502121107E-24    2.909408219456692E-7     -9.116802241037532E-9    101429.06203657664-35754.387187097906i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   516231.98678372876-155804.67272972348i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   -188422.47633199548+17555.82851490163i
0                         3.244222491082903E-7     4.763785119570128E-8     -692511.9467189572+175117.0816444842i
2.274746684520826E-24     2.1457445665613249E-7    7.513119464638829E-8     -2432673.4833230507+425128.9049235005i
-4.1359030627651384E-25   2.3137191849259872E-7    7.459854219388789E-8     -2136127.55278968+394635.556208816i
5.583469134732937E-24     2.1546807526161548E-7    7.885366946571899E-8     -2548371.425428207+446221.2878190686i
-4.1359030627651384E-24   2.1266302937631554E-7    7.841650960755042E-8     -2553966.891462183+445873.32037826226i
4.963083675318166E-24     2.134882250777196E-7     8.095135089960772E-8     -2587235.587457861+457469.51616971486i
0                         3.163900648998948E-7     6.520876694083002E-8     -827988.4296667828+232121.28210830642i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    -2286818.692871372+508730.1073529436i
0                         2.417815675611352E-7     1.4694938582000425E-7    -4353673.14162601+758070.7971785176i
0                         1.441492463204858E-7     -1.4983037208425967E-7   6618563.647216492-982677.020860012i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   9337236.408972213-1297287.8711273044i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    6819940.735344314-1044700.9812659536i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   1.080444899864062E7-1431654.5696839388i
6.6174449004242214E-24    9.079461477035323E-8     -1.5890299258642E-7      7932010.089944765-1102450.4572616227i
0                         1.0185917752290108E-7    -9.033453138726522E-8    3874024.4729734687-623284.764138046i
5.293955920339377E-23     0                        -2.1799999999999991E-7   1.1937773671232885E7-1511599.8516671506i
-9.926167350636332E-24    5.4729451025116196E-8    -9.194252576102937E-8    4151198.189864331-643443.7180000335i
3.3087224502121107E-24    2.5498294835954666E-7    -7.02616853346351E-8     1721927.888201407-345415.2634658348i
-8.271806125530277E-25    3.047280241604408E-7     -5.389980015820028E-8    744647.8665325484-197705.79774722594i
3.3087224502121107E-24    2.4262951468959317E-7    -3.3727844817641724E-8   868146.7643526179-174132.5963009288i
-6.6174449004242214E-24   2.842388511482013E-7     -1.143672847943301E-7    2311625.193426252-505679.868299782i
8.271806125530277E-25     3.1734974094425616E-7    -6.47178657302182E-8     802749.0030814363-226212.50379865017i
0                         3.225473848719573E-7     -5.6596895764559517E-8   584012.689761403-187865.626314678i
0                         3.0727849354433177E-7    3.716187958667846E-8     -398406.95641613175+120715.68189484629i
4.963083675318166E-24     1.9608915284010443E-7    -8.524725028083092E-8    3101236.6169628506-515423.32991962i
-3.3087224502121107E-24   2.3687474334758368E-7    -1.5013343656633706E-7   4523438.030726327-781105.0445275004i
-1.6543612251060553E-24   1.844986501477195E-7     -9.498502051979598E-8    3701339.7157470034-585582.612374278i
0                         1.8647651061845574E-7    -8.149310160892542E-8    3041836.8176080743-500003.73910384875i
0                         3.163330442293183E-7     5.306646607773194E-8     -623795.1216328787+183025.4686411302i
0                         3.2286737959469416E-7    5.579691268901542E-8     -605307.8171347142+185804.32984554383i
-4.1359030627651384E-25   1.9958994130323732E-7    8.707457570639903E-8     -2968839.3952083774+507005.70240119245i
0                         1.127542796764382E-7     1.6015247688143135E-7    -7559012.970030529+1074524.91502124i
6.6174449004242214E-24    1.9077053353123035E-7    1.7843893109443794E-7    -7058902.703898775+1070807.8006434403i
-3.3087224502121107E-24   1.3457131188222352E-7    1.9764746760172172E-7    -9337537.865620574+1287974.6365763075i
-6.6174449004242214E-24   9.16313733218809E-8      2.0955171772387743E-7    -1.0761541830876408E7+1427125.9618028316i
0                         9.284097861045494E-8     1.6406606081566257E-7    -8020033.835238029+1122262.1277916108i
5.293955920339377E-23     0                        2.1799999999999997E-7    -1.2063588432521084E7+1510959.5521664575i
0                         1.0110578132682427E-7    1.4502750844500253E-7    -6939228.062443818+992917.716482825i
-1.6543612251060553E-24   8.347196322347463E-8     1.468051687236044E-7     -7100722.6900775265+1012192.9339479671i
-3.3087224502121107E-24   5.262860403016093E-7     -3.671370149176759E-7    2.0562633755971525E7-3852149.6354291514i
6.6174449004242214E-24    5.326174360744307E-7     -4.454999999999999E-7    2.1001843464806736E7-4031458.0250792913i
4.963083675318166E-24     4.982054509356383E-7     -4.2188128458714213E-7   2.4401001201246098E7-4425139.123864412i
-1.6543612251060553E-24   5.895251087508247E-7     -4.454999999999999E-7    1.762567672833149E7-3625109.0449755117i
0                         4.406983669550136E-7     -4.454999999999999E-7    3.018915516429254E7-5102702.975101054i
0                         4.0500000000000004E-7    -3.4694342761748135E-7   3.215449110879655E7-5258987.969159239i
0                         4.0500000000000004E-7    -4.2015684848266105E-7   3.342253542002318E7-5462656.675643227i
-1.6543612251060553E-24   4.6834749517382773E-7    -3.137342389695302E-7    2.4818927681037508E7-4288751.191873468i
-3.3087224502121107E-24   4.05E-7                  -3.121866787531193E-7    3.0149060050926596E7-4880708.994336787i
0                         5.088057071241112E-7     -2.969173048710213E-7    2.047102098847266E7-3743277.3535739123i
-3.3087224502121107E-24   4.2869941018243406E-7    -2.8124779152571903E-7   2.65689951787604E7-4399757.386528022i
0                         6.305278652133215E-7     -3.967511908904267E-7    1.4578300867698945E7-3222024.6562993955i
0                         5.213935146841009E-7     -2.9250758040117066E-7   1.93838949626133E7-3601003.425870624i
0                         4.0500000000000004E-7    -2.397036580806863E-7    2.651325030127066E7-4191244.149017943i
-1.6543612251060553E-24   4.750463203833237E-7     -2.658453244078209E-7    2.186597634516994E7-3775387.8269988555i
3.3087224502121107E-24    4.40076569456082E-7      -1.931656489292975E-7    2.031928267359863E7-3266979.895850517i
3.3087224502121107E-24    4.0500000000000004E-7    -2.107337597881088E-7    2.403721804500268E7-3738778.4279835187i
3.3087224502121107E-24    4.1609298255046795E-7    -2.2640763205390853E-7   2.4452480230413973E7-3903630.203025621i
-1.6543612251060553E-24   4.0500000000000004E-7    -9.739946361074687E-8    1.3530037961353183E7-1934455.5414935015i
0                         4.05E-7                  -1.1714201167276451E-7   1.6020404052508265E7-2327542.4117713463i
1.6543612251060553E-24    4.3195813114958147E-7    -1.3077322704547869E-7   1.5376037088825537E7-2349562.549921418i
-3.3087224502121107E-24   4.05E-7                  -1.3424495614328456E-7   1.7599180467867002E7-2606797.763280659i
1.9852334701272664E-23    8.212083153451605E-7     -3.1056727163046257E-7   7213835.254728116-2369271.546996246i
-9.926167350636332E-24    8.152787305657055E-7     -3.164486616082703E-7    7444484.966763352-2401463.6468806695i
1.9852334701272664E-23    8.21862073429495E-7      -3.227964186944923E-7    7217788.175681273-2405270.3523776443i
-2.481541837659083E-24    7.913127097652019E-7     -3.429403134025503E-7    8349901.499398816-2522332.06474207i
