% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=5E-12
3.3087224502121107E-24    2.909408219456692E-7     -9.116802241037532E-9    -7787722.085946888-4443410.883956222i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   -9674739.41435618-4633390.283085634i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   -1.0020891581526944E7-4385892.027596629i
0                         3.244222491082903E-7     4.763785119570128E-8     -9602933.53155906-4586733.407686859i
2.274746684520826E-24     2.1457445665613249E-7    7.513119464638829E-8     -4090388.474835432-4877014.029197378i
-4.1359030627651384E-25   2.3137191849259872E-7    7.459854219388789E-8     -4895200.540815505-4917422.820042326i
5.583469134732937E-24     2.1546807526161548E-7    7.885366946571899E-8     -3995593.287740439-4933690.529661476i
-4.1359030627651384E-24   2.1266302937631554E-7    7.841650960755042E-8     -4004370.389826499-4918769.894058104i
4.963083675318166E-24     2.134882250777196E-7     8.095135089960772E-8     -4121433.997629229-4953176.526875959i
0                         3.163900648998948E-7     6.520876694083002E-8     -9339936.40420805-4800474.89894386i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    -7794132.933179779-5235052.7003182545i
0                         2.417815675611352E-7     1.4694938582000425E-7    -5605611.176435715-5751132.148788128i
0                         1.441492463204858E-7     -1.4983037208425967E-7   607033.89665026-5048146.953223187i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   3204195.652564671-5480269.565367874i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    -1627391.7708274808-5903680.823020848i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   6574712.20260823-4858519.705101563i
6.6174449004242214E-24    9.079461477035323E-8     -1.5890299258642E-7      3645011.919575459-4517230.457145286i
0                         1.0185917752290108E-7    -9.033453138726522E-8    787797.985780705-4146558.968283817i
5.293955920339377E-23     0                        -2.1799999999999991E-7   8074130.630747353-4625927.559908447i
-9.926167350636332E-24    5.4729451025116196E-8    -9.194252576102937E-8    1474389.3030202258-4219526.67422951i
3.3087224502121107E-24    2.5498294835954666E-7    -7.02616853346351E-8     -6100738.616563039-4840742.717041662i
-8.271806125530277E-25    3.047280241604408E-7     -5.389980015820028E-8    -8790497.861238044-4700103.183609561i
3.3087224502121107E-24    2.4262951468959317E-7    -3.3727844817641724E-8   -5441483.680066103-4548208.510131326i
-6.6174449004242214E-24   2.842388511482013E-7     -1.143672847943301E-7    -7725491.381387555-5206405.450839055i
8.271806125530277E-25     3.1734974094425616E-7    -6.47178657302182E-8     -9515159.322159782-4770955.023077974i
0                         3.225473848719573E-7     -5.6596895764559517E-8   -9589492.620719086-4649346.936658349i
0                         3.0727849354433177E-7    3.716187958667846E-8     -8826596.430986468-4635394.800207086i
4.963083675318166E-24     1.9608915284010443E-7    -8.524725028083092E-8    -3004583.581356358-4841950.457309247i
-3.3087224502121107E-24   2.3687474334758368E-7    -1.5013343656633706E-7   -5275795.67343783-5859177.319330219i
-1.6543612251060553E-24   1.844986501477195E-7     -9.498502051979598E-8    -2133866.695839294-4943121.22684147i
0                         1.8647651061845574E-7    -8.149310160892542E-8    -2391081.6321305763-4786778.821615903i
0                         3.163330442293183E-7     5.306646607773194E-8     -9208304.41639726-4643772.136442037i
0                         3.2286737959469416E-7    5.579691268901542E-8     -9478844.86672533-4625382.560376632i
-4.1359030627651384E-25   1.9958994130323732E-7    8.707457570639903E-8     -3457705.0812135832-4973956.761716263i
0                         1.127542796764382E-7     1.6015247688143135E-7    2522855.392206504-4933925.330763454i
6.6174449004242214E-24    1.9077053353123035E-7    1.7843893109443794E-7    -1374495.6171269352-5940807.209928811i
-3.3087224502121107E-24   1.3457131188222352E-7    1.9764746760172172E-7    3112834.8934709625-5464164.370992135i
-6.6174449004242214E-24   9.16313733218809E-8      2.0955171772387743E-7    6319180.207736874-4944629.321784717i
0                         9.284097861045494E-8     1.6406606081566257E-7    3553008.530408223-4775468.1461084075i
5.293955920339377E-23     0                        2.1799999999999997E-7    8648536.34064951-4503575.935100235i
0                         1.0110578132682427E-7    1.4502750844500253E-7    2446654.876849214-4690148.874618343i
-1.6543612251060553E-24   8.347196322347463E-8     1.468051687236044E-7     2813363.5309907086-4668357.921845991i
-3.3087224502121107E-24   5.262860403016093E-7     -3.671370149176759E-7    -7338060.478408881-1443357.109849661i
6.6174449004242214E-24    5.326174360744307E-7     -4.454999999999999E-7    108187.6507713406+130276.42411548323i
4.963083675318166E-24     4.982054509356383E-7     -4.2188128458714213E-7   -2691633.6421688152-765411.3976918529i
-1.6543612251060553E-24   5.895251087508247E-7     -4.454999999999999E-7    -13074.550680788772-6601.77995865625i
0                         4.406983669550136E-7     -4.454999999999999E-7    -45516.30343007553-21483.35126529674i
0                         4.0500000000000004E-7    -3.4694342761748135E-7   -1.1608972202942148E7-3824879.4109242167i
0                         4.0500000000000004E-7    -4.2015684848266105E-7   -2972006.566395889-926674.0394194238i
-1.6543612251060553E-24   4.6834749517382773E-7    -3.137342389695302E-7    -1.3625267436990026E7-3566334.710149874i
-3.3087224502121107E-24   4.05E-7                  -3.121866787531193E-7    -1.5440244852301255E7-4992891.288528473i
0                         5.088057071241112E-7     -2.969173048710213E-7    -1.4378153802841097E7-3136349.303394175i
-3.3087224502121107E-24   4.2869941018243406E-7    -2.8124779152571903E-7   -1.811719019981058E7-5278001.296769998i
0                         6.305278652133215E-7     -3.967511908904267E-7    -4296087.348420967-654337.7718730067i
0                         5.213935146841009E-7     -2.9250758040117066E-7   -1.4281064583592594E7-2863329.965068178i
0                         4.0500000000000004E-7    -2.397036580806863E-7    -2.267362650209346E7-6795196.329472696i
-1.6543612251060553E-24   4.750463203833237E-7     -2.658453244078209E-7    -1.8202747693987288E7-4471489.043846836i
3.3087224502121107E-24    4.40076569456082E-7      -1.931656489292975E-7    -2.469296203008212E7-6213050.214544048i
3.3087224502121107E-24    4.0500000000000004E-7    -2.107337597881088E-7    -2.508122341599525E7-7189940.21704074i
3.3087224502121107E-24    4.1609298255046795E-7    -2.2640763205390853E-7   -2.3484885001133166E7-6648589.980698951i
-1.6543612251060553E-24   4.0500000000000004E-7    -9.739946361074687E-8    -2.9883460935769748E7-7020997.41455623i
0                         4.05E-7                  -1.1714201167276451E-7   -2.996418999718623E7-7322215.380632974i
1.6543612251060553E-24    4.3195813114958147E-7    -1.3077322704547869E-7   -2.82246925396504E7-6612759.788196045i
-3.3087224502121107E-24   4.05E-7                  -1.3424495614328456E-7   -2.9208831013952702E7-7376017.050364215i
1.9852334701272664E-23    8.212083153451605E-7     -3.1056727163046257E-7   -8163988.3986437945+955061.7953135595i
-9.926167350636332E-24    8.152787305657055E-7     -3.164486616082703E-7    -7992106.352530588+862431.6706029152i
1.9852334701272664E-23    8.21862073429495E-7      -3.227964186944923E-7    -7495592.479538376+827717.4302395091i
-2.481541837659083E-24    7.913127097652019E-7     -3.429403134025503E-7    -6281046.750518805+683514.135466917i
3.3087224502121107E-24    8.132164151273462E-7     -3.0889093502113745E-7   -8347836.383284216+900720.3440044222i
9.926167350636332E-24     8.074199076255276E-7     -3.1553049877803573E-7   -8016153.964396948+826284.230072357i
0                         6.721607233116906E-7     -4.455E-7                6269.901044089784+50397.73236161274i
-2.6469779601696886E-23   8.981523529578601E-7     -4.4549999999999996E-7   -45503.02401196494-32195.24602738732i
-3.3087224502121107E-24   7.253368457684986E-7     -4.4549999999999996E-7   73304.35877039102+60952.1173926065i
5.37667398159468E-24      1.215E-6                 8.732574559229382E-9     -2813743.275651084+9619447.44209732i
-2.0679515313825692E-25   1.1268959465037E-6       5.227169081700507E-8     -5900230.549871353+7973630.175729416i
9.098986738083304E-24     1.2126376682739553E-6    6.403936259602957E-9     -2885540.352326791+9626517.597362898i
4.1359030627651384E-24    1.215E-6                 2.4988748140056306E-9    -2795578.422498388+9671437.36134924i
0                         1.2149999999999998E-6    1.6701820046544376E-7    -1763815.757389031+7839948.282203576i
0                         1.035904606529041E-6     1.0367114061262876E-7    -9022328.321923025+6376260.795955322i
0                         1.2149999999999998E-6    -4.4549999999999996E-7   679207.8402647977+327108.94120650645i
6.6174449004242214E-24    9.72699324040614E-7      -3.091343366762282E-7    -4639680.492809578+2811460.9243976627i
1.3234889800848443E-23    1.0224598881796357E-6    -2.1985295013466604E-7   -7135711.002446544+4628804.636436681i
1.9852334701272664E-23    1.0875350022453794E-6    -2.077125204738675E-7    -5492035.389107116+5650013.427353997i
-1.3234889800848443E-23   1.2149999999999998E-6    -1.5626287560041607E-7   -2245267.3527451446+7971698.171989617i
-1.3234889800848443E-23   9.752735153072758E-7     -2.1907271783560623E-7   -8432127.518762574+3967287.5448697493i
2.0679515313825692E-24    1.204310246553989E-6     1.348473096341726E-9     -3145455.648937808+9449821.715541454i
0                         9.918136933547865E-7     -1.5462488159909355E-7   -9549014.120108522+4816232.318004361i
-3.3087224502121107E-24   7.509524380529078E-7     -1.2646894404393406E-7   -1.7565586920479957E7+623956.0454481144i
0                         7.555756107920515E-7     -1.3896809380089228E-7   -1.7287433694818493E7+657534.2258383621i
-1.6543612251060553E-24   7.361989458559782E-7     -1.3756863109985273E-7   -1.7586761703606047E7+336452.9753202304i
-1.6543612251060553E-24   7.646789088745446E-7     -1.0525281056743316E-7   -1.7586199542461958E7+910095.0481036901i
-9.926167350636332E-24    7.653409434289764E-7     -1.3735608732262426E-7   -1.69706618668878E7+958015.2554148082i
-1.6543612251060553E-24   7.905652758299973E-7     -1.2802704026114854E-7   -1.6394766711479584E7+1472535.881458472i
9.926167350636332E-24     6.40923865685546E-7      -2.6855387927708157E-7   -1.3393473732298326E7-1112898.4511072035i
1.6543612251060553E-24    5.768927342290918E-7     -2.7810202485500783E-7   -1.4260355982505126E7-2169912.927915256i
0                         6.30284338872633E-7      -2.427472243185585E-7    -1.5207373915111018E7-1487294.185729021i
1.6543612251060553E-24    6.638786016421364E-7     -3.4144155870584834E-7   -7720223.806122874-525967.2703814706i
9.926167350636332E-24     6.596687504560925E-7     -2.523701309500776E-7    -1.4035525441480916E7-913469.591761694i
3.3087224502121107E-24    5.743375248037586E-7     -2.162006507261736E-7    -1.8498022804478437E7-2854577.6768273744i
-4.963083675318166E-24    7.322560753885223E-7     -1.1570613314772139E-7   -1.813281304487657E7+265427.64780299726i
-3.3087224502121107E-24   4.229476789816154E-7     1.2304930426346377E-7    -2.8817985281587005E7-6829069.324102757i
0                         4.0499999999999993E-7    1.2843267564053058E-7    -2.9715193383173797E7-7440690.506394888i
4.963083675318166E-24     4.0500000000000004E-7    1.0483433646592005E-7    -2.960129132702905E7-7047423.25588135i
0                         4.3006386752658733E-7    4.609342036495255E-9     -2.925805363531187E7-5983910.00490364i
0                         4.0500000000000004E-7    2.5071177408604445E-8    -2.9991396084843744E7-6542418.204847217i
3.3087224502121107E-24    4.0500000000000004E-7    -1.6658777789044055E-8   -2.9957160894887965E7-6476969.276468049i
-1.6543612251060553E-24   5.057475649582711E-7     -7.083858521324827E-8    -2.6821021233192075E7-4829418.952366401i
0                         4.937156061610073E-7     -7.612275167876728E-8    -2.702851486046086E7-5039927.156199936i
3.3087224502121107E-24    5.163613659715325E-7     -8.972763520836649E-8    -2.5950950204540364E7-4490490.579193486i
0                         5.224906744802441E-7     -7.347205790757949E-8    -2.6036865919130635E7-4361182.806974872i
0                         5.059971693914353E-7     -8.079731816234046E-8    -2.6787244326011676E7-4877458.992092013i
3.3087224502121107E-24    5.036663645851501E-7     -9.883236845865358E-8    -2.629306361070083E7-4884241.083391686i
0                         5.125703033830536E-7     -8.207761118875145E-8    -2.6578103366278794E7-4685626.857362216i
0                         4.756426370857559E-7     -1.4761615745927355E-7   -2.5764294162731003E7-5364807.913418009i
-3.3087224502121107E-24   4.894059883646249E-7     -1.6776594515051276E-7   -2.4066657621094055E7-4927140.532714536i
0                         5.2041483771261E-7       -2.733237876229981E-7    -1.5670635915949669E7-3066052.171886394i
1.6543612251060553E-24    4.05E-7                  -4.454999999999999E-7    -43426.780647384374-24803.22093603836i
0                         1.458331962435541E-7     -2.408062306459975E-8    -1240571.3489686477-4446036.866581807i
-4.1359030627651384E-25   2.1038990885193158E-7    7.377294459647265E-8     -4012029.1727908114-4804509.946394826i
-1.6543612251060553E-24   1.9416718692265394E-7    -1.3838956692881505E-8   -3375555.5127792535-4534452.120413848i
-3.3087224502121107E-24   1.9390047367107988E-7    -7.248552237665454E-8    -3128670.0863947505-4753164.957601065i
-8.271806125530277E-25    1.8036673360092985E-7    -7.978400357287589E-8    -2035254.7885948692-4810992.018719105i
8.271806125530277E-25     1.7972923293965396E-7    -5.922009713511576E-8    -2520171.659458913-4757069.899021909i
0                         1.7823023133202587E-7    9.106668148712701E-9     -2679370.6963161207-4412556.852927175i
-9.926167350636332E-24    4.3091712304994005E-7    1.4965408578099417E-7    -2.749230575399395E7-6696647.04895324i
-3.3087224502121107E-24   4.0499999999999993E-7    1.5536809998364214E-7    -2.83896619896948E7-7473559.397746024i
1.075334796318936E-23     5.122763828886015E-7     3.016566432580802E-7     -1.3881238289607305E7-2980736.580010662i
-1.6543612251060553E-24   5.097713876176654E-7     2.962928230099749E-7     -1.4757492986284245E7-3286726.204645594i
-6.6174449004242214E-24   5.126962132280286E-7     2.946232044841032E-7     -1.4572298383380765E7-3056010.936869934i
