% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12
-3.3087224502121107E-24   4.05E-7                  -1.3424495614328456E-7   8272436.813441997+4529423.212727518i
1.9852334701272664E-23    8.212083153451605E-7     -3.1056727163046257E-7   2250312.179214239+425897.61167038634i
-9.926167350636332E-24    8.152787305657055E-7     -3.164486616082703E-7    2271639.9182911958+423961.2170614236i
1.9852334701272664E-23    8.21862073429495E-7      -3.227964186944923E-7    2204703.4281785013+441872.82305431383i
-2.481541837659083E-24    7.913127097652019E-7     -3.429403134025503E-7    1765824.7209263637+319397.87866367033i
3.3087224502121107E-24    8.132164151273462E-7     -3.0889093502113745E-7   2257983.048348802+385282.84946257324i
9.926167350636332E-24     8.074199076255276E-7     -3.1553049877803573E-7   2236601.7270715386+371413.33640018944i
0                         6.721607233116906E-7     -4.455E-7                -91469.54192415878-10908.734927565209i
-2.6469779601696886E-23   8.981523529578601E-7     -4.4549999999999996E-7   69396.20945393895+7112.937392284675i
-3.3087224502121107E-24   7.253368457684986E-7     -4.4549999999999996E-7   -54608.29786007209-35479.25267552478i
5.37667398159468E-24      1.215E-6                 8.732574559229382E-9     1598697.9427746863-2181267.6195780225i
-2.0679515313825692E-25   1.1268959465037E-6       5.227169081700507E-8     2180753.770475593-1622263.078097831i
9.098986738083304E-24     1.2126376682739553E-6    6.403936259602957E-9     1591638.7697462502-2186413.853553938i
4.1359030627651384E-24    1.215E-6                 2.4988748140056306E-9    1570584.862628486-2172980.038927532i
0                         1.2149999999999998E-6    1.6701820046544376E-7    1081061.8310495308-1887395.8682603892i
0                         1.035904606529041E-6     1.0367114061262876E-7    2817064.4775356916-955880.542989078i
0                         1.2149999999999998E-6    -4.4549999999999996E-7   -131216.57329053798-138778.85733035684i
6.6174449004242214E-24    9.72699324040614E-7      -3.091343366762282E-7    1676254.0042489287-209007.62163517365i
1.3234889800848443E-23    1.0224598881796357E-6    -2.1985295013466604E-7   2190907.8535862267-659542.6863835878i
1.9852334701272664E-23    1.0875350022453794E-6    -2.077125204738675E-7    1767912.7327624739-925077.7907391496i
-1.3234889800848443E-23   1.2149999999999998E-6    -1.5626287560041607E-7   1226819.975706878-1860713.7123231946i
-1.3234889800848443E-23   9.752735153072758E-7     -2.1907271783560623E-7   2531346.236573357-398210.3796255874i
2.0679515313825692E-24    1.204310246553989E-6     1.348473096341726E-9     1567327.734149479-2187083.83415435i
0                         9.918136933547865E-7     -1.5462488159909355E-7   2872668.3235929934-558274.6755617737i
-3.3087224502121107E-24   7.509524380529078E-7     -1.2646894404393406E-7   5022485.986614676+1206056.3353130498i
0                         7.555756107920515E-7     -1.3896809380089228E-7   4864927.417705264+1221285.5081107237i
-1.6543612251060553E-24   7.361989458559782E-7     -1.3756863109985273E-7   4900613.0440848395+1310554.5038240466i
-1.6543612251060553E-24   7.646789088745446E-7     -1.0525281056743316E-7   4890661.841154489+1161404.000645814i
-9.926167350636332E-24    7.653409434289764E-7     -1.3735608732262426E-7   4654651.433498181+1114030.2009009202i
-1.6543612251060553E-24   7.905652758299973E-7     -1.2802704026114854E-7   4523867.369871388+888034.5817597662i
9.926167350636332E-24     6.40923865685546E-7      -2.6855387927708157E-7   3754569.436381043+1408103.9860280566i
1.6543612251060553E-24    5.768927342290918E-7     -2.7810202485500783E-7   3974250.618714264+1815166.8120104745i
0                         6.30284338872633E-7      -2.427472243185585E-7    4214388.564741752+1632930.7765271321i
1.6543612251060553E-24    6.638786016421364E-7     -3.4144155870584834E-7   2174828.442694935+828320.2598494778i
9.926167350636332E-24     6.596687504560925E-7     -2.523701309500776E-7    3910871.3979183845+1358706.8400678309i
3.3087224502121107E-24    5.743375248037586E-7     -2.162006507261736E-7    5139197.045730333+2311734.30121758i
-4.963083675318166E-24    7.322560753885223E-7     -1.1570613314772139E-7   5002757.797092895+1369754.1178753832i
-3.3087224502121107E-24   4.229476789816154E-7     1.2304930426346377E-7    8375233.433600202+4345188.33817991i
0                         4.0499999999999993E-7    1.2843267564053058E-7    8329191.021352184+4635197.869916282i
4.963083675318166E-24     4.0500000000000004E-7    1.0483433646592005E-7    8390206.825989233+4468866.76118956i
0                         4.3006386752658733E-7    4.609342036495255E-9     8390390.977941435+4049555.3474008357i
0                         4.0500000000000004E-7    2.5071177408604445E-8    8542095.093791066+4298337.428750132i
3.3087224502121107E-24    4.0500000000000004E-7    -1.6658777789044055E-8   8535508.850655148+4285787.554571703i
-1.6543612251060553E-24   5.057475649582711E-7     -7.083858521324827E-8    7434446.766492481+3568051.200964049i
0                         4.937156061610073E-7     -7.612275167876728E-8    7724428.2100402815+3684233.074850753i
3.3087224502121107E-24    5.163613659715325E-7     -8.972763520836649E-8    7169102.707119745+3441678.1113059754i
0                         5.224906744802441E-7     -7.347205790757949E-8    7303902.888438261+3407558.04252373i
0                         5.059971693914353E-7     -8.079731816234046E-8    7739118.956186384+3596100.359666061i
3.3087224502121107E-24    5.036663645851501E-7     -9.883236845865358E-8    7438958.744790021+3549631.35812041i
0                         5.125703033830536E-7     -8.207761118875145E-8    7418168.896911298+3557091.2706668056i
0                         4.756426370857559E-7     -1.4761615745927355E-7   7640328.274026967+3729671.2645254764i
-3.3087224502121107E-24   4.894059883646249E-7     -1.6776594515051276E-7   6897270.67899241+3406121.686364089i
0                         5.2041483771261E-7       -2.733237876229981E-7    4409382.323168065+2220770.302688151i
1.6543612251060553E-24    4.05E-7                  -4.454999999999999E-7    -31551.731520839967+963.3973442421257i
0                         1.458331962435541E-7     -2.408062306459975E-8    -4575863.074834452-261923.7554468751i
-4.1359030627651384E-25   2.1038990885193158E-7    7.377294459647265E-8     -3301116.575210118+314009.69008857635i
-1.6543612251060553E-24   1.9416718692265394E-7    -1.3838956692881505E-8   -3499920.2516055563+189520.4001034093i
-3.3087224502121107E-24   1.9390047367107988E-7    -7.248552237665454E-8    -3791961.768411193+159423.75119136026i
-8.271806125530277E-25    1.8036673360092985E-7    -7.978400357287589E-8    -4013398.868886381+49895.87761652043i
8.271806125530277E-25     1.7972923293965396E-7    -5.922009713511576E-8    -3962276.408518048+70313.28293634845i
0                         1.7823023133202587E-7    9.106668148712701E-9     -3684111.265758121+102336.26862879103i
-9.926167350636332E-24    4.3091712304994005E-7    1.4965408578099417E-7    7914673.029804928+4186034.3798531746i
-3.3087224502121107E-24   4.0499999999999993E-7    1.5536809998364214E-7    8017201.832521293+4473654.012556606i
1.075334796318936E-23     5.122763828886015E-7     3.016566432580802E-7     3664527.7890476547+2004939.4834828074i
-1.6543612251060553E-24   5.097713876176654E-7     2.962928230099749E-7     3971047.4172996953+2132934.9890673202i
-6.6174449004242214E-24   5.126962132280286E-7     2.946232044841032E-7     3939144.797098247+2085268.86818658i
6.6174449004242214E-24    5.030217762413025E-7     3.0014579672453795E-7    4053393.2765336493+2148929.158414156i
-1.6543612251060553E-24   5.023435948197871E-7     2.950052560091472E-7     4314138.378807451+2174691.8135607247i
-8.271806125530277E-25    5.010508055561108E-7     2.868242215369731E-7     4447472.431031129+2282895.1526194825i
-1.6543612251060553E-24   5.104784209867601E-7     2.879986309620584E-7     4305421.301437824+2155776.3838527934i
