% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         9.892122696120922E-8     2.0811770775040243E-7    6936096.573792142-1915065.249640058i              8628321.367867555
-1.0587911840678754E-22   0                        2.1844380867587958E-7    7847482.34481224-1755524.633445437i               8048950.452560542
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    4571991.04611605-2603237.206173923i               9202474.393548965
0                         9.901265081548767E-8     2.086243933096728E-7     6991974.682428008-1871648.378548629i              8801453.580695149
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    6982848.970837457-1827188.074559771i              8880759.661379926
0                         4.3156852068532967E-7    -9.441573109727262E-8    813236.8105227791-2361232.204822912i              9097237.076570112
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    866323.0461765939-2307584.252238356i              8739954.527989862
0                         4.0481067694876277E-7    -1.2247503680099905E-7   1110152.4876472354-2240389.452968339i             8479365.100299126
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   674277.8895964434-699515.9190316277i              4096820.0788312797
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   778656.0666620963-622123.0920268038i              4431177.24708306
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   674382.922112689-563638.32081227i                 3983947.266204295
0                         4.502508420350996E-7     -2.9324605695653366E-7   494493.8813519141-960965.7967367982i              5285320.06563873
0                         4.561468564307357E-7     -2.3347254581814542E-7   741180.4246431057-1526700.714125316i              6881763.9194020135
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    1101392.428386518-1417310.8191899483i             6775143.645152571
0                         4.0481067694876277E-7    -2.491234228295679E-7    1167557.3848745609-1322068.5492084692i            6174315.528813426
0                         4.0481067694876277E-7    -1.847936517365227E-7    1193373.9137993997-1858209.0407060913i            7315982.815904868
0                         4.997136481438985E-7     -5.4578163674120465E-8   37543.87557431964-2136171.4782666275i             1.1738853040305922E7
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   254021.9989455368-2165633.3292377866i             1.0173206200843738E7
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   219747.54987186292-2230263.408522304i             1.018088410126995E7
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     33011.83394101969-1969475.6883603176i             1.1415266176526504E7
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    14723.131434030942-2093768.9735310809i            1.0748844831189347E7
0                         4.0481067694876277E-7    2.3721473678056144E-8    721594.9454585834-2367865.0196269555i             8930470.226131858
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    797555.1815051567-2306453.6912826607i             8958601.875811305
0                         4.375981764020514E-7     -1.443441900957181E-7    521238.7162682951-1810790.2271107764i             8816943.194717493
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    75076.35937543113-1421217.1940248867i             7918866.018137646
0                         5.165759812286529E-7     -1.5276612097377223E-7   7843.911283641141-1814664.9357775562i             1.0687532592553688E7
0                         4.777461392223046E-7     -1.1661254719235383E-7   74612.93303471502-1918863.907027294i              9745057.58110318
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   -773368.7025529494-1346759.8178105266i            1.1022705070848975E7
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    437779.520412643-715179.1588706538i               3704853.8796957596
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   511190.59644284734-426119.046360608i              2004910.765506855
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   -19758.00888533563-229937.0930413284i             2542804.0553981704
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    10837.173285623008-35502.037883401645i            1788143.035533362
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    41714.411964652405-39127.241797960836i            894391.7966324519
3.3087224502121107E-24    4.0481067694876277E-7    -4.457236684465527E-7    17433.21309652955-56483.742760322915i             1153744.270721114
3.3087224502121107E-24    7.584990733679616E-7     -3.525345509788203E-7    -619388.3976145472-417273.67772379343i            7494811.406098048
1.6543612251060553E-24    6.455923658273635E-7     -2.9779599197226205E-7   -654651.7025922242-889492.3328257032i             8851823.005818753
-1.3234889800848443E-23   6.594171668704031E-7     -4.457236684465528E-7    5680.149281412638-78232.66461259803i              2170375.182365831
0                         7.115433440389336E-7     -4.4572366844655277E-7   -345.2398441197729-39580.957283927884i            2319011.990671941
0                         6.13672952558064E-7      -4.457236684465528E-7    957.3310259766604-28668.250093763443i             1816288.0187715879
0                         5.835703006909465E-7     -3.9683597509188217E-7   10906.974380987756-300397.2859824558i             2587328.7083932585
1.6543612251060553E-24    5.073206154392238E-7     1.6639490242751647E-8    -119191.35655612829-2085866.0387616213i           1.1857431549596328E7
0                         4.872041077290517E-7     5.2308274107395806E-8    118078.75698122637-2130366.2840551585i            1.1432740505271822E7
0                         4.0481067694876277E-7    1.360940974810027E-7     1302519.9686157207-2391201.1450150656i            8252622.484137774
0                         4.0481067694876277E-7    5.720766611629198E-8     760043.1203031146-2344459.3212879794i             8835705.166713003
0                         4.862892861970411E-7     7.59710070016916E-8      178593.58898438647-2169296.1644884935i            1.1290334804563422E7
6.6174449004242214E-24    1.7939660431371156E-7    5.0528916286388705E-9    2693955.453723788-3336710.5470683123i             7022274.240320708
0                         2.459427215263416E-7     5.2736472453813216E-8    2349887.639321592-3122635.6271561384i             6976153.398276266
3.3087224502121107E-24    1.5707454531081041E-7    6.25005572267353E-8      3220503.8037484763-3169313.5080689183i            6524799.466352244
6.6174449004242214E-24    2.1433983851951722E-7    7.1700210684364934E-9    2525328.813785755-3178843.9292444456i             7795601.388985382
0                         2.49260976348461E-7      5.607337329607634E-8     2435885.557476586-3182280.061966293i              6961524.900508421
-1.3234889800848443E-23   6.246188711819906E-7     3.9309164022119866E-8    -1210138.7362472836-1931598.0877542596i           1.7414057860413708E7
0                         5.960440285226311E-7     2.988217108289382E-8     -1126733.9358857956-1948766.804227i               1.632952190364183E7
-1.6543612251060553E-24   5.631430720862984E-7     6.27649824210615E-8      -790651.6107606892-1993259.6650536696i            1.4574053756687135E7
-1.6543612251060553E-24   6.691471139469493E-7     -6.92448852235418E-8     -1467594.612985642-1717799.0420849316i            1.812763871585853E7
-1.6543612251060553E-24   4.4978337932055604E-7    1.5899387636454964E-7    560478.2492065456-1806345.1364815948i             9060583.4246625
0                         5.281021162220563E-7     1.0122790767266414E-7    -424903.28371366096-1924402.2782318098i           1.2152604893834038E7
0                         5.408635932871615E-7     1.6874223547965604E-7    -367858.45466414967-1655218.6157763568i           1.117930683845688E7
0                         5.191967007498003E-7     7.363267056516884E-8     -406540.81265517796-1986596.5232024614i           1.2261609747013131E7
0                         1.2144320308462883E-6    -4.4572366844655277E-7   84086.960296498+121226.4437809807i                2319671.993873941
0                         9.711902279227485E-7     -1.706099099539873E-7    -1762965.3534241796+156547.70354384213i           1.783859896658464E7
5.790264287871194E-24     9.829586933867662E-7     -1.6127963750351202E-7   -1898065.1459836857+274168.2935308381i            1.8460531078956373E7
1.3234889800848443E-23    1.214432030846288E-6     -1.0860767275448962E-7   -677077.7383861785+1749300.536872784i             1.739086526798758E7
1.3234889800848443E-23    9.682376450528536E-7     -1.6514818570509336E-7   -1717622.32177894-94422.15521417547i              1.8016738473488554E7
1.406207041340147E-23     9.726521862409165E-7     -1.6285283285125584E-7   -1739668.2220828738+129323.80262418324i           1.7976902680972625E7
1.6543612251060553E-24    9.626704923717386E-7     -1.6119038765285642E-7   -1913273.9950620367-96965.51730640489i            1.842935441474544E7
1.6543612251060553E-24    9.754909361905512E-7     -1.5889962744497584E-7   -1931261.5118372377+160486.62592696227i           1.820438819894886E7
8.271806125530277E-25     9.387796828040267E-7     -1.92233150566557E-7     -1848098.8942989998-110887.37000577903i           1.6927019634902384E7
6.6174449004242214E-24    8.550869066977325E-7     -3.054656588009247E-8    -2888990.492842636-693276.1168244383i             2.2124710913285445E7
-6.6174449004242214E-24   7.891679577345008E-7     -7.479479087737868E-8    -2168567.901733206-1079566.854349036i             2.0918418766257193E7
1.3234889800848443E-23    7.97048117412347E-7      -6.302097202391355E-9    -2305249.969466409-983700.1887305079i             2.188347180758115E7
6.6174449004242214E-24    7.520580860383995E-7     -1.3288742342409566E-8   -1722084.4231336326-1134509.1201904912i           2.100524828918689E7
0                         7.054127686436632E-7     -1.0157113773708578E-7   -1626166.7949190778-1543654.778015084i            1.894204221438596E7
3.3087224502121107E-24    5.052561387145081E-7     -2.446466948904555E-7    -38953.36953365129-1154609.1777880073i            7294368.345714619
0                         6.247238596707543E-7     -2.5434599037638164E-7   -786352.0142484972-1214908.0041090182i            1.0889165783394925E7
0                         5.214366592560964E-7     -3.381466525268136E-7    5476.579736070969-741253.583854276i               4479912.550118203
-1.6543612251060553E-24   6.30222716919134E-7      -2.3418625134157275E-7   -940003.9884613671-1263481.299858331i             1.1721324620247524E7
6.6174449004242214E-24    5.576046715284379E-7     -1.2432629581684775E-7   -717085.5246369352-1782159.2253805087i            1.309290349464636E7
0                         5.49458049142369E-7      -5.2424835329014184E-8   -693216.563659511-1932066.7270762436i             1.3915692599611655E7
-1.6543612251060553E-24   6.772966468641454E-7     -1.1254496970161925E-7   -1498455.7221218843-1648708.6203774698i           1.8161284234137025E7
0                         7.589645985661259E-7     -1.6652353284211032E-7   -1781711.2687077564-1161993.9286440278i           1.777467167802772E7
0                         7.894428415806573E-7     -2.946914164752046E-7    -1126641.7882153443-777906.7066243801i            1.1153296446323702E7
-1.6543612251060553E-24   6.480993456055181E-7     -2.4946320709047333E-7   -960678.1121903124-1069696.8339249094i            1.1783947856898004E7
1.6543612251060553E-24    6.929039943739884E-7     -1.2131650012357304E-7   -1617165.0855139932-1568381.6297054754i           1.821686908157111E7
1.6543612251060553E-24    6.387782450892036E-7     -2.640761444177972E-7    -841483.2618018214-1068679.6742663248i            1.076659955910465E7
0                         7.742683920110035E-7     -3.156157027512449E-7    -964965.9747386775-753988.7185411907i             9861999.6386189
-3.3087224502121107E-24   5.495370825295924E-7     -3.5901745045618887E-7   -35544.249571968816-531896.1802647582i            4243434.640924936
0                         8.518735131742949E-7     -4.457236684465528E-7    18100.118343683185-10142.269950155014i            3724830.0604436556
0                         8.064277864561567E-7     -3.349980882823954E-7    -871122.5737766577-518606.6685899154i             8877872.784304172
-3.3087224502121107E-24   4.3658923736319153E-7    2.472402499771893E-7     794794.0904645678-1274586.012685588i              6433812.7285137065
0                         4.0481067694876277E-7    2.5753493727551003E-7    919106.024180802-1005201.424692193i               5692867.957077407
0                         4.0481067694876277E-7    2.0714308067700738E-7    1101582.5591868255-1736942.7570012219i            6839845.081332558
-2.6469779601696886E-23   7.245654816930181E-7     6.376431187878918E-8     -2110590.8256348567-1584483.108016905i            2.030064027187161E7
0                         6.930442476933175E-7     5.100816087261462E-8     -1806952.9270498988-1594157.3951451066i           1.9559975619774837E7
1.6543612251060553E-24    6.926043182087825E-7     -8.272410280721334E-8    -1647879.2389506183-1617667.5103208814i           1.8665398922664713E7
0                         4.048106769487628E-7     2.79063042588469E-7      1154934.077301681-1060630.5452731336i             5288215.908171069
3.3087224502121107E-24    4.0481067694876277E-7    3.379968755225224E-7     742202.1629299894-462872.3624137443i              3823792.9167814665
0                         4.7333691249732846E-7    3.3810438509062026E-7    339385.40817145427-562758.5085474446i             3288708.176927905
0                         4.7278923339143395E-7    3.314883455331893E-7     380684.6976788994-655922.472487061i               3479415.780030571
-3.3087224502121107E-24   4.0481067694876277E-7    3.6038578813905066E-7    681849.2813749831-448007.29918093944i             3333403.5193669256
0                         4.0481067694876277E-7    4.099925578214459E-7     435239.0317124396-264258.8971477972i              1627559.050564598
0                         6.509859582013704E-7     1.3255461462843295E-7    -1269398.5195670354-1596738.7689735238i           1.6318419782891858E7
0                         6.705836698145423E-7     1.485399450120071E-7     -1465817.2242335628-1572828.223890918i            1.6733243149289405E7
0                         6.578698432351904E-7     1.5991641382153506E-7    -1239548.1980827656-1509207.5898822462i           1.5854726540431317E7
0                         6.410384686553871E-7     1.6274714920797545E-7    -1168016.239285264-1529927.0830245232i            1.5258692238122668E7
0                         4.788499947104467E-7     3.425026801200342E-7     242450.3240478075-599150.6532107656i              3207225.7512947978
1.6543612251060553E-24    4.2957613825231527E-7    4.457236684465527E-7     -15496.012738155745+43925.892361203405i           832957.6427573846
0                         4.962314594314798E-7     4.457236684465528E-7     -10837.173285622644+35502.03788340138i            1796615.9980482962
-6.6174449004242214E-24   5.643604176755028E-7     2.482016625425285E-7     -499480.46444404504-1090132.7414633245i           8970602.333740873
0                         6.526453161246262E-7     1.8190332702945102E-7    -1065450.6352744098-1438153.7755851932i           1.4912077815239703E7
6.6174449004242214E-24    6.41117934249498E-7      2.923429392833327E-7     -728495.157132834-930924.5403904393i              9349992.671784464
-6.6174449004242214E-24   5.761765813329171E-7     2.9910786931305563E-7    -485635.02161305374-861529.1725615672i            7744921.757259091
0                         4.820829262188099E-7     3.355042066868296E-7     290990.39303757704-719687.0898700784i             3499205.3667318057
0                         4.211107416564642E-7     1.7500732835666212E-7    1036852.9871908607-2151636.6266831374i            8100271.856814772
3.3087224502121107E-24    4.0481067694876277E-7    1.622613169736564E-7     1699389.9525290108-2896867.12122493i              8679963.041822102
0                         5.122042016630905E-7     2.1271907331504992E-7    24943.704286084645-1349808.0520432368i            8776735.96257696
0                         4.786782271399676E-7     3.345049319927811E-7     316799.9370682551-682803.853816214i               3333341.2797401994
6.6174449004242214E-24    9.170441589635832E-7     1.3913097951325565E-7    -1955243.4513918303-280522.32831076987i           1.8915795595651902E7
1.6543612251060553E-23    8.840109665589397E-7     1.555873715367559E-7     -1906785.1502800288-292640.1391894074i            1.8834601295203667E7
0                         7.191376553515902E-7     1.6671927879709242E-7    -1485175.690691721-1293182.3144309395i            1.6755631652250687E7
-6.6174449004242214E-24   8.582082660181202E-7     2.0329463399612063E-7    -1640076.537518707-329173.7484746299i             1.6816393867601488E7
1.9852334701272664E-23    9.168045775200016E-7     1.838839511341664E-7     -1762185.2271931928-274554.9233165703i            1.785953843774055E7
-1.3234889800848443E-23   8.947124546920311E-7     2.1609288361610416E-7    -1402238.238946499-152608.2366275306i             1.6702491406137533E7
5.293955920339377E-23     1.2144320308462883E-6    1.3163477256883595E-7    -998381.4699222401+1519010.5780755535i            1.7923189308192294E7
0                         1.2144320308462883E-6    4.4572366844655277E-7    458072.06423683465+90538.66413058665i             2939722.2148453114
-6.6174449004242214E-24   1.2047294125653607E-7    -5.4177059992643494E-8   3741418.4853991503-3111618.7547926i               6787288.444223486
0                         2.429292671279745E-7     5.948826477865517E-8     2431602.2616133937-3179644.009215201i             7232682.45303729
6.6174449004242214E-24    0                        4.436886207510373E-8     3780802.562743895-3231521.3898786497i             5493535.126592528
6.6174449004242214E-24    5.812045785468935E-8     -2.552427027151395E-9    3792744.765540708-3137025.760808387i              6709640.378641749
6.6174449004242214E-24    0                        -4.436886207510373E-8    3777945.917998851-3170450.20127322i               5503821.292734862
0                         7.655579962140228E-8     6.542684884060526E-8     3891889.0951544857-2991803.5468382556i            6254028.040071684
0                         6.866435007000858E-7     -1.0938876761640242E-7   -1674493.7354585757-1642819.119629757i            1.8408974814608555E7
0                         4.771927731982387E-7     3.36489827235441E-7      305887.69581434724-634120.2088599092i             3378360.406462985
3.3087224502121107E-24    4.0481067694876277E-7    4.457236684465527E-7     -17433.21309652953+56483.742760323126i            1132100.457606779
0                         6.651249287303628E-7     1.6790702109120413E-7    -1182831.7957440298-1538926.5414928189i           1.5947585852651233E7
4.1359030627651384E-25    4.867723564772883E-7     3.418091714985628E-7     204667.54620581944-656884.5732420986i             3251101.798094891
-6.6174449004242214E-24   6.136729525580642E-7     4.457236684465528E-7     -34170.186145271604+55220.18638452949i            1889814.7722956
0                         6.881616988740355E-7     3.978295959370143E-7     -174144.1772599303-244212.63457153414i            4284275.105429077
6.6174449004242214E-24    6.594171668704033E-7     4.457236684465528E-7     121350.81373324619-100982.21036626975i            2347358.854828645
6.6174449004242214E-24    6.400077995513397E-7     4.145395176181685E-7     42574.20281377704-141919.73826798462i             2714990.5037923343
6.6174449004242214E-24    7.115433440389337E-7     4.457236684465528E-7     345.2398441197438+39580.9572839279i               2346376.8633401673
0                         6.653123572430028E-7     1.7967980069664388E-7    -1161578.2926318748-1538916.6851132289i           1.5315355696135517E7
6.6174449004242214E-24    7.079823640439226E-7     3.146782694854729E-7     -877526.1598018544-718762.1503791556i             9334983.764379509
0                         8.518735131742948E-7     4.457236684465527E-7     -28920.090855149803-84413.2388749926i             3942175.1578234867
0                         7.868661569218205E-7     3.7218715107475933E-7    -332223.71479277266-373448.5586266381i            6576371.226857711
-3.3087224502121107E-24   3.713163589710846E-7     2.28719275193699E-8      241115.08271882753-863720.4260430962i             7649468.09760456
0                         3.258812924319995E-7     4.569473248067654E-8     450883.8048351155-698864.9113245301i              6550681.746038587
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   182077.02518416397-419145.545132983i              6462420.646061954
0                         3.67742134455443E-7      -2.622766939059858E-9    91121.85764513371+61936.59752215548i              7637200.000879879
