% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=2E-12                      ewfd.normE (V/m) @ lambda=2E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   2467416.7025277326+6277302.737036948i             3.1550592665292047E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   1.1687323953726301E7+3142690.719572374i           2.6230169578434557E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -915885.7282504571+2510531.070929536i             2.052611341771021E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -3538422.215245484-2312557.3022652557i            2.8916948138501264E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    -2670250.4418797027-2817435.5518315737i           1.963355681281341E7
0                         3.182396563385692E-7     -6.343381124083152E-8    4186804.9002869-3879542.848373043i                2.508582629580733E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   2205049.8268489596-9894543.634815728i             3.7295453375826485E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   -4813201.177562646-1.0423382204664212E7i          2.3024750555678084E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   -1.0777606136105122E7-9544264.482745208i          2.1732941803213745E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   2661641.4881291953+3111578.6708474415i            2.7365400538664494E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    1.364810804956495E7-2003577.3430924553i           3.997060577544792E7
0                         2.538559103127853E-7     5.584570174921412E-8     1.5256922234216072E7+1.2263265829712022E7i        4.59836663151674E7
0                         3.24970696555981E-7      5.0869258428683064E-8    -1.3677913536132537E7-2597394.269782706i          3.411949232328469E7
0                         3.258812924319995E-7     4.569473248067654E-8     -1.2087417003030287E7+760619.1642298918i          3.1727249557698026E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -1.9734020675485305E7+9169604.93007069i           4.684100833008129E7
0                         3.221038368927431E-7     5.584714369209338E-8     -1.4824073615079455E7-123835.17616266577i         3.2014143142425694E7
0                         2.5315329523993733E-7    6.001853845885086E-8     1.8273886681285005E7-144582.7134898704i           3.839631037530952E7
0                         2.5085145295922413E-7    5.462592438847495E-8     1.7178461182756606E7+3785429.162070186i           4.065258430316671E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    3732093.548132976-3533867.3456716053i             4.021258578201304E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    4647403.334586608+517033.2792273412i              2.7741229438444443E7
0                         3.232695709983424E-7     -5.53045889386516E-8     1.1455941437304286E7+1794790.7900590005i          3.338125464945074E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      -1.0585905817202056E7-1253994.909499828i          3.557131464136516E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    4148951.2622351144-1011047.518089102i             3.864392438292319E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    5634770.202579181-8778977.579490064i              3.613042329487925E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    9623267.536586827-4670628.028335728i              3.470603256726531E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    1.7227714538669292E7-1.5356815302967591E7i        4.642532201225452E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    5087527.754018639-1.799541315889609E7i            4.249363928975378E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -7950214.482381674+7120950.128339293i             1.693878914413898E7
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -4460947.7383188475+8275151.028299982i            3.909768951676363E7
0                         1.1222187758084808E-7    -2.0359382100811807E-7   -513070.7123108826+200796.66407473106i            2.3951142356329694E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    5998091.567685525-3867635.1374312076i             5.161461833700183E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   -3402953.1792456657+2270279.6456489414i           1.6564894154936448E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   -4789642.429307051-4922916.537538169i             2.3561242208041206E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -4579435.55121512+1209497.3506274272i             3.3751528365352176E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -5822424.808864453-1.0102492688247256E7i          3.926992935471188E7
0                         9.892122696120922E-8     2.0811770775040243E-7    -6768726.42238418+7205422.323884715i              2.136331180954915E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    7400059.200376287+1.2828782002014957E7i           3.1966828994762704E7
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    7705040.043209462-1.0123797358871846E7i           2.8964935608521704E7
0                         9.901265081548767E-8     2.086243933096728E-7     -3093313.2364477594+8783251.493613768i            1.625419573749062E7
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -7583571.905376144+6451838.984690685i             1.554000980386458E7
0                         4.3156852068532967E-7    -9.441573109727262E-8    2440786.7870161124-9018242.278334998i             3.7093574053872116E7
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    -777616.9869516237-1.0972508564680014E7i          3.3356005716985773E7
0                         4.0481067694876277E-7    -1.2247503680099905E-7   2632313.305261133+3343844.432183771i              3.577985695516569E7
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   -4961408.370678615+1.4462575369393952E7i          3.755811966963723E7
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   -7498127.94673309+1.4508568873286046E7i           2.939318841628525E7
