% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1E-12                      ewfd.normE (V/m) @ lambda=1E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   -7208219.152997337-2176985.8048453517i            3.1327793596625753E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   -5691440.31343696+7380217.681524709i              2.6797190816985395E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   -2852926.8769269944-6373330.232258163i            2.110311705487443E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     -274668.2914668441-2413925.4443453406i            3.120667918402057E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    2389142.178209727-76535.30386453192i              2.0517959549020365E7
0                         3.182396563385692E-7     -6.343381124083152E-8    3372969.215603097+4860481.2478522975i             2.4402698108449016E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   8858858.27588933+7104702.4335423075i              4.343709461291686E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   1.0179079536201576E7+12792.493346523028i          2.3637467941721033E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   1.0083879104861736E7-8286980.070970924i           2.2989425822520785E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   -3634128.2056145594-4405803.675063714i            3.1796356895929366E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -743377.4372863276+9946113.972787788i             3.8531771551609986E7
0                         2.538559103127853E-7     5.584570174921412E-8     -1.4796692425761238E7+7572639.8527628435i         4.415098585658072E7
0                         3.24970696555981E-7      5.0869258428683064E-8    2875638.8434147546-1.7824476911860928E7i          3.48135598954296E7
0                         3.258812924319995E-7     4.569473248067654E-8     -569900.4492724432-1.7750730160518065E7i          3.042505157636627E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -4402461.396889526-2.286806055425874E7i           4.5912172757044934E7
0                         3.221038368927431E-7     5.584714369209338E-8     942758.8392306812-1.942608650241334E7i            3.367501916879863E7
0                         2.5315329523993733E-7    6.001853845885086E-8     -3357270.7115312377+1.5047086963923465E7i         3.64063406834204E7
0                         2.5085145295922413E-7    5.462592438847495E-8     -7551748.678196231+1.4735364757453015E7i          4.215116007720467E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    1775662.1699120034+5500677.23760026i              4.129688998311838E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    -754835.5756605926+2527003.1632335857i            2.834827566520471E7
0                         3.232695709983424E-7     -5.53045889386516E-8     -2537103.865063263+7174395.531688268i             3.0441416845738355E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      4033662.1152970246-8821316.567774113i             3.4183852766707465E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    246141.5666108007+8945515.421014773i              4.081059772804139E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    7692622.171765164+1.1419096547885722E7i           3.881013556392517E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    1128370.3915235235+1.0822770900195118E7i          3.536633369120966E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    1.247268065370591E7+2.387900690696578E7i          4.930755005687844E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    1.686403744743871E7+9595635.03317039i             4.651833702468059E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    -8563732.34400115-6846493.093619056i              1.8195014295966998E7
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    -7971954.052625242-4814524.72971764i              4.1417614064125165E7
