% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              886
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ lambda=4E-9                               w (m) @ lambda=4E-9
0                         3.0382501758412077E-7    -4.485991782714857E-8    NaN                                               NaN
0                         3.0382501758412077E-7    -4.485991782714857E-8    NaN                                               NaN
0                         3.182396563385692E-7     -6.343381124083152E-8    NaN                                               NaN
0                         3.232695709983424E-7     -5.53045889386516E-8     NaN                                               NaN
0                         3.0382501758412077E-7    -4.485991782714857E-8    NaN                                               NaN
0                         3.232695709983424E-7     -5.53045889386516E-8     NaN                                               NaN
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   NaN                                               NaN
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   NaN                                               NaN
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      NaN                                               NaN
0                         3.0382501758412077E-7    -4.485991782714857E-8    NaN                                               NaN
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   NaN                                               NaN
0                         2.1590675670731769E-7    1.6443578411235084E-7    NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     NaN                                               NaN
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    NaN                                               NaN
0                         2.1590675670731769E-7    1.6443578411235084E-7    NaN                                               NaN
0                         2.5315329523993733E-7    6.001853845885086E-8     NaN                                               NaN
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    NaN                                               NaN
0                         2.1590675670731769E-7    1.6443578411235084E-7    NaN                                               NaN
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    NaN                                               NaN
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    NaN                                               NaN
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    NaN                                               NaN
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     NaN                                               NaN
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   NaN                                               NaN
-1.0587911840678754E-22   0                        -2.184438086758795E-7    NaN                                               NaN
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    NaN                                               NaN
0                         1.1222187758084808E-7    -2.0359382100811807E-7   NaN                                               NaN
0                         1.1222187758084808E-7    -2.0359382100811807E-7   NaN                                               NaN
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   NaN                                               NaN
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   NaN                                               NaN
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    NaN                                               NaN
0                         1.1244237034527167E-7    -2.0569679271964817E-7   NaN                                               NaN
0                         1.1222187758084808E-7    -2.0359382100811807E-7   NaN                                               NaN
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   NaN                                               NaN
-1.0587911840678754E-22   0                        -2.184438086758795E-7    NaN                                               NaN
0                         1.114934002831982E-7     -2.0583860403134034E-7   NaN                                               NaN
0                         1.1222187758084808E-7    -2.0359382100811807E-7   NaN                                               NaN
0                         1.1222187758084808E-7    -2.0359382100811807E-7   NaN                                               NaN
0                         1.114934002831982E-7     -2.0583860403134034E-7   NaN                                               NaN
0                         1.1244237034527167E-7    -2.0569679271964817E-7   NaN                                               NaN
0                         2.0046547469079038E-7    1.684949217441033E-7     NaN                                               NaN
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    NaN                                               NaN
0                         9.892122696120922E-8     2.0811770775040243E-7    NaN                                               NaN
-1.0587911840678754E-22   0                        2.1844380867587958E-7    NaN                                               NaN
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    NaN                                               NaN
0                         9.892122696120922E-8     2.0811770775040243E-7    NaN                                               NaN
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    NaN                                               NaN
0                         2.0046547469079038E-7    1.684949217441033E-7     NaN                                               NaN
0                         9.892122696120922E-8     2.0811770775040243E-7    NaN                                               NaN
0                         9.901265081548767E-8     2.086243933096728E-7     NaN                                               NaN
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    NaN                                               NaN
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    NaN                                               NaN
0                         2.0046547469079038E-7    1.684949217441033E-7     NaN                                               NaN
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    NaN                                               NaN
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    NaN                                               NaN
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    NaN                                               NaN
-1.0587911840678754E-22   0                        2.1844380867587958E-7    NaN                                               NaN
0                         9.892122696120922E-8     2.0811770775040243E-7    NaN                                               NaN
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    NaN                                               NaN
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    NaN                                               NaN
0                         9.901265081548767E-8     2.086243933096728E-7     NaN                                               NaN
0                         9.892122696120922E-8     2.0811770775040243E-7    NaN                                               NaN
0                         4.3156852068532967E-7    -9.441573109727262E-8    NaN                                               NaN
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    NaN                                               NaN
0                         4.0481067694876277E-7    -1.2247503680099905E-7   NaN                                               NaN
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   NaN                                               NaN
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   NaN                                               NaN
0                         4.502508420350996E-7     -2.9324605695653366E-7   NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   NaN                                               NaN
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   NaN                                               NaN
0                         4.561468564307357E-7     -2.3347254581814542E-7   NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    NaN                                               NaN
0                         4.0481067694876277E-7    -2.491234228295679E-7    NaN                                               NaN
0                         4.502508420350996E-7     -2.9324605695653366E-7   NaN                                               NaN
0                         4.561468564307357E-7     -2.3347254581814542E-7   NaN                                               NaN
0                         4.0481067694876277E-7    -2.491234228295679E-7    NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   NaN                                               NaN
0                         4.0481067694876277E-7    -1.847936517365227E-7    NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    NaN                                               NaN
0                         4.561468564307357E-7     -2.3347254581814542E-7   NaN                                               NaN
0                         4.997136481438985E-7     -5.4578163674120465E-8   NaN                                               NaN
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   NaN                                               NaN
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   NaN                                               NaN
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     NaN                                               NaN
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    NaN                                               NaN
0                         4.997136481438985E-7     -5.4578163674120465E-8   NaN                                               NaN
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   NaN                                               NaN
0                         4.0481067694876277E-7    2.3721473678056144E-8    NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    NaN                                               NaN
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   NaN                                               NaN
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   NaN                                               NaN
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    NaN                                               NaN
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    NaN                                               NaN
0                         4.997136481438985E-7     -5.4578163674120465E-8   NaN                                               NaN
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    NaN                                               NaN
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   NaN                                               NaN
0                         4.3156852068532967E-7    -9.441573109727262E-8    NaN                                               NaN
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    NaN                                               NaN
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   NaN                                               NaN
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    NaN                                               NaN
0                         4.375981764020514E-7     -1.443441900957181E-7    NaN                                               NaN
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    NaN                                               NaN
0                         5.165759812286529E-7     -1.5276612097377223E-7   NaN                                               NaN
0                         4.375981764020514E-7     -1.443441900957181E-7    NaN                                               NaN
0                         4.0481067694876277E-7    -1.847936517365227E-7    NaN                                               NaN
0                         4.561468564307357E-7     -2.3347254581814542E-7   NaN                                               NaN
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    NaN                                               NaN
0                         4.0481067694876277E-7    -1.847936517365227E-7    NaN                                               NaN
0                         4.375981764020514E-7     -1.443441900957181E-7    NaN                                               NaN
0                         4.0481067694876277E-7    -1.2247503680099905E-7   NaN                                               NaN
0                         5.165759812286529E-7     -1.5276612097377223E-7   NaN                                               NaN
0                         4.777461392223046E-7     -1.1661254719235383E-7   NaN                                               NaN
0                         4.375981764020514E-7     -1.443441900957181E-7    NaN                                               NaN
0                         5.165759812286529E-7     -1.5276612097377223E-7   NaN                                               NaN
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     NaN                                               NaN
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    NaN                                               NaN
0                         4.777461392223046E-7     -1.1661254719235383E-7   NaN                                               NaN
0                         4.777461392223046E-7     -1.1661254719235383E-7   NaN                                               NaN
0                         4.3156852068532967E-7    -9.441573109727262E-8    NaN                                               NaN
0                         4.0481067694876277E-7    -1.2247503680099905E-7   NaN                                               NaN
0                         4.375981764020514E-7     -1.443441900957181E-7    NaN                                               NaN
0                         4.777461392223046E-7     -1.1661254719235383E-7   NaN                                               NaN
0                         4.3156852068532967E-7    -9.441573109727262E-8    NaN                                               NaN
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    NaN                                               NaN
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   NaN                                               NaN
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    NaN                                               NaN
0                         5.165759812286529E-7     -1.5276612097377223E-7   NaN                                               NaN
0                         4.502508420350996E-7     -2.9324605695653366E-7   NaN                                               NaN
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   NaN                                               NaN
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    NaN                                               NaN
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    NaN                                               NaN
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   NaN                                               NaN
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   NaN                                               NaN
