% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 11:45
% Dimension:          3
% Nodes:              305
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=4E-12                      ewfd.normE (V/m) @ lambda=4E-12
-3.3087224502121107E-24   3.11640147700064E-7      -1.1976618988071797E-8   226975.60317082916-37869.27936588145i             2.2116765610698782E7
8.271806125530277E-25     3.251713317899763E-7     -4.5402139950156244E-8   636021.1783386789-123143.87863490265i             2.342973480867273E7
3.3087224502121107E-24    3.341587528859366E-7     2.3248404524220318E-23   142768.23735252387-3636.724357562858i             2.420839925887342E7
3.3087224502121107E-24    2.1377803373446657E-7    -8.98969548131277E-8     2696082.7909973115-314701.9465954342i             1.415223948837609E7
3.3087224502121107E-24    2.873933361043472E-7     -1.114077343861201E-7    2123284.1501075607-336515.80083771807i            1.8990607678193495E7
0                         3.182396563385692E-7     -6.343381124083152E-8    693549.9208691114-172291.53575734698i             2.222580402658613E7
-1.6543612251060553E-24   1.99411942363288E-7      -1.1418858509067949E-7   3743781.0000790213-397152.20229803986i            1.3254214865721049E7
0                         2.1845653395423077E-7    -1.6518554386307116E-7   5250792.196141161-547870.6743889563i              1.4391944991447289E7
3.3087224502121107E-24    2.4663417250518805E-7    -1.4426116112124456E-7   3987530.008335198-453353.7436768147i              1.6251927025284663E7
-1.0339757656912846E-25   1.1513907745767914E-7    -2.0461885748524736E-7   9319785.129283713-711568.6067529753i              1.1426956764686944E7
4.1359030627651384E-25    2.5720174943636357E-7    5.1192065844283316E-8    -1138664.6279847135+166311.85338304308i           1.7363080596252467E7
0                         2.538559103127853E-7     5.584570174921412E-8     -1278481.0725889844+184029.5313964539i            1.7092453954462837E7
0                         3.24970696555981E-7      5.0869258428683064E-8    -317466.599976465+126337.60674194487i             2.32041725205411E7
0                         3.258812924319995E-7     4.569473248067654E-8     -232418.14361648675+111476.64199132187i           2.352449132390517E7
-3.3087224502121107E-24   2.951442792554136E-7     1.024258598957873E-7     -1442013.7496949052+288064.67912095593i           1.9739100932343833E7
0                         3.221038368927431E-7     5.584714369209338E-8     -458254.4275250428+141015.91968657888i            2.2782346874898016E7
0                         2.5315329523993733E-7    6.001853845885086E-8     -1407593.8175039124+191319.2071160039i            1.7119806496302962E7
0                         2.5085145295922413E-7    5.462592438847495E-8     -1362747.232296666+178122.35611041082i            1.6918187345157303E7
-1.6543612251060553E-24   1.8936295177487544E-7    -5.345153217925148E-8    1933972.9124815296-199958.83965089047i            1.2535577328669738E7
0                         3.0382501758412077E-7    -4.485991782714857E-8    511501.9920745313-120971.59128127756i             2.1294132629256286E7
0                         3.232695709983424E-7     -5.53045889386516E-8     643293.5936090585-151359.1735423687i              2.285217498298811E7
3.3087224502121107E-24    2.3887937212247125E-7    -7.0981566033776E-9      156651.79179112118-25689.836912164676i            1.5956537089560056E7
0                         2.1590675670731769E-7    1.6443578411235084E-7    -5301285.6578411935+521699.95279514074i           1.4460211210426673E7
8.271806125530277E-25     2.0626333866638028E-7    1.6851892779815737E-7    -5903886.830085314+552964.467902549i              1.3850004837423718E7
8.271806125530277E-25     2.478102917674804E-7     5.7999085052770066E-8    -1298650.724089365+180364.50839153634i            1.6711333809250642E7
8.271806125530277E-25     2.0848700466590606E-7    1.7050596155886884E-7    -5869416.271589626+557934.1780622965i             1.3823593577901281E7
3.3087224502121107E-24    1.8845011221180134E-7    -7.933319908910908E-8    2774639.0384770017-299712.90315042646i            1.2480115000243485E7
-1.0587911840678754E-22   0                        -2.184438086758795E-7    1.1248539924604466E7-757106.4140762455i           1.1279970598155E7
6.6174449004242214E-24    7.412316040165247E-8     -9.059081845819273E-8    3852229.41140212-374725.1716644242i               6769159.197313028
0                         1.1222187758084808E-7    -2.0359382100811807E-7   9607820.11722786-703684.1817672128i               1.1550265573678004E7
-1.6543612251060553E-24   1.6148098076991665E-7    -8.194116355486126E-8    3059234.516710441-311725.44672356354i             1.0832084374682797E7
0                         1.1244237034527167E-7    -2.0569679271964817E-7   9760223.77073897-705327.9389602861i               1.1664524993684635E7
0                         1.114934002831982E-7     -2.0583860403134034E-7   9991370.413465992-705321.8082901054i              1.186476535329933E7
0                         2.0046547469079038E-7    1.684949217441033E-7     -6063516.987249828+568329.8798718568i             1.3518021665968508E7
-3.3087224502121107E-24   1.1811756029585402E-7    1.0937180041687409E-7    -4443588.754769554+433465.5718137562i             8539664.198850546
0                         9.892122696120922E-8     2.0811770775040243E-7    -1.0142094002747582E7+717690.216780617i           1.1584931745193277E7
-1.0587911840678754E-22   0                        2.1844380867587958E-7    -1.1214741147482704E7+752387.7599757907i          1.1243549371580368E7
8.271806125530277E-25     2.040893509695161E-7     1.7271580831706605E-7    -6123805.7156309+578072.1620915304i               1.3717286687669732E7
0                         9.901265081548767E-8     2.086243933096728E-7     -1.0254185910928745E7+712422.4405706069i          1.1644752733846502E7
-1.0339757656912846E-25   9.844532377288113E-8     2.0870917300429743E-7    -1.0288572329436064E7+714676.6693476576i          1.1723002055564053E7
0                         4.3156852068532967E-7    -9.441573109727262E-8    1.1311261716535535E7-1002327.1366104016i          2.1618133286895633E7
3.3087224502121107E-24    4.0481067694876277E-7    -7.106334885445178E-8    9540899.628338141-766547.1515465025i              2.419472286168362E7
0                         4.0481067694876277E-7    -1.2247503680099905E-7   1.5495959853423884E7-1343751.5444860845i          2.481786435264213E7
3.3087224502121107E-24    4.2236659387354457E-7    -3.3156600261566373E-7   2.7969673655750003E7-2939925.0539360493i          2.9237194409754373E7
-3.3087224502121107E-24   4.0481067694876277E-7    -3.1657404149144293E-7   2.8984230373380955E7-2940693.311405039i           3.0625331933804702E7
-3.3087224502121107E-24   4.048106769487627E-7     -3.4115748411427057E-7   3.0126036892905872E7-3095804.9178571054i          3.131095860606743E7
0                         4.502508420350996E-7     -2.9324605695653366E-7   2.4088219735267825E7-2601335.631882253i           2.5938394812307023E7
0                         4.561468564307357E-7     -2.3347254581814542E-7   2.0439951594281305E7-2180566.8661135505i          2.364172630444515E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.218305523870462E-7    2.3633562452876855E7-2315483.8624312705i          2.7769840600649968E7
0                         4.0481067694876277E-7    -2.491234228295679E-7    2.5263352662311036E7-2511160.85963457i            2.8582223707557097E7
0                         4.0481067694876277E-7    -1.847936517365227E-7    2.084561133071871E7-1949016.416440097i            2.6769558184393663E7
0                         4.997136481438985E-7     -5.4578163674120465E-8   5008843.471137526-524147.43092205946i             1.567061707969197E7
3.3087224502121107E-24    4.489461804632103E-7     -5.6775778379933294E-8   6416998.829484031-582388.4189441551i              1.991279809213099E7
3.3087224502121107E-24    4.4989759452706147E-7    -1.6556817874517087E-8   1138432.5720085646-140825.31199042452i            1.998185914011143E7
3.3087224502121107E-24    5.064721380278715E-7     -9.25383604059818E-8     7720573.1151952855-863195.0851366041i             1.6281003020903103E7
-3.3087224502121107E-24   4.814698782554942E-7     -7.107843754157303E-8    7005474.729509276-710972.4349850519i              1.7174565770051982E7
0                         4.0481067694876277E-7    2.3721473678056144E-8    -3425005.3308167527+267624.9367128779i            2.346480692867108E7
-3.3087224502121107E-24   4.0481067694876277E-7    -2.908572125757574E-8    4671273.416252356-327519.9817265238i              2.4093012972236402E7
0                         4.375981764020514E-7     -1.443441900957181E-7    1.5527856009609997E7-1499463.5873970701i          2.2556871716629885E7
-3.3087224502121107E-24   4.993313195216967E-7     -2.159181114847459E-7    1.6236674768180942E7-1904571.76106107i            1.958170620992019E7
0                         5.165759812286529E-7     -1.5276612097377223E-7   1.155608828477051E7-1375446.5578890508i           1.6543155476322526E7
0                         4.777461392223046E-7     -1.1661254719235383E-7   1.0624044878053382E7-1124386.0442905498i          1.842906292326791E7
1.6543612251060553E-24    6.117018165168023E-7     -2.3743763663215706E-7   1.143963044074973E7-1715203.2797701592i           1.345655334523521E7
-1.6543612251060553E-24   4.569758984411236E-7     -3.472823263841108E-7    2.5451608534551512E7-2826458.720793555i           2.6403377634301934E7
-1.6543612251060553E-24   4.0481067694876277E-7    -3.9919901680121826E-7   3.1344925488715705E7-3222405.891203759i           3.2045949567462634E7
3.3087224502121107E-24    5.081525458428524E-7     -3.9970774983858666E-7   2.1632260169540983E7-2685773.851801934i           2.212770313569097E7
3.3087224502121107E-24    4.962314594314798E-7     -4.457236684465527E-7    2.2680147631247852E7-2802527.2547408817i          2.3024796298164174E7
3.3087224502121107E-24    4.2957613825231527E-7    -4.457236684465527E-7    2.962076949091479E7-3170458.7095818645i           2.9925244174355503E7
