% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=3E-12
3.3087224502121107E-24    2.909408219456692E-7     -9.116802241037532E-9    45579.11979957341-18251.2539909873i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   413551.0152593741-170844.27181490915i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   25885.16860979998-7893.476587825338i
0                         3.244222491082903E-7     4.763785119570128E-8     -712542.575324939+255421.63610338332i
2.274746684520826E-24     2.1457445665613249E-7    7.513119464638829E-8     -1897473.4492987725+653953.8478760045i
-4.1359030627651384E-25   2.3137191849259872E-7    7.459854219388789E-8     -1667505.590425318+584747.6142992422i
5.583469134732937E-24     2.1546807526161548E-7    7.885366946571899E-8     -1972260.5893624735+672878.2711373369i
-4.1359030627651384E-24   2.1266302937631554E-7    7.841650960755042E-8     -1971500.949851822+677046.3588847667i
4.963083675318166E-24     2.134882250777196E-7     8.095135089960772E-8     -1925433.992330058+667118.5422126458i
0                         3.163900648998948E-7     6.520876694083002E-8     -1105864.4910340183+410190.9704212541i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    -2208660.548799997+808454.477385471i
0                         2.417815675611352E-7     1.4694938582000425E-7    -2743439.260684781+997976.8765431116i
0                         1.441492463204858E-7     -1.4983037208425967E-7   4313455.723454735-1386101.2016094786i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   8898083.665366197-2686084.3992978856i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    5507735.831733101-1815925.6424894296i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   9907250.155929402-2973275.104473545i
6.6174449004242214E-24    9.079461477035323E-8     -1.5890299258642E-7      4846054.743066774-1562978.6225062958i
0                         1.0185917752290108E-7    -9.033453138726522E-8    3863621.8857624875-1229346.4441331238i
5.293955920339377E-23     0                        -2.1799999999999991E-7   1.2029094446172541E7-3489868.1463110484i
