% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 12:03
% Dimension:          3
% Nodes:              357
% Expressions:        1
% Description:        Electric field, y-component
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=2E-12
3.3087224502121107E-24    2.909408219456692E-7     -9.116802241037532E-9    -1.7477082146615524E7+9791079.054699209i
0                         3.2456485463078355E-7    -4.6565295574875403E-8   -1.5829517518694768E7+9068823.88246356i
-3.3087224502121107E-24   3.3399999999999995E-7    2.3237673013821025E-23   -1.5259263349307917E7+8915315.053128399i
0                         3.244222491082903E-7     4.763785119570128E-8     -1.5858141878928682E7+9075870.310092287i
2.274746684520826E-24     2.1457445665613249E-7    7.513119464638829E-8     -2.1410687201584212E7+1.1191207228821274E7i
-4.1359030627651384E-25   2.3137191849259872E-7    7.459854219388789E-8     -2.0739786170882024E7+1.0944476304513989E7i
5.583469134732937E-24     2.1546807526161548E-7    7.885366946571899E-8     -2.155658796014513E7+1.1231036341417585E7i
-4.1359030627651384E-24   2.1266302937631554E-7    7.841650960755042E-8     -2.1540448111486945E7+1.1226297238128258E7i
4.963083675318166E-24     2.134882250777196E-7     8.095135089960772E-8     -2.1506787423722938E7+1.1216650368673017E7i
0                         3.163900648998948E-7     6.520876694083002E-8     -1.6378634354042208E7+9271751.83841641i
3.3087224502121107E-24    2.825435534890409E-7     1.1588092171619638E-7    -1.8398641286197964E7+1.001236662233372E7i
0                         2.417815675611352E-7     1.4694938582000425E-7    -2.0950938977942258E7+1.0810092027230717E7i
0                         1.441492463204858E-7     -1.4983037208425967E-7   -2.4906262823879287E7+1.2097181498666618E7i
-3.3087224502121107E-24   1.3053269772374366E-7    -1.9855931543263272E-7   -2.697722889248377E7+1.2475170105348092E7i
6.6174449004242214E-24    1.9534189390177093E-7    -1.762963768526468E-7    -2.4177083587293852E7+1.17637697743603E7i
3.3087224502121107E-24    8.723907557817635E-8     -2.1034770269556345E-7   -2.84984325360037E7+1.2814061841254566E7i
6.6174449004242214E-24    9.079461477035323E-8     -1.5890299258642E-7      -2.6371410087902993E7+1.2457002569200575E7i
0                         1.0185917752290108E-7    -9.033453138726522E-8    -2.4138662884231664E7+1.2142842411539076E7i
5.293955920339377E-23     0                        -2.1799999999999991E-7   -2.928043682966559E7+1.2953058186212502E7i
-9.926167350636332E-24    5.4729451025116196E-8    -9.194252576102937E-8    -2.4935703466005526E7+1.2382150909556646E7i
3.3087224502121107E-24    2.5498294835954666E-7    -7.02616853346351E-8     -1.953180522060099E7+1.051945063147989E7i
-8.271806125530277E-25    3.047280241604408E-7     -5.389980015820028E-8    -1.6798153358086314E7+9457625.45891951i
3.3087224502121107E-24    2.4262951468959317E-7    -3.3727844817641724E-8   -1.9795873617284555E7+1.0688537032792717E7i
-6.6174449004242214E-24   2.842388511482013E-7     -1.143672847943301E-7    -1.8443146960637193E7+1.0033037999318378E7i
8.271806125530277E-25     3.1734974094425616E-7    -6.47178657302182E-8     -1.6185834048052538E7+9201888.025560066i
0                         3.225473848719573E-7     -5.6596895764559517E-8   -1.5932722366855487E7+9118776.660932261i
0                         3.0727849354433177E-7    3.716187958667846E-8     -1.6682234883260716E7+9414105.13109034i
4.963083675318166E-24     1.9608915284010443E-7    -8.524725028083092E-8    -2.220844506299043E7+1.1436831583206525E7i
-3.3087224502121107E-24   2.3687474334758368E-7    -1.5013343656633706E-7   -2.1225033549875826E7+1.0896155479922336E7i
-1.6543612251060553E-24   1.844986501477195E-7     -9.498502051979598E-8    -2.2993094385861486E7+1.1657436383764021E7i
0                         1.8647651061845574E-7    -8.149310160892542E-8    -2.265793703330335E7+1.160324816213314E7i
0                         3.163330442293183E-7     5.306646607773194E-8     -1.623914907482199E7+9226726.02414605i
0                         3.2286737959469416E-7    5.579691268901542E-8     -1.588459420821639E7+9059716.413256697i
-4.1359030627651384E-25   1.9958994130323732E-7    8.707457570639903E-8     -2.20435869320087E7+1.1382363393837184E7i
0                         1.127542796764382E-7     1.6015247688143135E-7    -2.615929731790508E7+1.242813548258991E7i
6.6174449004242214E-24    1.9077053353123035E-7    1.7843893109443794E-7    -2.4329431163659174E7+1.1804221856780708E7i
-3.3087224502121107E-24   1.3457131188222352E-7    1.9764746760172172E-7    -2.6954912615575906E7+1.2467390856703881E7i
-6.6174449004242214E-24   9.16313733218809E-8      2.0955171772387743E-7    -2.84394170938345E7+1.279870355660138E7i
0                         9.284097861045494E-8     1.6406606081566257E-7    -2.6654069607171513E7+1.2540092928753095E7i
5.293955920339377E-23     0                        2.1799999999999997E-7    -2.9535924053936135E7+1.3019095066535642E7i
0                         1.0110578132682427E-7    1.4502750844500253E-7    -2.592128287210303E7+1.2429510636170791E7i
-1.6543612251060553E-24   8.347196322347463E-8     1.468051687236044E-7     -2.617712897928914E7+1.2498755442122497E7i
-3.3087224502121107E-24   5.262860403016093E-7     -3.671370149176759E-7    -4117372.173868499+3006383.0569327082i
6.6174449004242214E-24    5.326174360744307E-7     -4.454999999999999E-7    388924.6729402966-189030.9969747008i
4.963083675318166E-24     4.982054509356383E-7     -4.2188128458714213E-7   -1912934.0451791272+1256727.0737129888i
-1.6543612251060553E-24   5.895251087508247E-7     -4.454999999999999E-7    -17152.425947326195+9890.98555938311i
0                         4.406983669550136E-7     -4.454999999999999E-7    -39507.42138034387+21317.282699181596i
0                         4.0500000000000004E-7    -3.4694342761748135E-7   -9851240.24199873+6092996.117174324i
0                         4.0500000000000004E-7    -4.2015684848266105E-7   -2346755.0685040997+1479865.64408032i
-1.6543612251060553E-24   4.6834749517382773E-7    -3.137342389695302E-7    -9652541.782851417+6391863.890614235i
-3.3087224502121107E-24   4.05E-7                  -3.121866787531193E-7    -1.2739637918566069E7+7942736.170123254i
0                         5.088057071241112E-7     -2.969173048710213E-7    -8795230.395342756+6187976.101947574i
-3.3087224502121107E-24   4.2869941018243406E-7    -2.8124779152571903E-7   -1.3625806362246515E7+8805773.481263962i
0                         6.305278652133215E-7     -3.967511908904267E-7    -2203847.4144613543+1691752.9560145289i
0                         5.213935146841009E-7     -2.9250758040117066E-7   -8242658.399602979+5951944.874991196i
0                         4.0500000000000004E-7    -2.397036580806863E-7    -1.719227927286215E7+1.1024946610148426E7i
-1.6543612251060553E-24   4.750463203833237E-7     -2.658453244078209E-7    -1.1852894837809855E7+8078547.445970502i
3.3087224502121107E-24    4.40076569456082E-7      -1.931656489292975E-7    -1.6224929000117032E7+1.1019520943523964E7i
3.3087224502121107E-24    4.0500000000000004E-7    -2.107337597881088E-7    -1.8256413647756398E7+1.1901664564918155E7i
3.3087224502121107E-24    4.1609298255046795E-7    -2.2640763205390853E-7   -1.6963156285423733E7+1.1094277210762296E7i
-1.6543612251060553E-24   4.0500000000000004E-7    -9.739946361074687E-8    -1.8071176715814516E7+1.2690537285705844E7i
0                         4.05E-7                  -1.1714201167276451E-7   -1.8633504563406296E7+1.2917982327419773E7i
1.6543612251060553E-24    4.3195813114958147E-7    -1.3077322704547869E-7   -1.707069885118822E7+1.1965529717847817E7i
-3.3087224502121107E-24   4.05E-7                  -1.3424495614328456E-7   -1.8687519988121178E7+1.279447455998688E7i
1.9852334701272664E-23    8.212083153451605E-7     -3.1056727163046257E-7   -2470206.326001589+2826675.207644137i
-9.926167350636332E-24    8.152787305657055E-7     -3.164486616082703E-7    -2354065.633718344+2704485.1717938585i
1.9852334701272664E-23    8.21862073429495E-7      -3.227964186944923E-7    -2342019.8384430124+2613149.0381711647i
-2.481541837659083E-24    7.913127097652019E-7     -3.429403134025503E-7    -1893514.8414808444+2148553.61522543i
3.3087224502121107E-24    8.132164151273462E-7     -3.0889093502113745E-7   -2392296.185004751+2797276.174583384i
9.926167350636332E-24     8.074199076255276E-7     -3.1553049877803573E-7   -2271965.1174135073+2661589.8245701003i
0                         6.721607233116906E-7     -4.455E-7                68532.04191597551-29548.563158011864i
-2.6469779601696886E-23   8.981523529578601E-7     -4.4549999999999996E-7   -54728.46002898688+37505.48520607132i
-3.3087224502121107E-24   7.253368457684986E-7     -4.4549999999999996E-7   110092.13320212581-54131.6427901018i
5.37667398159468E-24      1.215E-6                 8.732574559229382E-9     797847.0241087222+3722321.018894072i
-2.0679515313825692E-25   1.1268959465037E-6       5.227169081700507E-8     -281329.7175373191+3941204.377499721i
9.098986738083304E-24     1.2126376682739553E-6    6.403936259602957E-9     782904.4742323121+3732975.414713341i
4.1359030627651384E-24    1.215E-6                 2.4988748140056306E-9    797209.8678886442+3765041.2662604675i
0                         1.2149999999999998E-6    1.6701820046544376E-7    821765.8274110338+2954596.1815137193i
0                         1.035904606529041E-6     1.0367114061262876E-7    -1325819.544654712+4140134.8144495524i
0                         1.2149999999999998E-6    -4.4549999999999996E-7   279733.845452594-24441.66080073191i
6.6174449004242214E-24    9.72699324040614E-7      -3.091343366762282E-7    -850196.4558983771+2035111.5426496647i
1.3234889800848443E-23    1.0224598881796357E-6    -2.1985295013466604E-7   -1114720.1920230915+3189880.222260666i
1.9852334701272664E-23    1.0875350022453794E-6    -2.077125204738675E-7    -541219.1081265019+3096421.769355743i
-1.3234889800848443E-23   1.2149999999999998E-6    -1.5626287560041607E-7   688691.7257234693+3106507.6744823083i
-1.3234889800848443E-23   9.752735153072758E-7     -2.1907271783560623E-7   -1632173.5300016247+3409124.573009424i
2.0679515313825692E-24    1.204310246553989E-6     1.348473096341726E-9     694305.7272654397+3730404.138347754i
0                         9.918136933547865E-7     -1.5462488159909355E-7   -1773549.1532995526+3886754.6470152573i
-3.3087224502121107E-24   7.509524380529078E-7     -1.2646894404393406E-7   -5864454.307553964+6051323.272006564i
0                         7.555756107920515E-7     -1.3896809380089228E-7   -5742037.492415314+5929593.305948394i
-1.6543612251060553E-24   7.361989458559782E-7     -1.3756863109985273E-7   -5985468.976805838+6041968.389756149i
-1.6543612251060553E-24   7.646789088745446E-7     -1.0525281056743316E-7   -5702398.55460666+6007567.347887917i
-9.926167350636332E-24    7.653409434289764E-7     -1.3735608732262426E-7   -5414128.254607032+5762489.335165176i
-1.6543612251060553E-24   7.905652758299973E-7     -1.2802704026114854E-7   -5051906.88458797+5628924.604003168i
9.926167350636332E-24     6.40923865685546E-7      -2.6855387927708157E-7   -5764613.415786621+4928261.078766805i
1.6543612251060553E-24    5.768927342290918E-7     -2.7810202485500783E-7   -7349657.915665481+5635283.965960775i
0                         6.30284338872633E-7      -2.427472243185585E-7    -6763803.578946487+5668847.860937168i
1.6543612251060553E-24    6.638786016421364E-7     -3.4144155870584834E-7   -3169388.0537315942+2770834.2987173432i
9.926167350636332E-24     6.596687504560925E-7     -2.523701309500776E-7    -5863748.420504158+5135816.131974294i
3.3087224502121107E-24    5.743375248037586E-7     -2.162006507261736E-7    -9280429.441507783+7193939.018877355i
-4.963083675318166E-24    7.322560753885223E-7     -1.1570613314772139E-7   -6266043.758149063+6272136.940321194i
-3.3087224502121107E-24   4.229476789816154E-7     1.2304930426346377E-7    -1.7553919496316917E7+1.2282988018951137E7i
0                         4.0499999999999993E-7    1.2843267564053058E-7    -1.8835904949125268E7+1.2941544678724432E7i
4.963083675318166E-24     4.0500000000000004E-7    1.0483433646592005E-7    -1.801403803595025E7+1.2599821183871036E7i
0                         4.3006386752658733E-7    4.609342036495255E-9     -1.6077607980267871E7+1.1836545979434853E7i
0                         4.0500000000000004E-7    2.5071177408604445E-8    -1.714021812369758E7+1.2374927423144376E7i
3.3087224502121107E-24    4.0500000000000004E-7    -1.6658777789044055E-8   -1.7080648190214653E7+1.235638360532357E7i
-1.6543612251060553E-24   5.057475649582711E-7     -7.083858521324827E-8    -1.3753551140011603E7+1.0431741029458579E7i
